date,Draw,England,France
2015-03-21 16:50:16.873,,,
2015-03-21 16:50:32.684,1.333333,83.57001,15.15152
2015-03-21 16:50:48.417,1.333333,84.03361,14.90066
2015-03-21 16:51:04.121,1.428571,84.03361,15.15152
2015-03-21 16:51:19.976,1.428571,84.03185,15.15152
2015-03-21 16:51:35.994,1.428571,84.03185,15.15152
2015-03-21 16:51:52.053,1.428571,84.03047,15.15152
2015-03-21 16:52:07.767,1.428571,83.33333,15.15152
2015-03-21 16:52:23.637,1.33066,83.35823,14.88525
2015-03-21 16:52:39.692,1.33066,84.02361,15.42743
2015-03-21 16:52:55.381,1.428571,83.89069,15.42743
2015-03-21 16:53:11.164,1.428571,84.03361,14.84523
2015-03-21 16:53:27.244,1.428571,84.03361,15.625
2015-03-21 16:53:44.370,1.428571,83.70757,15.41729
2015-03-21 16:54:00.155,1.339546,83.97177,15.21538
2015-03-21 16:54:15.981,1.428571,83.83517,15.33668
2015-03-21 16:54:31.749,1.428571,83.85449,15.29446
2015-03-21 16:54:47.877,1.428571,83.42418,15.20144
2015-03-21 16:55:03.508,1.428571,83.37825,15.28886
2015-03-21 16:55:19.641,1.428571,84.03361,15.15152
2015-03-21 16:55:35.566,1.428571,83.96034,15.00481
2015-03-21 16:55:51.393,1.34612,83.94217,15.04015
2015-03-21 16:56:07.199,1.369056,83.33333,15.06423
2015-03-21 16:56:23.153,1.428571,84.02084,15.15152
2015-03-21 16:56:38.949,1.492234,84.01883,15.15152
2015-03-21 16:56:54.799,1.492234,83.99646,15.15152
2015-03-21 16:57:10.586,1.472416,83.91902,14.80898
2015-03-21 16:57:26.338,1.428571,83.88161,14.88468
2015-03-21 16:57:42.548,1.536715,83.96276,15.15152
2015-03-21 16:57:58.653,1.475713,83.52825,15.15152
2015-03-21 16:58:14.366,1.412006,84.12036,14.71299
2015-03-21 16:58:36.787,1.415242,84.08333,14.70588
2015-03-21 16:58:53.121,1.351199,84.03361,14.70588
2015-03-21 16:59:08.792,1.428571,84.27843,14.70588
2015-03-21 16:59:24.669,1.333333,84.54738,14.70091
2015-03-21 16:59:40.340,1.403254,84.73896,14.70588
2015-03-21 16:59:55.997,1.428571,84.04376,14.65532
2015-03-21 17:00:11.914,1.428571,84.22083,14.68073
2015-03-21 17:00:27.554,1.511725,84.68304,14.55443
2015-03-21 17:00:43.326,1.507128,84.71933,14.66947
2015-03-21 17:00:59.005,1.428571,84.74129,14.61963
2015-03-21 17:01:14.758,1.343341,84.29233,14.36403
2015-03-21 17:01:30.651,1.449511,84.02598,15.42483
2015-03-21 17:01:47.023,1.519469,83.97065,14.73907
2015-03-21 17:02:12.207,1.561648,84.54078,14.53923
2015-03-21 17:02:27.921,1.480513,84.74576,13.88889
2015-03-21 17:02:43.522,1.25,84.74576,13.88889
2015-03-21 17:03:04.172,1.176471,89.45343,10
2015-03-21 17:03:20.073,0.9832886,91.49053,10
2015-03-21 17:03:35.742,1.25,92.23085,8.333333
2015-03-21 17:03:54.935,1.25,92.27613,8.333333
2015-03-21 17:04:10.585,1.25,92.44519,7.142857
2015-03-21 17:04:26.561,1.035742,91.73064,7.312104
2015-03-21 17:04:42.620,1.03,91.8518,7.512196
2015-03-21 17:04:58.365,1.06,92.37078,7.268085
2015-03-21 17:05:14.216,1.123919,93.15316,6.565924
2015-03-21 17:05:30.106,0.9382676,92.95214,6.061926
2015-03-21 17:05:45.764,0.9440928,92.79041,6.513746
2015-03-21 17:06:01.582,0.9035415,93.15996,5.898608
2015-03-21 17:06:17.639,0.9246955,93.40266,5.718272
2015-03-21 17:06:33.369,0.7692308,93.96555,5.950397
2015-03-21 17:06:49.146,0.625,94.33962,5.128205
2015-03-21 17:07:05.087,0.625,94.50118,5.128205
2015-03-21 17:07:21.097,0.625,94.33962,5.128205
2015-03-21 17:07:36.922,0.625,94.50416,5.276148
2015-03-21 17:07:53.291,1,94.32388,5.558214
2015-03-21 17:08:08.989,1,93.79538,5.809549
2015-03-21 17:08:24.752,0.7142857,93.36747,6.238497
2015-03-21 17:08:40.570,0.8241142,93.05379,6.251972
2015-03-21 17:09:03.692,1.053939,93.4496,6.200702
2015-03-21 17:09:19.977,1.132045,92.60351,6.981907
2015-03-21 17:09:35.707,1.25,91.75575,7.407407
2015-03-21 17:09:51.404,1.030246,92.06491,7.216444
2015-03-21 17:10:07.234,0.9090909,92.61089,6.702334
2015-03-21 17:10:23.146,1,93.44656,6.459877
2015-03-21 17:10:38.978,1.039232,93.17018,7.000872
2015-03-21 17:10:55.244,1.149112,92.60653,6.449464
2015-03-21 17:11:11.038,1.138989,92.70996,6.569898
2015-03-21 17:11:27.044,1.43703,91.64918,7.283873
2015-03-21 17:11:42.927,1.43703,91.74312,7.692308
2015-03-21 17:11:59.097,1.165354,90.94414,7.984728
2015-03-21 17:12:14.924,1.111111,90.97598,7.71429
2015-03-21 17:12:30.776,1.111111,90.93385,7.966641
2015-03-21 17:12:46.554,1.111111,90.90909,8
2015-03-21 17:13:02.840,1.333333,90.90909,7.937171
2015-03-21 17:13:18.695,1.333333,90.90909,7.692308
2015-03-21 17:13:34.413,1.333333,91.67261,7.450158
2015-03-21 17:13:50.422,1.176471,90.99326,7.449495
2015-03-21 17:14:06.216,1.228599,91.76838,7.116487
2015-03-21 17:14:22.175,1.176471,92.67655,6.30822
2015-03-21 17:14:38.219,1.087607,92.64736,6.339419
2015-03-21 17:14:54.029,1,92.19126,6.667199
2015-03-21 17:15:09.741,1.412361,84.64575,13.20917
2015-03-21 17:15:25.320,1.818182,83.48298,14.9248
2015-03-21 17:15:41.056,1.925667,82.50732,15.72236
2015-03-21 17:15:56.804,2,82.03837,15.73847
2015-03-21 17:16:13.410,2,82.01015,15.78184
2015-03-21 17:16:29.513,2.007178,82.02712,16.09097
2015-03-21 17:16:45.202,1.845185,83.4601,14.82351
2015-03-21 17:17:01.460,1.818182,83.9489,14.68824
2015-03-21 17:17:17.192,1.869646,84.61457,14.75738
2015-03-21 17:17:33.698,1.636807,84.83802,13.87564
2015-03-21 17:17:49.422,1.39857,85.37468,13.43464
2015-03-21 17:18:05.746,1.744875,85.58091,13.42823
2015-03-21 17:18:21.418,1.432216,84.7975,14.30679
