date,France,England
2015-03-21 17:00:00.000,0,0
2015-03-21 17:04:00.000,0,7
2015-03-21 17:12:00.000,3,7
2015-03-21 17:16:00.000,8,7
2015-03-21 17:22:00.000,15,7
2015-03-21 17:35:00.000,15,10
2015-03-21 17:40:00.000,15,17
2015-03-21 17:48:00.000,15,24
2015-03-21 17:54:00.000,15,27
2015-03-21 18:11:00.000,22,27
2015-03-21 18:15:00.000,22,34
2015-03-21 18:21:00.000,25,34
2015-03-21 18:22:00.000,25,41
2015-03-21 18:31:00.000,30,41
2015-03-21 18:36:00.000,30,48
2015-03-21 18:40:00.000,35,48
2015-03-21 18:48:00.000,35,55
