date,end,title,fill,description
2015-02-28 17:00:00.000,2015-02-28 17:00:00.000,Kick-off,gray,Wales get the ball rolling; or more accurately spinning and flying.
2015-02-28 17:07:00.000,2015-02-28 17:07:00.000,Penalty,#e52713,Leigh Halfpenny has a simple kick for goal 30 yards out in a central position
2015-02-28 17:19:00.000,2015-02-28 17:19:00.000,Penalty,#004a93,Easy kick for Lopez
2015-02-28 17:32:00.000,2015-02-28 17:32:00.000,Penalty,#e52713,The penalty is on the 22 just to the right of the posts. Halfpenny strokes the ball between the posts.
2015-02-28 17:44:00.000,2015-02-28 17:55:00.000,Half-time,gray,
2015-02-28 18:21:00.000,2015-02-28 18:21:00.000,Penalty,#004a93,Lopez scores...only just stays inside the left upright.
2015-02-28 18:07:00.000,2015-02-28 18:07:00.000,Penalty,#e52713,Halfpenny takes the lead back for Wales
2015-02-28 18:17:00.000,2015-02-28 18:17:00.000,Try!,#e52713,Roberts busts through the middle drawing a couple of tackles and passes to Lydiate who flicks an immediate reverse ball right to Biggar. Biggar races diagonally to the corner and touches down!
2015-02-28 18:21:00.000,2015-02-28 18:21:00.000,Penalty,#e52713,Straight between the sticks. Gorgeously stroked home from a tight angle. France are in trouble now
2015-02-28 18:25:00.000,2015-02-28 18:25:00.000,Try!,#004a93,And they get it! France finally put a few phases together and power over the line! Lopez converts.
2015-02-28 18:31:00.000,2015-02-28 18:31:00.000,Penalty,#e52713,No mistake from Halfpenny and Wales are a converted try ahead.
2015-02-28 18:40:00.000,2015-02-28 18:40:00.000,Full-time,gray,Wales keep their 6 nations hopes alive!
