date,Draw,France,Wales
2015-02-28 16:50:16.607,0.001056211,0.0198145,0.0106796
2015-02-28 16:50:32.746,14.87081,2446.62,4988.414
2015-02-28 16:50:49.267,726.3321,2494.333,2252.501
2015-02-28 16:51:05.233,3.532411,2040.456,638.8404
2015-02-28 16:51:21.396,51.9716,8558.348,3266.86
2015-02-28 16:51:37.616,14.79677,4087.977,5886.709
2015-02-28 16:51:53.650,0,5360.532,6813.449
2015-02-28 16:52:09.800,29.72159,1644.235,898.1864
2015-02-28 16:52:26.821,734.0352,6273.35,1283.892
2015-02-28 16:52:45.885,899.8926,59215.75,7321.164
2015-02-28 16:53:01.938,147.2574,4484.4,9311.677
2015-02-28 16:53:17.914,1908.105,14639.47,34568.99
2015-02-28 16:53:33.896,84.13235,19303.93,7080.482
2015-02-28 16:53:50.457,36.22907,5914.759,2227.979
2015-02-28 16:54:06.598,637.364,3760.396,3204.589
2015-02-28 16:54:23.781,0,663.8087,3762.304
2015-02-28 16:54:39.686,2034.265,6905.56,5155.055
2015-02-28 16:54:56.259,984.8748,24746.69,12346.58
2015-02-28 16:55:12.310,449.0656,7310.69,3777.714
2015-02-28 16:55:28.417,0,1802.898,1519.004
2015-02-28 16:55:44.266,48.83616,2339.593,1992.97
2015-02-28 16:56:00.320,0,2141.661,3896.206
2015-02-28 16:56:16.390,0,6925.512,4811.441
2015-02-28 16:56:32.292,0,3074.981,3723.904
2015-02-28 16:56:48.258,280.359,6656.158,11741.06
2015-02-28 16:57:04.137,0,5814.768,2181.96
2015-02-28 16:57:20.743,47.87506,17677.71,9141.679
2015-02-28 16:58:01.233,504.9803,15825.66,8504.335
2015-02-28 16:58:17.168,769.1663,18398.66,2789.602
2015-02-28 16:58:32.922,289.5551,18919.26,2522.02
2015-02-28 16:58:48.869,140.1896,3945.251,4060.797
2015-02-28 16:59:05.410,206.1897,10392.09,8817.984
2015-02-28 16:59:21.141,91.95828,14440.31,1700.637
2015-02-28 16:59:37.302,680.5735,4364.105,4694.851
2015-02-28 16:59:53.064,279.0988,19996.72,4943.879
2015-02-28 17:00:09.012,965.0447,16199.74,9830.394
2015-02-28 17:00:24.644,389.4501,3143.046,4071.57
2015-02-28 17:00:40.439,799.1179,24612.88,8855.975
2015-02-28 17:00:56.267,651.7221,30696.18,5169.12
2015-02-28 17:01:12.074,581.2315,9469.408,9659.002
2015-02-28 17:01:27.910,309.1309,2901.905,1512.123
2015-02-28 17:01:43.675,134.5405,3130.853,5329.971
2015-02-28 17:01:59.986,72.42775,2043.132,12315.04
2015-02-28 17:02:15.854,87.08214,2757.702,12572.08
2015-02-28 17:02:31.713,122.2019,1865.565,4981.184
2015-02-28 17:02:47.790,382.3582,2186.477,1712.793
