date,end,title,fill,description
2015-03-01 15:00:00.000,2015-03-01 15:00:00.000,Kick-off,gray,Craig Joubert - the referee - gets things underway
2015-03-01 15:02:00.000,2015-03-01 15:02:00.000,Penalty,#006946,Sexton has a pop at goal from 41m and scores
2015-03-01 15:08:00.000,2015-03-01 15:08:00.000,Penalty,#006946,15m out and a fraction to the right; that is easy enough for Sexton
2015-03-01 15:12:00.000,2015-03-01 15:12:00.000,Drop Goal,#999999,Back it goes to Ford in the pocket 23m out and he slots it through
2015-03-01 15:29:00.000,2015-03-01 15:29:00.000,Penalty,#006946,Right in front on the 22.  Easy for Sexton
2015-03-01 15:41:00.000,2015-03-01 15:55:00.000,Half-time,gray,Thats the break and Ireland will be happy enough
2015-03-01 16:02:00.000,2015-03-01 16:02:00.000,Penalty,#006946,Dead-eyed Sexton sticks it through the middle
2015-03-01 16:08:00.000,2015-03-01 16:08:00.000,Try,#006946,Murray chips over with the box-kick to Henshaw who outjumps Goode and tumbles over in the corner! What a finish!
2015-03-01 16:15:00.000,2015-03-01 16:15:00.000,Penalty,#999999,England win the penalty at the scrum and opt for the kick at goal
2015-03-01 16:25:00.000,2015-03-01 16:25:00.000,Penalty,#999999,25m out and an easy kick for Ford
2015-03-01 16:40:00.000,2015-03-01 16:40:00.000,Full-time,gray,
