date,Draw,England,Ireland
2015-03-01 14:50:33.020,0.002802247,0.03816656,0.04500061
2015-03-01 14:50:48.921,2462.632,10086.73,5028.877
2015-03-01 14:51:04.727,1904.022,5445.465,6863.849
2015-03-01 14:51:20.662,370.9422,6131.164,23675.24
2015-03-01 14:51:36.504,154.6062,12742.93,1898.452
2015-03-01 14:51:52.691,1356.565,4468.671,45886.56
2015-03-01 14:52:08.769,361.4691,2419.858,2497.257
2015-03-01 14:52:24.468,229.3094,5375.243,13009.68
2015-03-01 14:52:40.449,158.069,11539.68,2522.196
2015-03-01 14:52:56.316,338.2822,4722.338,1234.28
2015-03-01 14:53:12.124,889.3232,16939.16,3907.731
2015-03-01 14:53:29.448,187.0248,1348.657,2337.083
2015-03-01 14:53:45.349,30.1876,2981.026,1652.733
2015-03-01 14:54:01.279,1863.27,28055.15,17903.02
2015-03-01 14:54:17.183,434.2965,6658.597,35502.76
2015-03-01 14:54:32.913,145.5189,2923.117,13872.62
2015-03-01 14:54:49.085,576.2042,1467.464,12216.49
2015-03-01 14:55:04.955,448.9629,11542.53,632.102
2015-03-01 14:55:20.712,742.3387,5022.962,26447.14
2015-03-01 14:55:40.416,962.8547,3058.54,8146.293
2015-03-01 14:55:56.275,2450.612,4478.854,6988.562
2015-03-01 14:56:12.285,825.7185,16494.02,2448.111
2015-03-01 14:56:28.185,609.525,6372.238,3658.621
2015-03-01 14:56:43.928,3678.931,13853.61,6536.913
2015-03-01 14:56:59.736,952.1999,3952.425,24737.23
2015-03-01 14:57:15.646,711.5049,12601.82,8177.423
2015-03-01 14:57:31.544,777.3861,5449.817,2038.459
2015-03-01 14:57:47.385,861.6722,11480.78,54366.37
2015-03-01 14:58:03.501,323.7537,2633.142,2893.046
2015-03-01 14:58:19.340,136.2163,3131.687,13265.03
2015-03-01 14:58:35.244,284.3528,1825.864,19956.99
2015-03-01 14:58:51.660,469.3747,3305.653,8419.944
2015-03-01 14:59:07.559,102.0405,7144.908,15938.65
2015-03-01 14:59:23.453,1045.937,5282.12,13550.4
2015-03-01 14:59:39.371,1101.137,5158.878,11419.04
2015-03-01 14:59:55.175,544.4454,5303.939,7740.693
2015-03-01 15:00:10.955,890.2161,2146.017,41496.21
2015-03-01 15:00:26.913,657.0674,4414.751,23049.13
2015-03-01 15:00:46.379,960.7053,2162.203,8346.497
2015-03-01 15:01:02.297,229.1002,3199.374,3496.36
2015-03-01 15:01:18.117,104.1816,1478.454,5136.567
2015-03-01 15:01:34.019,290.7135,3633.976,5394.632
2015-03-01 15:01:50.936,390.6348,4096.133,26674.78
2015-03-01 15:02:07.355,272.9878,730.5986,348.1234
2015-03-01 15:02:23.384,818.0294,499.7114,9781.579
2015-03-01 15:02:39.250,947.63,1900.857,15536.08
2015-03-01 15:02:55.344,243.2315,2255.931,6667.763
2015-03-01 15:03:11.384,222.0335,611.1159,6820.424
2015-03-01 15:03:27.552,308.5483,538.2709,15024.56
2015-03-01 15:03:43.581,551.2932,8713.487,9447.259
2015-03-01 15:03:59.541,478.606,3748.134,12718.41
2015-03-01 15:04:15.417,246.8258,3044.336,11122.85
2015-03-01 15:04:31.174,695.7842,487.3003,11898.25
2015-03-01 15:04:47.481,116.266,2723.936,9127.138
2015-03-01 15:05:03.345,133.1721,405.6434,4351.145
2015-03-01 15:05:19.149,525.642,4865.928,13970.78
2015-03-01 15:05:34.965,184.6373,1902.861,6792.278
2015-03-01 15:05:54.681,468.9541,1913.673,11379.39
2015-03-01 15:06:10.724,461.1433,2924.352,6043.408
2015-03-01 15:06:26.738,368.9364,1467.091,5130.902
2015-03-01 15:06:42.681,142.0317,235.7786,5788.601
2015-03-01 15:06:58.909,16.89718,321.5271,5319.359
2015-03-01 15:07:14.964,79.45171,825.9465,4219.611
2015-03-01 15:07:31.005,114.3437,8872.952,2215.47
2015-03-01 15:07:46.900,369.6312,2070.72,5044.681
2015-03-01 15:08:02.949,314.901,2167.968,21595.15
2015-03-01 15:08:18.964,149.1048,292.9272,1918.694
2015-03-01 15:08:34.904,323.5723,584.0563,7598.491
2015-03-01 15:08:51.609,236.7657,435.172,4454.694
2015-03-01 15:09:09.106,155.8867,1392.041,2614.651
2015-03-01 15:09:25.132,77.16477,1188.285,8648.745
2015-03-01 15:09:41.053,235.9825,1225.285,10977.14
2015-03-01 15:09:56.965,78.99533,568.9926,1465.58
2015-03-01 15:10:13.012,100.5048,2636.794,10299.8
2015-03-01 15:10:29.098,406.7735,2712.01,4098.472
2015-03-01 15:10:51.154,520.9895,3394.158,11334.08
2015-03-01 15:11:08.014,209.9327,1325.184,2090.608
2015-03-01 15:11:28.708,227.5396,3161.055,1552.274
2015-03-01 15:11:44.624,113.0915,2715.779,168.0539
2015-03-01 15:12:00.526,960.3308,7666.082,2932.422
2015-03-01 15:12:16.281,398.3766,4569.506,7609.217
2015-03-01 15:12:32.170,911.2574,2201.504,3921.87
2015-03-01 15:12:48.089,506.3328,1220.754,6347.968
2015-03-01 15:13:04.511,328.3167,3706.697,9264.624
2015-03-01 15:13:20.602,456.9956,1615.183,1260.019
2015-03-01 15:13:36.515,286.2534,1929.42,2131.555
2015-03-01 15:13:52.318,1024.334,787.5958,669.7393
2015-03-01 15:14:08.495,837.9725,1361.696,5720.904
2015-03-01 15:14:24.357,182.8572,3710.859,2720.578
2015-03-01 15:14:40.270,57.04754,2276.811,1484.593
2015-03-01 15:14:56.193,332.9019,3382.45,6937.096
2015-03-01 15:15:12.345,111.2237,622.5035,436.3506
2015-03-01 15:15:28.498,68.30949,1588.725,268.8548
2015-03-01 15:15:44.495,284.555,342.6137,333.4248
2015-03-01 15:16:00.466,237.1385,2446.9,1947.601
2015-03-01 15:16:16.341,154.0121,683.5116,447.9013
2015-03-01 15:16:32.183,248.1087,1132.339,3760.641
2015-03-01 15:16:48.071,219.8363,1195.976,797.9971
2015-03-01 15:17:04.170,111.99,1784.423,1670.16
2015-03-01 15:17:19.977,228.5833,1313.994,5439.084
2015-03-01 15:17:35.759,24.55932,526.3147,7192.004
2015-03-01 15:17:51.504,518.2822,4531.578,22205.38
2015-03-01 15:18:07.330,216.1675,3000.603,15430.65
2015-03-01 15:18:23.098,571.5419,8579.179,7420.646
2015-03-01 15:18:39.041,285.5685,715.2761,9444.873
2015-03-01 15:18:54.959,278.2956,3577.209,1299.165
2015-03-01 15:19:10.942,375.4936,16178.02,2957.064
2015-03-01 15:19:26.746,149.7394,10548.08,516.4566
2015-03-01 15:19:42.587,129.5342,1892.071,2415.018
2015-03-01 15:19:58.793,0,1265.871,0
2015-03-01 15:20:15.011,412.2095,3744.772,9734.61
2015-03-01 15:20:30.855,65.24896,2572.847,2053.127
2015-03-01 15:20:46.847,111.732,1322.137,1682.958
2015-03-01 15:21:02.728,217.5765,700.786,3982.87
2015-03-01 15:21:18.542,273.5581,989.7793,20159.26
2015-03-01 15:21:34.637,725.8492,4352.038,6924.812
2015-03-01 15:21:51.383,61.59073,5405.222,8914.927
2015-03-01 15:22:07.126,16.65548,1869.53,2594.215
2015-03-01 15:22:22.918,765.0575,13975.17,14756.79
2015-03-01 15:22:38.717,57.76246,188.7818,2573.562
2015-03-01 15:22:54.995,73.0968,1021.549,4433.065
2015-03-01 15:23:10.847,551.5112,1101.735,2764.823
2015-03-01 15:23:26.741,706.1964,906.074,1340.067
2015-03-01 15:23:42.476,1190.758,13103.41,23107.99
2015-03-01 15:23:58.361,358.7154,2783.567,7790.436
2015-03-01 15:24:14.090,202.2187,1050.652,4795.837
2015-03-01 15:24:29.920,632.4651,4523.488,8768.74
2015-03-01 15:24:46.067,352.7424,677.9135,6164.651
2015-03-01 15:25:01.907,233.7505,1152.503,5053.421
2015-03-01 15:25:17.855,57.14707,452.4738,5657.673
2015-03-01 15:25:33.670,92.57131,1705.664,1015.894
2015-03-01 15:25:49.725,310.0411,4396.784,18293.73
2015-03-01 15:26:05.561,53.57244,2733.862,5980.905
2015-03-01 15:26:21.718,39.99597,995.2573,15814.42
2015-03-01 15:26:37.962,84.03156,2873.953,4271.019
2015-03-01 15:26:53.999,149.7258,3378.895,1760.345
2015-03-01 15:27:10.282,49.00913,994.738,4864.322
2015-03-01 15:27:26.398,66.79012,268.873,2898.594
2015-03-01 15:27:42.627,19.37284,563.6239,2885.222
2015-03-01 15:27:58.401,45.22586,434.8757,1033.234
2015-03-01 15:28:14.488,22.37794,1100.323,8173.355
2015-03-01 15:28:30.825,293.3395,1490.937,7056.895
2015-03-01 15:28:48.299,141.8813,779.7293,2535.7
