date,end,title,fill,description
2015-02-14 17:00:00.000,2015-02-14 17:00:00.000,Kick-off,gray,Camille Lopez kicks off to Zebo
2015-02-14 17:15:00.000,2015-02-14 17:15:00.000,Penalty,#006946,5m in from touch and fractionally outside the 22; it is a tough one this. Sexton kicks it anyway
2015-02-14 17:18:00.000,2015-02-14 17:18:00.000,Penalty,#004a93,This is straight-ish but by no means a gimme for the inexperienced 10
2015-02-14 17:20:00.000,2015-02-14 17:20:00.000,Penalty,#006946,Easy one for Sexton
2015-02-14 17:35:00.000,2015-02-14 17:35:00.000,Penalty,#006946,This guy does not miss
2015-02-14 17:38:00.000,2015-02-14 17:38:00.000,Penalty,#004a93,Pretty straight; 42m out
2015-02-14 17:41:00.000,2015-02-14 17:41:00.000,Penalty,#006946,smack bang in front; 17m out
2015-02-14 17:44:00.000,2015-02-14 17:56:00.000,Half-time,gray,
2015-02-14 18:08:00.000,2015-02-14 18:08:00.000,Penalty,#006946,Madigan steps up and swiftly dispatches the kick
2015-02-14 18:32:00.000,2015-02-14 18:32:00.000,Penalty,#006946,Its 15m in from the right and about 42m out. Sexton takes his time and slots it wonderfully
2015-02-14 18:36:00.000,2015-02-14 18:36:00.000,Try!,#004a93,Huget looks to be in for a fraction of a second but he is dragged down short. France recycle; it goes left and the giant replacement lock rides one tackle and goes over! 
2015-02-14 18:50:00.000,2015-02-14 18:50:00.000,Full-time,gray,Well well well that was all a little bit exciting in the end. A brilliant defensive effort from the home side
