date,Draw,France,Ireland
2015-02-14 16:50:16.677,,,
2015-02-14 16:50:32.649,3.571429,25,71.90568
2015-02-14 16:50:48.489,3.571429,24.96069,71.90889
2015-02-14 16:51:04.733,3.571429,25,71.93488
2015-02-14 16:51:20.645,3.689881,24.94026,71.42857
2015-02-14 16:51:36.487,3.703704,25,71.9288
2015-02-14 16:51:52.666,3.703704,24.58499,71.94245
2015-02-14 16:52:08.560,3.703704,24.39024,71.94245
2015-02-14 16:52:28.409,3.680856,24.39024,72.40194
2015-02-14 16:52:44.349,3.703704,24.39024,72.45865
2015-02-14 16:53:00.078,3.703704,24.37617,72.98523
2015-02-14 16:53:15.884,3.571429,24.05761,72.88832
2015-02-14 16:53:31.761,3.571429,23.83786,72.9927
2015-02-14 16:53:47.465,3.703704,23.77126,73.11165
2015-02-14 16:54:03.223,3.703704,23.55112,73.29174
2015-02-14 16:54:19.032,3.617969,23.80952,73.03127
2015-02-14 16:54:35.384,3.703704,23.46976,72.82959
2015-02-14 16:54:51.228,3.559765,23.80952,72.9927
2015-02-14 16:55:07.014,3.484451,24.21907,72.46377
2015-02-14 16:55:22.912,3.571429,24.34007,72.88428
2015-02-14 16:55:38.625,3.571429,24.39024,72.79243
2015-02-14 16:55:54.389,3.594835,24.37796,72.62967
2015-02-14 16:56:11.462,3.662518,24.39024,72.23616
2015-02-14 16:56:27.572,3.703704,24.05524,72.2381
2015-02-14 16:56:43.397,3.703704,24.39024,72.44237
2015-02-14 16:56:59.200,3.703704,24.3837,72.46161
2015-02-14 16:57:15.169,3.703704,24.39024,72.42378
2015-02-14 16:57:35.410,3.571429,24.39024,72.57089
2015-02-14 16:57:55.976,3.571429,24.27833,72.57089
2015-02-14 16:58:11.781,3.571429,24.39024,71.9787
2015-02-14 16:58:27.868,3.571429,24.83694,72.46377
2015-02-14 16:58:43.598,3.4974,24.97575,71.94245
2015-02-14 16:58:59.349,3.571429,24.39024,72.16112
2015-02-14 16:59:15.320,3.473243,24.39024,72.3737
2015-02-14 16:59:31.543,3.530379,23.98189,72.35502
2015-02-14 16:59:47.279,3.571429,24.39024,72.9927
2015-02-14 17:00:03.045,3.363648,23.80463,73.00341
2015-02-14 17:00:18.951,3.313324,23.64299,73.52941
2015-02-14 17:00:34.734,3.368146,23.90543,73.38713
2015-02-14 17:00:50.851,3.333333,23.82113,73.57444
2015-02-14 17:01:06.667,3.422605,23.8257,73.51945
2015-02-14 17:01:22.493,3.485814,23.25581,73.64743
2015-02-14 17:01:38.407,3.327264,23.25581,73.77842
2015-02-14 17:01:54.316,3.125,23.89034,74.14122
2015-02-14 17:02:09.992,3.173495,23.20224,74.12736
2015-02-14 17:02:25.922,3.211948,23.87343,73.85957
2015-02-14 17:02:42.720,2.999418,23.64138,73.25079
2015-02-14 17:02:58.472,3.041527,22.72727,74.62687
2015-02-14 17:03:14.300,3.067041,22.86469,75.1348
2015-02-14 17:03:30.217,2.99781,23.55025,73.58767
2015-02-14 17:03:46.273,3.043097,24.81757,72.48322
2015-02-14 17:04:02.132,3.089015,25.01223,72.30531
2015-02-14 17:04:17.803,3.124085,25.64103,71.94154
2015-02-14 17:04:33.617,3.036417,25.64142,71.39241
2015-02-14 17:04:49.640,2.941176,26.07867,71.27951
2015-02-14 17:05:05.377,3.238714,25.89912,70.46022
2015-02-14 17:05:21.492,2.902665,25.9579,71.01485
2015-02-14 17:05:37.282,3.125,26.87425,71.36189
2015-02-14 17:05:53.134,3.125,26.58755,71.10838
2015-02-14 17:06:08.986,3.139026,25.02416,71.69931
2015-02-14 17:06:24.829,2.941176,24.70947,72.7447
2015-02-14 17:06:40.991,3.257911,23.96453,72.76759
2015-02-14 17:06:56.937,3.125,24.42556,72.41824
2015-02-14 17:07:12.591,3.125,24.39024,72.41824
2015-02-14 17:07:28.413,3.114416,25.42373,72.40337
2015-02-14 17:07:48.681,2.993985,24.51868,72.93126
2015-02-14 17:08:04.427,3.125,25,71.94245
2015-02-14 17:08:20.288,2.991931,25.0422,72.89438
2015-02-14 17:08:36.114,3.14824,25.23064,70.8933
2015-02-14 17:08:52.124,3.197279,27.39726,70.31495
2015-02-14 17:09:07.786,3.190001,26.9833,70.00823
2015-02-14 17:09:23.730,3.283213,26.75642,69.93923
2015-02-14 17:09:43.521,3.125,25.65646,71.32365
2015-02-14 17:09:59.198,3.215629,25,71.95485
2015-02-14 17:10:15.008,3.125,25.95825,71.43723
2015-02-14 17:10:30.802,3.282159,26.11878,72.23454
2015-02-14 17:10:46.558,3.125,26.01341,71.42857
2015-02-14 17:11:02.193,3.125,25.65709,71.4268
2015-02-14 17:11:19.322,3.125,26.29077,71.30829
2015-02-14 17:11:34.940,3.102842,25.27902,71.57511
2015-02-14 17:11:50.557,3.04878,23.96512,73.20913
2015-02-14 17:12:06.259,3.077975,26.11698,71.68239
2015-02-14 17:12:22.102,3.249318,26.03128,71.83778
2015-02-14 17:12:37.817,3.310277,25.90146,71.51113
2015-02-14 17:12:56.384,3.269893,24.38997,72.10093
2015-02-14 17:13:12.234,3.107875,22.57017,74.66166
2015-02-14 17:13:27.957,3.119233,22.67259,76.26692
2015-02-14 17:13:44.246,3.159322,21.50034,75.74821
2015-02-14 17:13:59.960,3.028325,21.72743,75.55334
2015-02-14 17:14:15.994,3.068126,21.88107,75.89137
2015-02-14 17:14:31.739,3.076464,20.40816,76.15087
2015-02-14 17:14:47.351,2.941641,20.83333,76.20715
2015-02-14 17:15:03.031,2.942301,22.22222,76.18291
2015-02-14 17:15:18.751,3.080327,22.19449,76.77147
2015-02-14 17:15:34.413,2.777778,20.92958,76.83697
2015-02-14 17:15:50.246,2.907391,20.31666,77.18583
2015-02-14 17:16:06.225,2.941176,20.31666,78.09215
2015-02-14 17:16:22.804,2.809633,20.40816,77.37601
2015-02-14 17:16:38.579,2.887832,19.87143,77.82068
2015-02-14 17:16:54.537,2.8762,19.93395,77.47024
2015-02-14 17:17:10.246,2.777778,20.26921,77.56642
2015-02-14 17:17:26.598,2.777778,19.94942,77.7204
2015-02-14 17:17:42.429,2.921083,20.38395,76.4269
