date,Wales,Italy
2015-03-21 12:30:00.000,0,0
2015-03-21 12:31:00.000,0,3
2015-03-21 12:38:00.000,3,3
2015-03-21 12:41:00.000,3,6
2015-03-21 12:43:00.000,6,6
2015-03-21 12:50:00.000,11,6
2015-03-21 12:57:00.000,11,13
2015-03-21 13:15:00.000,14,13
2015-03-21 13:37:00.000,21,13
2015-03-21 13:40:00.000,28,13
2015-03-21 13:46:00.000,35,13
2015-03-21 13:51:00.000,42,13
2015-03-21 14:01:00.000,47,13
2015-03-21 14:04:00.000,54,13
2015-03-21 14:09:00.000,61,13
2015-03-21 14:16:00.000,61,20
