date,end,title,fill,description
2015-02-15 15:01:00.000,2015-02-15 15:01:00.000,Kick-off,gray,Glenn Jackson blows his whistle and Finn Russell gets things underway
2015-02-15 15:07:00.000,2015-02-15 15:07:00.000,Penalty,#e52713,Just to the left of the posts and on the 22. Halfpenny wont miss this
2015-02-15 15:11:00.000,2015-02-15 15:11:00.000,Try!,#0d3a63,Russell strips Cuthbert of the ball and passes to Hogg on his left. The full-back puts the foot down burns Webb off on the outside and scores from 70m!
2015-02-15 15:19:00.000,2015-02-15 15:19:00.000,Penalty,#0d3a63,A well deserved three points for Scotland but they will have wanted more from all that territory
2015-02-15 15:21:00.000,2015-02-15 15:21:00.000,Penalty,#e52713,The worlds best kicker does not miss from 10m out
2015-02-15 15:35:00.000,2015-02-15 15:35:00.000,Penaty,#e52713,Halfpenny knocks it over from the 22
2015-02-15 15:39:00.000,2015-02-15 15:39:00.000,Try!,#e52713,Cuthbert can only get to halfway before being caught. Scotland are too narrow though and Wales ship it across to the other side of the pitch to Williams. He gets away on the overlap and as the cover comes across Williams pops it inside to Webb who crosses. 
2015-02-15 15:48:00.000,2015-02-15 16:00:00.000,Half-time,gray,
2015-02-15 16:04:00.000,2015-02-15 16:04:00.000,Penalty,#0d3a63,From 30m - about 5m to the left of the posts - Laidlaw knocks it through
2015-02-15 16:09:00.000,2015-02-15 16:09:00.000,Penalty,#e52713,Leigh Halfpenny doesnt want to miss a thing
2015-02-15 16:14:00.000,2015-02-15 16:14:00.000,Penalty,#0d3a63,Laidlaw is no mug with the boot himself and hits a confident penalty through the sticks to reduce the arrears to three
2015-02-15 16:29:00.000,2015-02-15 16:29:00.000,Try!,#e52713,A delayed pass from Biggar to Davies and the Clermont man steps out of Scotts weak tackle. He sells Jonny Gray with a dummy and canters over from 20m
2015-02-15 16:46:00.000,2015-02-15 16:46:00.000,Try!,#0d3a63,Hidalgo-Cyne goes quickly and gets up to the line. Scotland pile the bodies in and Jim Hamilton is the man to plunder his way over the line
2015-02-15 16:47:00.000,2015-02-15 16:47:00.000,Full-time,gray,Do we have time for the restart? Glenn Jackson checks his watch - checks with the fourth official - and decides we do not
