date,Draw,Scotland,Wales
2015-02-15 14:50:16.742,0.001059054,0.01395759,0.0474073
2015-02-15 14:50:32.342,782.4621,5700.042,1338.693
2015-02-15 14:50:47.990,92.02756,195.5586,1110.389
2015-02-15 14:51:03.803,0,1189.594,2652.264
2015-02-15 14:51:19.815,16.63755,329.3786,6542.68
2015-02-15 14:51:35.530,895.8179,4454.081,67034.19
2015-02-15 14:51:51.143,467.1725,14450.61,0
2015-02-15 14:52:07.639,36.37356,1089.861,651.596
2015-02-15 14:52:23.387,89.30656,2589.09,10948.66
2015-02-15 14:52:39.190,119.897,1212.79,10915.41
2015-02-15 14:52:54.933,273.7333,1920.935,12287.89
2015-02-15 14:53:10.553,277.373,4131.21,33259.6
2015-02-15 14:53:26.144,435.6935,1323.782,5949.629
2015-02-15 14:53:41.744,195.7691,121.5769,5338.536
2015-02-15 14:53:57.419,293.9404,993.3265,4899.607
2015-02-15 14:54:13.158,246.1855,7364.75,1300.765
2015-02-15 14:54:28.735,45.10586,4450.496,1587.834
2015-02-15 14:54:44.360,84.47878,1059.825,11559.77
2015-02-15 14:54:59.929,38.53793,752.6457,5720.57
2015-02-15 14:55:15.679,775.6839,815.7615,6465.747
2015-02-15 14:55:31.373,38.23005,828.8274,1992.321
2015-02-15 14:55:47.096,91.58694,3790.974,5156.879
2015-02-15 14:56:02.742,152.3174,1740.414,843.4976
2015-02-15 14:56:21.080,384.3902,3581.654,5580.43
2015-02-15 14:56:36.764,41.0866,988.6799,12034.4
2015-02-15 14:56:52.556,303.9602,1076.513,1799.52
2015-02-15 14:57:08.120,212.642,3494.638,12730.8
2015-02-15 14:57:23.747,11.36482,780.8704,8869.164
2015-02-15 14:57:39.318,0,4239.547,5203.889
2015-02-15 14:57:54.932,61.17654,2435.149,692.2326
2015-02-15 14:58:10.511,60.69677,197.4956,562.9086
2015-02-15 14:58:26.336,430.7049,3957.556,78420.59
2015-02-15 14:58:41.934,115.5552,849.9691,19835.18
2015-02-15 14:58:57.502,641.5832,1469.587,16595.53
2015-02-15 14:59:13.160,300.9102,923.384,1959.691
2015-02-15 14:59:28.678,256.9228,879.9172,30994.52
2015-02-15 14:59:44.338,346.258,3003.598,8238.695
2015-02-15 14:59:59.936,309.7306,3346.337,1936.432
2015-02-15 15:00:16.402,235.7882,3664.573,14504.49
2015-02-15 15:00:32.127,336.6598,678.0893,1095.108
2015-02-15 15:00:47.727,50.95945,717.5859,9598.645
2015-02-15 15:01:03.294,525.472,2767.275,18546.74
2015-02-15 15:01:18.897,360.3649,5562.564,18492.09
2015-02-15 15:01:34.990,269.2122,855.6185,5072.308
2015-02-15 15:01:50.704,101.9084,1907.776,2549.429
2015-02-15 15:02:06.586,363.6227,3766.262,8351.27
2015-02-15 15:02:22.280,150.8267,382.2091,3213.278
2015-02-15 15:02:37.871,328.6506,1843.368,8102.391
2015-02-15 15:02:53.525,44.68949,361.1953,7654.934
2015-02-15 15:03:09.120,172.6311,1927.335,87393.56
2015-02-15 15:03:24.682,486.9563,3969.87,115562.2
2015-02-15 15:03:40.297,216.3718,341.2534,20450.73
2015-02-15 15:03:55.918,575.3981,573.516,4692.529
2015-02-15 15:04:11.802,492.3862,497.5613,29557.04
2015-02-15 15:04:27.545,120.2444,1798.14,18694.56
2015-02-15 15:04:43.118,604.6512,96.31885,1221.708
2015-02-15 15:04:58.698,104.2091,330.1496,2672.236
2015-02-15 15:05:14.301,213.9562,2614.004,11588.94
2015-02-15 15:05:29.890,28.86693,304.065,2237.726
2015-02-15 15:05:45.500,122.5779,1191.646,4048.953
2015-02-15 15:06:01.149,31.39971,321.895,20786.72
2015-02-15 15:06:19.652,147.0649,1509.11,7152.641
2015-02-15 15:06:41.702,83.698,276.3449,1878.28
2015-02-15 15:06:57.310,14.49299,276.4048,14059.47
2015-02-15 15:07:12.906,15.08011,119.2559,29124.49
2015-02-15 15:07:28.516,0,345.9501,11615.24
2015-02-15 15:07:44.100,10.08702,440.056,12409.08
2015-02-15 15:07:59.689,76.97956,126.1695,9875.092
2015-02-15 15:08:15.319,24.87517,407.7532,2180.685
2015-02-15 15:08:31.281,82.20426,590.2769,14675.13
2015-02-15 15:08:46.902,58.80749,515.1321,17808.18
2015-02-15 15:09:02.514,41.16014,269.0206,5631.792
2015-02-15 15:09:18.093,128.4798,288.8484,18969.6
2015-02-15 15:09:33.767,27.06363,236.4909,15415.7
