date,end,title,fill,description
2015-03-14 14:30:00.000,2015-03-14 14:30:00.000,Kick-off,gray,Wayne Barnes blows his whistle and Dan Biggar gets us underway
2015-03-14 14:32:00.000,2015-03-14 14:32:00.000,Penalty,#e52713,35m out and pretty much dead in front
2015-03-14 14:36:00.000,2015-03-14 14:36:00.000,Penalty,#e52713,Just inside the 22 about 10m to the right of the posts. Halfpenny slots it in
2015-03-14 14:40:00.000,2015-03-14 14:40:00.000,Penalty,#e52713,Dead on halfway and dead centre. Leigh Halfpenny extends the lead
2015-03-14 14:48:00.000,2015-03-14 14:48:00.000,Penalty,#e52713,38m out and just to the left. Ireland have a problem now
2015-03-14 14:52:00.000,2015-03-14 14:52:00.000,Penalty,#006946,Sexton from 4m inside the Welsh half 15m in from the right lands an excellent kick
2015-03-14 15:04:00.000,2015-03-14 15:04:00.000,Penalty,#006946,Sexton notches the kick from 40m
2015-03-14 15:10:00.000,2015-03-14 15:10:00.000,Drop-goal,#e52713,Eventually it goes back and Biggar nails the perfect drop-goal from 40m!
2015-03-14 15:10:00.000,2015-03-14 15:10:00.000,Penalty,#006946,Back to within six
2015-03-14 15:20:00.000,2015-03-14 15:33:00.000,Half-time,gray,Free-kick to Wales at the scrum and Biggar boots it out to end the half
2015-03-14 15:58:00.000,2015-03-14 15:58:00.000,Try!,#e52713,Scott Williams comes from deep cuts a marvellous line inside of Bowe and goes over!
2015-03-14 16:06:00.000,2015-03-14 16:06:00.000,Penalty try!,#006946,Down comes the maul and Wayne Barnes goes straight under the posts! Sexton converts.
2015-03-14 16:13:00.000,2015-03-14 16:13:00.000,Penalty,#e52713,From 38m straight in front
2015-03-14 16:22:00.000,2015-03-14 16:22:00.000,Full-time,gray,Wales get the penalty from a collapsed scrum and kick it out!
