date,Draw,England,France
2015-03-21 16:50:16.873,0.00065566,0.04054075,0.004494289
2015-03-21 16:50:32.684,683.0775,23448.99,796.9238
2015-03-21 16:50:48.417,0,617.813,137.2918
2015-03-21 16:51:04.121,38.20614,152.8245,22.46521
2015-03-21 16:51:19.976,0,15175.82,97.26148
2015-03-21 16:51:35.994,0,0,54.16189
2015-03-21 16:51:52.053,10.79817,16768.96,277.9127
2015-03-21 16:52:07.767,0,154.6729,464.2098
2015-03-21 16:52:23.637,293.6162,4219.363,5364.943
2015-03-21 16:52:39.692,0,2638.426,291.2732
2015-03-21 16:52:55.381,68.83789,959.3707,0
2015-03-21 16:53:11.164,0,4599.897,357.3474
2015-03-21 16:53:27.244,0,1791.575,1505.205
2015-03-21 16:53:44.370,15.76613,1133.83,217.958
2015-03-21 16:54:00.155,218.5632,34112.84,1646.56
2015-03-21 16:54:15.981,17.13594,3166.66,1569.644
2015-03-21 16:54:31.749,38.05035,1556.716,1462.846
2015-03-21 16:54:47.877,0,1935.878,995.5074
2015-03-21 16:55:03.508,11.13133,593.7221,335.0914
2015-03-21 16:55:19.641,137.6808,593.4929,2025.493
2015-03-21 16:55:35.566,54.48012,12696.96,2428.849
2015-03-21 16:55:51.393,174.5405,53443.53,2823.925
2015-03-21 16:56:07.199,96.99053,4175.717,1985.364
2015-03-21 16:56:23.153,116.8067,15636.19,1479.94
2015-03-21 16:56:38.949,83.5688,5443.785,1304.091
2015-03-21 16:56:54.799,0,3596.102,950.9987
2015-03-21 16:57:10.586,145.8708,13854.84,468.0561
2015-03-21 16:57:26.338,26.66239,5961.787,1507.834
2015-03-21 16:57:42.548,30.05537,5332.534,232.9292
2015-03-21 16:57:58.653,83.30594,5746.806,1150.486
2015-03-21 16:58:14.366,700.962,62234.37,2324.397
2015-03-21 16:58:36.787,101.8756,18127.81,421.3373
2015-03-21 16:58:53.121,176.3186,3531.955,391.5007
2015-03-21 16:59:08.792,45.94574,8203.917,453.3313
2015-03-21 16:59:24.669,15.19145,8707.798,1117.554
2015-03-21 16:59:40.340,66.69678,1615.731,516.7278
2015-03-21 16:59:55.997,10.34723,2667.287,653.4086
2015-03-21 17:00:11.914,15.15361,31350.93,735.1384
2015-03-21 17:00:27.554,48.72069,23613.38,477.0791
2015-03-21 17:00:43.326,84.45238,7024.422,450.717
2015-03-21 17:00:59.005,1.645483,15402.79,648.5882
2015-03-21 17:01:14.758,53.51569,26890.59,572.2941
2015-03-21 17:01:30.651,33.5993,35235.81,380.5404
2015-03-21 17:01:47.023,310.555,4614.713,478.7692
2015-03-21 17:02:12.207,24.56315,3518.773,636.0451
2015-03-21 17:02:27.921,32.41687,5750.844,360.6329
2015-03-21 17:02:43.522,25.11364,3622.595,7.691774
2015-03-21 17:03:04.172,2.353502,8595.252,34.22748
2015-03-21 17:03:20.073,52.67682,14050.26,616.6132
2015-03-21 17:03:35.742,16.77208,4605.467,11.48772
2015-03-21 17:03:54.935,0,2760.623,31.2613
2015-03-21 17:04:10.585,53.67287,3348.88,131.0768
2015-03-21 17:04:26.561,52.88078,11905.12,203.0351
2015-03-21 17:04:42.620,57.98479,1607.77,267.2456
2015-03-21 17:04:58.365,2539.059,3191.991,541.3158
2015-03-21 17:05:14.216,66.42974,3839.185,88.72439
2015-03-21 17:05:30.106,42.32946,11782.05,146.6616
2015-03-21 17:05:45.764,27.43589,3556.703,220.2918
2015-03-21 17:06:01.582,70.74437,15269.59,540.1608
2015-03-21 17:06:17.639,6.24023,1416.009,241.949
2015-03-21 17:06:33.369,6.865703,2935.279,122.0569
2015-03-21 17:06:49.146,8.671008,6304.469,71.04141
2015-03-21 17:07:05.087,30.675,5952.983,219.8814
2015-03-21 17:07:21.097,3.335508,520.2268,27.43362
2015-03-21 17:07:36.922,0,18246.56,62.40823
2015-03-21 17:07:53.291,25.25517,2528.156,306.5809
2015-03-21 17:08:08.989,11.61926,9929.267,166.4917
2015-03-21 17:08:24.752,10.23906,3671.025,2798.383
2015-03-21 17:08:40.570,19.49622,3968.733,375.8902
2015-03-21 17:09:03.692,72.6601,21716.86,105.8761
2015-03-21 17:09:19.977,26.12153,1739.679,185.3928
2015-03-21 17:09:35.707,15.25801,20492.23,2.441281
2015-03-21 17:09:51.404,4.166302,982.7122,138.5582
2015-03-21 17:10:07.234,7.050122,1744.716,224.1256
2015-03-21 17:10:23.146,0.07541141,12152.77,344.1777
2015-03-21 17:10:38.978,30.16658,5469.322,684.5843
2015-03-21 17:10:55.244,35.81768,2268.65,39.2851
2015-03-21 17:11:11.038,87.26139,1111.415,78.75179
2015-03-21 17:11:27.044,178.3173,19166.39,979.8642
2015-03-21 17:11:42.927,0,1120.028,40.79973
2015-03-21 17:11:59.097,38.4416,8753.405,775.9935
2015-03-21 17:12:14.924,2.122905,187.498,204.6707
2015-03-21 17:12:30.776,6.813192,2527.429,54.95975
2015-03-21 17:12:46.554,7.186952,1452.943,52.01984
2015-03-21 17:13:02.840,13.70519,1670.449,447.924
2015-03-21 17:13:18.695,3.481568,512.2825,140.5494
2015-03-21 17:13:34.413,21.18546,637.396,151.2756
2015-03-21 17:13:50.422,2.473701,3293.733,79.60821
2015-03-21 17:14:06.216,45.66274,1265.944,76.88967
2015-03-21 17:14:22.175,15.37663,1548.904,87.07159
