date,end,title,fill,description
2015-03-21 12:30:00.000,2015-03-21 12:30:00.000,Kick-off,gray,Italy kick off and Charteris takes the catch on the 22
2015-03-21 12:50:00.000,2015-03-21 12:50:00.000,Try!,#e52713,The ball comes back to Halfpenny who sends the perfect grubber kick through for a charging Jamie Roberts to touch down.
2015-03-21 12:56:00.000,2015-03-21 12:56:00.000,Try!,#0095d4,That was a bit too easy. Italy look to set up a maul on the five-metre line. Venditti spins off to the left and goes over the line more-or-less unchallenged.
2015-03-21 13:16:00.000,2015-03-21 13:30:00.000,Half-time,gray,Not the first half Wales wanted. But they have their noses in front at least.
2015-03-21 13:37:00.000,2015-03-21 13:37:00.000,Try!,#e52713,Brilliant quick-thinking from Webb. Italy have hands in the ruck and Webb takes the penalty instantly. He runs over the line unchallenged.
2015-03-21 13:40:00.000,2015-03-21 13:40:00.000,Try!,#e52713,Liam Williams jumps to snaffle an up-and-under from Orquera and he lands to find acres of space to run into. North is outside him and he sprints in for the score.
2015-03-21 13:46:00.000,2015-03-21 13:46:00.000,Try!,#e52713,Jones pinches a lineout on the five-metre line. Wales switch the play right to left and North is there again on the overlap. He dives into the corner
2015-03-21 13:51:00.000,2015-03-21 13:51:00.000,Try!,#e52713,North shrugs off tackles in front of the posts and then crashes in for his hat-trick!
2015-03-21 14:02:00.000,2015-03-21 14:02:00.000,Try!,#e52713,A driving maul takes Wales to within a couple of metres. Webb spins off and is able to force his way over.
2015-03-21 14:04:00.000,2015-03-21 14:04:00.000,Try!,#e52713,Warburton is running like a Welsh Lomu. No one can catch him and he is over.
2015-03-21 14:09:00.000,2015-03-21 14:09:00.000,Try!,#e52713,Jonathan Davies surges clear and he has a choice of around eight team-mates to pick from. Williams is the closest and quickest and he wins the race to the line.
2015-03-21 14:16:00.000,2015-03-21 14:16:00.000,Try!,#0095d4,Italy look to run the ball from their own 22. And out of nowhere they spring away on the break. Sarto runs Biggar round the outside rather than pass inside.
2015-03-21 14:19:00.000,2015-03-21 14:19:00.000,Full-time,gray,What. Just. Happened. So England will need to beat France by at least 16 points, Ireland will need to beat Scotland by at least 20.
