date,Draw,Italy,Wales
2015-03-21 12:20:16.416,0.0001870766,0.0007877418,0.05318315
2015-03-21 12:20:32.062,0,0,15.34003
2015-03-21 12:20:47.725,6.894945,2191.06,4121.645
2015-03-21 12:21:03.899,0,133.546,0
2015-03-21 12:21:26.458,0,93.09241,0
2015-03-21 12:21:42.101,0,0,153.422
2015-03-21 12:21:57.693,7.080521,38.48109,0
2015-03-21 12:22:13.291,153.8603,15.38603,0
2015-03-21 12:22:28.948,0,30.65881,3065.881
2015-03-21 12:22:44.695,0,15.24018,0
2015-03-21 12:23:00.735,0,680.8362,2244.515
2015-03-21 12:23:16.288,15.43051,0,0
2015-03-21 12:23:32.136,30.28716,162.4149,504.7355
2015-03-21 12:23:47.738,15.38288,20.76688,0
2015-03-21 12:24:03.285,28.40514,30.87515,771.8787
2015-03-21 12:24:18.901,12.90949,116.7617,0
2015-03-21 12:24:34.544,70.41965,126.5713,7670.986
2015-03-21 12:24:51.118,0,214.3239,7861.487
2015-03-21 12:25:06.996,72.09945,1216.092,5097.333
2015-03-21 12:25:22.685,188.341,43.13678,3059.346
2015-03-21 12:25:38.369,22.95346,56.15945,903.5245
2015-03-21 12:25:54.181,30.3578,155.2802,3483.558
2015-03-21 12:26:10.264,14.92192,65.95488,22.38288
2015-03-21 12:26:26.206,30.10997,156.7977,167216.7
2015-03-21 12:26:41.937,41.4209,11.02269,8049.234
2015-03-21 12:26:57.548,0,203.777,100779.7
2015-03-21 12:27:13.350,22.78178,423.817,87826.22
2015-03-21 12:27:29.276,11.82957,99.8355,3767.377
2015-03-21 12:27:45.052,0,235.8077,61005.75
2015-03-21 12:28:00.837,155.3142,526.0005,7602.262
2015-03-21 12:28:16.828,0,73.31746,83958.63
2015-03-21 12:28:32.593,120.1838,608.6064,123648.8
2015-03-21 12:28:48.429,3.788856,90.93255,5274.088
2015-03-21 12:29:04.257,0,53.07,16331.8
2015-03-21 12:29:20.175,0,11.30826,5113.632
2015-03-21 12:29:36.062,18.76992,0,47344.6
2015-03-21 12:29:52.964,21.29929,0,78.0974
2015-03-21 12:30:08.767,3.265213,22.78056,8908.678
2015-03-21 12:30:24.624,15.13514,47.60002,756.7571
2015-03-21 12:30:40.394,76.09519,73.88843,3682.018
2015-03-21 12:30:56.108,152.4583,76.36279,8391.126
2015-03-21 12:31:11.760,44.39162,42.16821,24450.62
2015-03-21 12:31:27.541,66.49717,58.43691,2258.014
2015-03-21 12:31:50.421,56.27633,129.8342,12453.77
2015-03-21 12:32:06.141,6.488766,49.27645,36735.96
2015-03-21 12:32:21.663,1.468806,7.73056,4655.537
2015-03-21 12:32:37.279,7.684729,68.47093,951.8305
2015-03-21 12:32:53.300,22.46991,105.4588,4467.28
2015-03-21 12:33:08.867,7.708478,0,0
2015-03-21 12:33:24.499,23.22285,79.41831,2446.959
2015-03-21 12:33:40.325,27.41079,53.0776,0
2015-03-21 12:33:55.914,6.119402,41.37331,1927.458
2015-03-21 12:34:11.531,15.44448,15.75184,17589.73
2015-03-21 12:34:27.099,127.7628,28.9056,2296.647
2015-03-21 12:34:43.052,22.5664,0,1183.156
2015-03-21 12:34:59.430,0,14.65383,856.8826
2015-03-21 12:35:15.236,0,79.71668,4391.706
2015-03-21 12:35:31.118,0,15.11189,1435.63
2015-03-21 12:35:46.766,0,80.5222,16721.62
2015-03-21 12:36:02.649,10.46405,593.1264,1216.285
2015-03-21 12:36:19.136,0,0,1091.731
2015-03-21 12:36:34.673,21.74222,30.31553,1324.731
2015-03-21 12:36:56.070,5.440076,80.33926,3338.468
2015-03-21 12:37:11.889,0,0,0
2015-03-21 12:37:27.475,14.16658,57.43625,6139.866
2015-03-21 12:37:43.108,30.70413,30.89603,399.1537
2015-03-21 12:37:58.671,38.55363,0,254.4539
2015-03-21 12:38:14.293,0,15.36275,268.8481
2015-03-21 12:38:29.864,0,15.41375,963.3979
2015-03-21 12:38:45.487,0,0,3013.216
2015-03-21 12:39:01.265,48.21665,0,0
2015-03-21 12:39:17.319,0,10.46525,1689.39
2015-03-21 12:39:32.910,1.885699,7.696731,682.2382
2015-03-21 12:39:48.481,0,0,15.41316
2015-03-21 12:40:04.329,0,0,1550.734
2015-03-21 12:40:19.901,11.17369,45.38831,16361.21
2015-03-21 12:40:35.623,0,0,0
2015-03-21 12:40:51.345,9.388126,53.42836,9535.092
2015-03-21 12:41:07.086,0,0,22.87
2015-03-21 12:41:23.563,7.282759,36.70511,12663.7
2015-03-21 12:41:39.324,15.22722,53.29529,0
