date,AnaIvanovic,BethanieMattekSands
2015-07-01 17:55:27.761,76.04563,23.95437
2015-07-01 17:55:40.694,76.04563,23.95437
2015-07-01 17:55:53.464,76.04563,23.95437
2015-07-01 17:56:06.247,76.04563,23.95437
2015-07-01 17:56:19.015,76.04563,23.95437
2015-07-01 17:56:31.797,76.04563,23.95437
2015-07-01 17:56:44.665,76.04563,23.95437
2015-07-01 17:56:57.477,76.04563,23.95437
2015-07-01 17:57:10.317,76.04563,23.95437
2015-07-01 17:57:22.944,76.04563,23.95437
2015-07-01 17:57:35.977,76.04563,23.95437
2015-07-01 17:57:48.863,75.18797,24.81203
2015-07-01 17:58:01.637,74.90637,25.09363
2015-07-01 17:58:14.449,72.72727,27.27273
2015-07-01 17:58:27.237,73.26007,26.73993
2015-07-01 17:58:40.085,74.07407,25.92593
2015-07-01 17:58:52.817,74.90637,25.09363
2015-07-01 17:59:05.598,74.90637,25.09363
2015-07-01 17:59:18.468,73.52941,26.47059
2015-07-01 17:59:31.235,72.72727,27.27273
2015-07-01 17:59:44.044,71.94245,28.05755
2015-07-01 17:59:56.928,72.20217,27.79783
2015-07-01 18:00:10.065,72.20217,27.79783
2015-07-01 18:00:22.876,72.72727,27.27273
2015-07-01 18:00:35.711,71.68459,28.31541
2015-07-01 18:00:48.452,69.44444,30.55556
2015-07-01 18:01:01.306,68.49315,31.50685
2015-07-01 18:01:13.998,65.78947,34.21053
2015-07-01 18:01:26.783,68.02721,31.97279
2015-07-01 18:01:39.632,68.25939,31.74061
2015-07-01 18:01:52.452,63.89776,36.10224
2015-07-01 18:02:05.302,59.88024,40.11976
2015-07-01 18:02:18.033,60.79027,39.20973
2015-07-01 18:02:30.905,60.97561,39.02439
2015-07-01 18:02:43.648,63.29114,36.70886
2015-07-01 18:02:56.427,64.30868,35.69132
2015-07-01 18:03:09.292,64.30868,35.69132
2015-07-01 18:03:22.079,61.53846,38.46154
2015-07-01 18:03:34.662,62.1118,37.8882
2015-07-01 18:03:47.497,65.57377,34.42623
2015-07-01 18:04:00.301,65.78947,34.21053
2015-07-01 18:04:13.031,66.22517,33.77483
2015-07-01 18:04:25.896,63.09148,36.90852
2015-07-01 18:04:38.573,63.29114,36.70886
2015-07-01 18:04:51.546,67.34007,32.65993
2015-07-01 18:05:04.573,68.02721,31.97279
2015-07-01 18:05:17.443,63.89776,36.10224
2015-07-01 18:05:30.271,64.30868,35.69132
2015-07-01 18:05:43.102,64.93506,35.06494
2015-07-01 18:05:55.894,66.88963,33.11037
2015-07-01 18:06:08.654,66.22517,33.77483
2015-07-01 18:06:21.433,62.89308,37.10692
2015-07-01 18:06:34.267,63.49206,36.50794
2015-07-01 18:06:47.045,63.09148,36.90852
2015-07-01 18:06:59.899,60.06006,39.93994
2015-07-01 18:07:12.681,58.65103,41.34897
2015-07-01 18:07:25.468,58.65103,41.34897
2015-07-01 18:07:38.178,55.55556,44.44444
2015-07-01 18:07:51.124,56.02241,43.97759
2015-07-01 18:08:03.937,55.40166,44.59834
2015-07-01 18:08:16.886,55.24862,44.75138
2015-07-01 18:08:29.737,55.40166,44.59834
2015-07-01 18:08:42.954,55.40166,44.59834
2015-07-01 18:08:55.834,55.09642,44.90358
2015-07-01 18:09:08.600,54.94505,45.05495
2015-07-01 18:09:21.511,55.40166,44.59834
2015-07-01 18:09:34.224,56.49718,43.50282
2015-07-01 18:09:47.129,56.17978,43.82022
2015-07-01 18:09:59.903,54.64481,45.35519
2015-07-01 18:10:12.710,55.24862,44.75138
2015-07-01 18:10:25.518,56.02241,43.97759
2015-07-01 18:10:40.104,56.33803,43.66197
2015-07-01 18:10:52.972,53.33333,46.66667
2015-07-01 18:11:05.820,53.33333,46.66667
2015-07-01 18:11:18.668,55.86592,44.13408
2015-07-01 18:11:31.468,57.63689,42.36311
2015-07-01 18:11:44.280,58.30904,41.69096
2015-07-01 18:11:57.032,58.47953,41.52047
2015-07-01 18:12:09.893,61.9195,38.0805
2015-07-01 18:12:22.668,61.9195,38.0805
2015-07-01 18:12:35.472,64.72492,35.27508
2015-07-01 18:12:48.226,64.30868,35.69132
2015-07-01 18:13:00.885,65.78947,34.21053
2015-07-01 18:13:13.678,67.11409,32.88591
2015-07-01 18:13:26.467,68.25939,31.74061
2015-07-01 18:13:39.301,66.22517,33.77483
2015-07-01 18:13:52.063,65.57377,34.42623
2015-07-01 18:14:04.885,67.79661,32.20339
2015-07-01 18:14:17.621,63.49206,36.50794
2015-07-01 18:14:30.514,65.57377,34.42623
2015-07-01 18:14:43.270,64.10256,35.89744
2015-07-01 18:14:56.092,65.14658,34.85342
