date,SerenaWilliams,HeatherWatson
2015-07-03 17:00:46.985,29671.08,0.2
2015-07-03 17:01:12.796,2420.05,667.36
2015-07-03 17:02:03.993,8313.69,515.79
2015-07-03 17:03:46.444,10502.65,678.12
2015-07-03 17:04:51.399,3897.26,1408.57
2015-07-03 17:05:55.556,1591.86,1041.37
2015-07-03 17:06:59.587,11243.3,713.44
2015-07-03 17:07:12.535,1022.37,877.43
2015-07-03 17:08:55.791,57291.07,4570.35
2015-07-03 17:09:47.561,6187.24,748.25
2015-07-03 17:10:50.993,13928.75,807.73
2015-07-03 17:11:55.175,28515.7,1102.6
2015-07-03 17:12:58.996,25168.28,522.93
2015-07-03 17:13:50.612,39949.03,1023.08
2015-07-03 17:14:54.877,86518.09,497.92
2015-07-03 17:15:58.536,47454.72,794.29
2015-07-03 17:16:49.572,20305.08,771.74
2015-07-03 17:17:53.459,65072.46,294.31
2015-07-03 17:18:57.791,70090.02,303.33
2015-07-03 17:19:48.889,21265.53,266.77
2015-07-03 17:20:53.473,24163.97,496.67
2015-07-03 17:21:58.002,36044.2,632.7
2015-07-03 17:22:49.005,5784.93,231.08
2015-07-03 17:23:53.392,7868.98,725.01
2015-07-03 17:24:57.981,110620.5,1568.25
2015-07-03 17:25:49.238,27847.46,226.23
2015-07-03 17:26:53.619,6830.71,386.16
2015-07-03 17:27:57.998,15917.42,746.57
2015-07-03 17:28:49.270,2892.63,299.93
2015-07-03 17:29:01.980,8074.74,132.69
2015-07-03 17:30:58.350,5173.91,229.24
2015-07-03 17:31:23.788,9371.49,198.1
2015-07-03 17:32:28.143,1931.94,279.69
2015-07-03 17:33:58.035,10631.12,147.64
2015-07-03 17:34:49.872,1550.6,181.19
2015-07-03 17:35:54.397,1662.94,476.38
2015-07-03 17:36:59.271,16418,177.51
2015-07-03 17:37:51.067,5115.55,146.14
2015-07-03 17:38:29.369,472.4,137.44
2015-07-03 17:39:07.804,11652.27,173.86
2015-07-03 17:40:51.385,88574.39,103.12
2015-07-03 17:41:55.376,15432.55,1708.94
2015-07-03 17:42:20.973,20614.92,888.07
2015-07-03 17:43:51.481,15026.35,290.63
2015-07-03 17:44:56.025,36303.32,144.81
2015-07-03 17:45:47.588,31874.23,280.21
2015-07-03 17:46:51.158,17431.92,234.3
2015-07-03 17:47:42.164,2483.06,398.79
2015-07-03 17:48:58.996,23475.18,168.12
2015-07-03 17:49:50.787,4111.58,105.13
2015-07-03 17:50:03.707,23163.45,157.65
2015-07-03 17:51:59.088,19975.71,98.05
2015-07-03 17:52:24.967,25.3,188.72
2015-07-03 17:53:54.374,87046.14,528.51
