date,Conservatives,Labour,SNP,LD
2015-05-07 10:10:14.519,0,0,0,0
2015-05-07 22:51:00.000,0,0,0,0
2015-05-07 22:51:00.000,0,0,0,0
2015-05-07 23:16:00.000,0,0,0,0
2015-05-07 23:29:00.000,0,0,0,0
2015-05-08 00:34:00.000,0,0,0,0
2015-05-08 00:58:00.000,0,0,0,0
2015-05-08 01:05:00.000,0,0,0,0
2015-05-08 01:14:00.000,0,0,0,0
2015-05-08 01:15:00.000,0,0,0,0
2015-05-08 01:21:00.000,0,0,0,0
2015-05-08 01:25:00.000,0,0,0,0
2015-05-08 01:35:00.000,0,0,0,0
2015-05-08 01:41:00.000,0,0,0,0
2015-05-08 01:41:00.000,0,0,0,0
2015-05-08 01:42:00.000,0,0,0,0
2015-05-08 01:44:00.000,0,0,0,0
2015-05-08 01:46:00.000,0,0,0,0
2015-05-08 01:53:00.000,0,0,0,0
2015-05-08 01:58:00.000,0,0,0,0
2015-05-08 02:01:00.000,0,0,0,0
2015-05-08 02:02:00.000,0,0,0,0
2015-05-08 02:07:00.000,0,0,0,0
2015-05-08 02:07:00.000,0,0,0,0
2015-05-08 02:11:00.000,0,0,0,0
2015-05-08 02:12:00.000,0,-1,1,0
2015-05-08 02:13:00.000,0,-1,1,0
2015-05-08 02:17:00.000,0,-1,1,0
2015-05-08 02:18:00.000,0,-1,1,0
2015-05-08 02:18:00.000,0,-1,1,0
2015-05-08 02:18:00.000,0,-1,1,0
2015-05-08 02:23:00.000,0,-2,2,0
2015-05-08 02:24:00.000,0,-2,2,0
2015-05-08 02:25:00.000,0,-2,2,0
2015-05-08 02:27:00.000,0,-3,3,0
2015-05-08 02:29:00.000,0,-3,3,0
2015-05-08 02:30:00.000,0,-4,4,0
2015-05-08 02:33:00.000,0,-5,5,0
2015-05-08 02:33:00.000,0,-5,5,0
2015-05-08 02:34:00.000,0,-5,5,0
2015-05-08 02:34:00.000,0,-5,5,0
2015-05-08 02:35:00.000,0,-6,6,0
2015-05-08 02:38:00.000,0,-7,7,0
2015-05-08 02:38:00.000,0,-7,7,0
2015-05-08 02:38:00.000,0,-7,7,0
2015-05-08 02:39:00.000,0,-8,8,0
2015-05-08 02:39:00.000,0,-8,8,0
2015-05-08 02:39:00.000,0,-8,8,0
2015-05-08 02:40:00.000,0,-9,9,0
2015-05-08 02:41:00.000,0,-9,9,0
2015-05-08 02:42:00.000,0,-9,9,0
2015-05-08 02:42:00.000,0,-9,9,0
2015-05-08 02:44:00.000,0,-9,9,0
2015-05-08 02:45:00.000,0,-9,9,0
2015-05-08 02:46:00.000,0,-9,9,0
2015-05-08 02:47:00.000,0,-9,9,0
2015-05-08 02:48:00.000,0,-9,9,0
2015-05-08 02:48:00.000,0,-9,9,0
2015-05-08 02:49:00.000,0,-9,9,0
2015-05-08 02:49:00.000,0,-9,10,-1
2015-05-08 02:50:00.000,0,-9,10,-1
