date,Conservatives,Labour,SNP,LD
2015-05-07 10:10:14.519,0,0,0,0
2015-05-07 22:51:00.000,0,0,0,0
2015-05-07 22:51:00.000,0,1,0,0
2015-05-07 23:16:00.000,0,2,0,0
2015-05-07 23:29:00.000,0,3,0,0
2015-05-08 00:34:00.000,1,3,0,0
2015-05-08 00:58:00.000,2,3,0,0
2015-05-08 01:05:00.000,2,4,0,0
2015-05-08 01:14:00.000,2,5,0,0
2015-05-08 01:15:00.000,2,6,0,0
2015-05-08 01:21:00.000,2,6,0,0
2015-05-08 01:25:00.000,3,6,0,0
2015-05-08 01:35:00.000,3,7,0,0
2015-05-08 01:41:00.000,3,7,0,0
2015-05-08 01:41:00.000,3,8,0,0
2015-05-08 01:42:00.000,3,8,0,0
2015-05-08 01:44:00.000,3,8,0,0
2015-05-08 01:46:00.000,3,9,0,0
2015-05-08 01:53:00.000,4,9,0,0
2015-05-08 01:58:00.000,4,9,0,0
2015-05-08 02:01:00.000,4,10,0,0
2015-05-08 02:02:00.000,4,10,0,0
2015-05-08 02:07:00.000,4,10,0,0
2015-05-08 02:07:00.000,4,11,0,0
2015-05-08 02:11:00.000,4,11,0,1
2015-05-08 02:12:00.000,4,11,1,1
2015-05-08 02:13:00.000,4,12,1,1
2015-05-08 02:17:00.000,4,12,2,1
2015-05-08 02:18:00.000,4,12,2,1
2015-05-08 02:18:00.000,4,12,2,1
2015-05-08 02:18:00.000,4,13,2,1
2015-05-08 02:23:00.000,4,13,3,1
2015-05-08 02:24:00.000,4,14,3,1
2015-05-08 02:25:00.000,4,15,3,1
2015-05-08 02:27:00.000,4,15,4,1
2015-05-08 02:29:00.000,4,15,4,1
2015-05-08 02:30:00.000,4,15,5,1
2015-05-08 02:33:00.000,4,15,6,1
2015-05-08 02:33:00.000,5,15,6,1
2015-05-08 02:34:00.000,6,15,6,1
2015-05-08 02:34:00.000,6,16,6,1
2015-05-08 02:35:00.000,6,16,7,1
2015-05-08 02:38:00.000,6,16,8,1
2015-05-08 02:38:00.000,7,16,8,1
2015-05-08 02:38:00.000,8,16,8,1
2015-05-08 02:39:00.000,8,16,9,1
2015-05-08 02:39:00.000,8,17,9,1
2015-05-08 02:39:00.000,8,18,9,1
2015-05-08 02:40:00.000,8,18,10,1
2015-05-08 02:41:00.000,8,18,11,1
2015-05-08 02:42:00.000,8,19,11,1
2015-05-08 02:42:00.000,8,20,11,1
2015-05-08 02:44:00.000,8,21,11,1
2015-05-08 02:45:00.000,8,22,11,1
2015-05-08 02:46:00.000,9,22,11,1
2015-05-08 02:47:00.000,9,22,11,1
2015-05-08 02:48:00.000,9,22,11,1
2015-05-08 02:48:00.000,10,22,11,1
2015-05-08 02:49:00.000,11,22,11,1
2015-05-08 02:49:00.000,11,22,12,1
2015-05-08 02:50:00.000,11,23,12,1
2015-05-08 02:51:00.000,11,23,13,1
