date,EUR_USD,AAPL
04/03/2015 09:30,1.1174,128.79
04/03/2015 09:31,1.1173,128.6295
04/03/2015 09:32,1.1172,128.56
04/03/2015 09:33,1.1172,128.7348
04/03/2015 09:34,1.1173,128.75
04/03/2015 09:35,1.1173,129.077
04/03/2015 09:36,1.1174,129.07
04/03/2015 09:37,1.1172,129.34
04/03/2015 09:38,1.1171,129.37
04/03/2015 09:39,1.1171,129.29
04/03/2015 09:40,1.1171,129.17
04/03/2015 09:41,1.1169,128.85
04/03/2015 09:42,1.1168,128.76
04/03/2015 09:43,1.1166,128.72
04/03/2015 09:44,1.1165,129.02
04/03/2015 09:45,1.1166,129.14
04/03/2015 09:46,1.1163,129.185
04/03/2015 09:47,1.1164,129.16
04/03/2015 09:48,1.1163,129.112
04/03/2015 09:49,1.1163,128.85
04/03/2015 09:50,1.1165,128.945
04/03/2015 09:51,1.1165,128.8784
04/03/2015 09:52,1.1165,128.87
04/03/2015 09:53,1.1166,128.9
04/03/2015 09:54,1.1166,128.69
04/03/2015 09:55,1.1166,128.84
04/03/2015 09:56,1.1164,128.9
04/03/2015 09:57,1.1161,128.979
04/03/2015 09:58,1.1163,128.94
04/03/2015 09:59,1.1163,128.9
04/03/2015 10:00,1.1162,128.8
04/03/2015 10:01,1.1162,129.06
04/03/2015 10:02,1.1161,129.181
04/03/2015 10:03,1.1159,129.15
04/03/2015 10:04,1.1141,129.21
04/03/2015 10:05,1.1142,129.34
04/03/2015 10:06,1.1141,129.2638
04/03/2015 10:07,1.1135,129.21
04/03/2015 10:08,1.1131,129.23
04/03/2015 10:09,1.1135,129.151
04/03/2015 10:10,1.1135,129.1899
04/03/2015 10:11,1.1133,129.2
04/03/2015 10:12,1.1133,129.22
04/03/2015 10:13,1.1134,129.079
04/03/2015 10:14,1.1133,129
04/03/2015 10:15,1.1128,128.99
04/03/2015 10:16,1.1127,129.0564
04/03/2015 10:17,1.1124,128.94
04/03/2015 10:18,1.1126,129.08
04/03/2015 10:19,1.1128,129.0728
04/03/2015 10:20,1.113,129.17
04/03/2015 10:21,1.113,129.1101
04/03/2015 10:22,1.1132,129.08
04/03/2015 10:23,1.1133,128.98
04/03/2015 10:24,1.1136,128.97
04/03/2015 10:25,1.1134,128.71
04/03/2015 10:26,1.1132,128.83
04/03/2015 10:27,1.1134,128.76
04/03/2015 10:28,1.1137,128.7699
04/03/2015 10:29,1.1136,128.83
04/03/2015 10:30,1.1133,128.64
04/03/2015 10:31,1.1129,128.76
04/03/2015 10:32,1.1129,128.846
04/03/2015 10:33,1.1131,128.83
04/03/2015 10:34,1.1126,128.8064
04/03/2015 10:35,1.113,128.75
04/03/2015 10:36,1.1128,128.78
04/03/2015 10:37,1.1129,128.7901
04/03/2015 10:38,1.1128,128.95
04/03/2015 10:39,1.1128,129
04/03/2015 10:40,1.1126,128.97
04/03/2015 10:41,1.112,128.899
04/03/2015 10:42,1.1116,128.875
04/03/2015 10:43,1.1117,128.8899
04/03/2015 10:44,1.1114,128.92
04/03/2015 10:45,1.1116,128.73
04/03/2015 10:46,1.1117,128.7352
04/03/2015 10:47,1.1117,128.86
04/03/2015 10:48,1.1119,128.8301
04/03/2015 10:49,1.1119,128.825
04/03/2015 10:50,1.112,128.7
04/03/2015 10:51,1.112,128.48
04/03/2015 10:52,1.1122,128.63
04/03/2015 10:53,1.1122,128.4738
04/03/2015 10:54,1.1125,128.39
04/03/2015 10:55,1.1126,128.4633
04/03/2015 10:56,1.1125,128.455
04/03/2015 10:57,1.1123,128.4788
04/03/2015 10:58,1.1123,128.49
04/03/2015 10:59,1.1124,128.5
04/03/2015 11:00,1.1123,128.47
04/03/2015 11:01,1.1124,128.64
04/03/2015 11:02,1.1121,128.625
04/03/2015 11:03,1.1121,128.6152
04/03/2015 11:04,1.1119,128.615
04/03/2015 11:05,1.1122,128.55
04/03/2015 11:06,1.1121,128.62
04/03/2015 11:07,1.1126,128.631
04/03/2015 11:08,1.1125,128.5538
04/03/2015 11:09,1.1126,128.61
04/03/2015 11:09,1.1127,128.55
04/03/2015 11:10,1.1128,128.42
04/03/2015 11:11,1.113,128.45
04/03/2015 11:12,1.113,128.37
04/03/2015 11:13,1.1131,128.47
