date,end,title,fill,description
2014-11-02 16:01:00.000,2014-11-02 16:01:00.000,Kick-off,gray,Aston Villa get the match underway
2014-11-02 16:17:00.000,2014-11-02 16:17:00.000,Goal! Aston Villa 1-0 Tottenham,gray,Charles N'Zogbia crosses and Andreas Weimann tucks it into the bottom corner
2014-11-02 16:26:00.000,2014-11-02 16:26:00.000,Yellow Card,yellow,Erikson booked
2014-11-02 16:38:00.000,2014-11-02 16:38:00.000,Yellow Card,yellow,Cissokho booked
2014-11-02 16:47:00.000,2014-11-02 17:02:00.000,Half-time,gray,Villa lead 1-0 at the end of the first half
2014-11-02 17:02:00.000,2014-11-02 17:02:00.000,Substitution,green,Lamela replaces Eriksen
2014-11-02 17:15:00.000,2014-11-02 17:15:00.000,Substitution,green,Kane replaces Adebayor
2014-11-02 17:18:00.000,2014-11-02 17:18:00.000,Yellow Card,yellow,Jan Vertonghen booked
2014-11-02 17:22:30.000,2014-11-02 17:22:30.000,Red Card,red,Christian Beneke sent off
2014-11-02 17:28:00.000,2014-11-02 17:28:00.000,Substitution,green,Townsend replaces Capoue
2014-11-02 17:30:00.000,2014-11-02 17:30:00.000,Substitution,green,Agbonlahor replaces N'Zogbia
2014-11-02 17:37:00.000,2014-11-02 17:37:00.000,Yellow Card,yellow,Nacer Chadli booked
2014-11-02 17:41:30.000,2014-11-02 17:41:30.000,Goal! Aston Villa 1-1 Tottenham,gray,Nacer Cahdli loses his marker on a corner and taps home
2014-11-02 17:45:00.000,2014-11-02 17:45:00.000,Substitution,green,Richardson replaces Weimann
2014-11-02 17:45:00.000,2014-11-02 17:45:00.000,Yellow Card,yellow,Carlos Sanchez booked
2014-11-02 17:47:00.000,2014-11-02 17:47:00.000,Goal! Aston Villa 1-2 Tottenham,gray,Harry Kane's free-kick deflects off the wall and into the net
2014-11-02 17:54:00.000,2014-11-02 17:54:00.000,Full-time,gray,Aston Villa 1-2 Tottenham
