date,Aston Villa,The Draw,Tottenham
2014-11-02 16:00:18.417,9810.818,7771.216,79631.45
2014-11-02 16:00:49.009,6092.059,2823.05,24507.55
2014-11-02 16:01:19.717,4689.62,7098.068,32723.2
2014-11-02 16:01:50.832,3535.759,6341.844,34852.12
2014-11-02 16:02:21.750,5561.36,6516.509,29351.64
2014-11-02 16:02:52.617,4522.234,3948.55,21403.58
2014-11-02 16:03:23.411,4503.779,3687.935,38963.33
2014-11-02 16:03:54.323,2678.862,2042.561,18692.52
2014-11-02 16:04:25.275,3059.115,3607.833,19943.48
2014-11-02 16:04:56.086,873.0145,1684.803,20989.64
2014-11-02 16:05:27.030,938.1093,281.5045,24221.74
2014-11-02 16:05:57.917,1303.03,640.4426,8992.499
2014-11-02 16:06:28.848,751.0256,1060.382,10293.9
2014-11-02 16:06:59.482,3640.65,261.237,16943.76
2014-11-02 16:07:30.273,902.8104,1149.914,5252.01
2014-11-02 16:08:00.863,2093.989,4456.092,14549.14
2014-11-02 16:08:31.547,2445.558,1366.284,15955.67
2014-11-02 16:09:02.670,2465.407,5347.659,18261.06
2014-11-02 16:09:33.389,2761.382,537.2409,36802.52
2014-11-02 16:10:04.111,990.5261,1228.046,28419.42
2014-11-02 16:10:35.124,807.7334,2792.339,19299.82
2014-11-02 16:11:05.915,221.4002,146.7687,66674.71
2014-11-02 16:11:39.925,1829.912,2231.175,22055.75
2014-11-02 16:12:10.703,3288.315,858.4563,13377.92
2014-11-02 16:12:41.565,1070.243,2177.249,20420.51
2014-11-02 16:13:12.757,1459.138,3899.94,25440.39
2014-11-02 16:13:43.569,4069.596,541.1823,6014.382
2014-11-02 16:14:14.436,1218.557,2301.708,26368.08
2014-11-02 16:14:45.155,3818.098,2108.697,18597.24
2014-11-02 16:15:15.985,2953.8,2050.938,16892.7
2014-11-02 16:15:46.645,2695.766,1226.378,8357.606
2014-11-02 16:16:17.299,90.8786,260.5787,1977.975
2014-11-02 16:16:48.143,16223.17,3110.85,8717.126
2014-11-02 16:17:18.889,105825.9,22839.21,29809.85
2014-11-02 16:17:49.871,62599.85,7014.27,16221.1
2014-11-02 16:18:20.509,34617.25,9294.098,21017.97
2014-11-02 16:18:51.350,29113.17,2563.193,12669.51
2014-11-02 16:19:22.211,18585.14,11397.18,14035.65
2014-11-02 16:19:56.073,25042.99,4854.646,10163.75
2014-11-02 16:20:27.124,24856.94,7987.834,8066.787
2014-11-02 16:20:57.997,26865.64,1574.141,4484.354
2014-11-02 16:21:29.327,28564.22,5072.593,18027.28
2014-11-02 16:22:00.046,15229.65,3473.067,4072.264
2014-11-02 16:22:30.972,31627.31,4928.231,7449.619
2014-11-02 16:23:01.702,18643.55,941.6685,8887.344
2014-11-02 16:23:32.458,30497.83,4364.536,8430.655
