date,end,title,fill,description
2015-01-17 15:01:00.000,2015-01-17 15:01:00.000,Kick-off,gray,Burnley kick off the game
2015-01-17 15:12:00.000,2015-01-17 15:12:00.000,Goal!,#bde4f7,Kieran Trippiers corner flies over everyone and Ben Mee is unmarked at the back post to head the ball in!
2015-01-17 15:16:00.000,2015-01-17 15:16:00.000,Goal!,#bde4f7,Scott Arfield won the ball off Joel Ward near the touchline and cut the ball back to Ings in the box. The striker scored with a neat first-time finish to double Burnleys lead
2015-01-17 15:19:00.000,2015-01-17 15:19:00.000,Yellow card,yellow,Scott Dann shown a yellow card for a foul on Ashley Barnes
2015-01-17 15:29:00.000,2015-01-17 15:29:00.000,Goal!,#be002f,Some neat play from Wilfried Zaha as he gets forward and his cross is deflected into the path of Gayle who scores with a powerfully-hit strike
2015-01-17 15:46:00.000,2015-01-17 16:02:00.000,Half-time,gray,
2015-01-17 16:05:00.000,2015-01-17 16:05:00.000,Goal!,#be002f,Puncheon was allowed to bring the ball forward from near the halfway line. He got near the edge of the box and hit a curling effort that found the bottom corner past the despairing dive of Thomas Heaton
2015-01-17 16:19:00.000,2015-01-17 16:19:00.000,Yellow card,yellow,Jason Shackell shown a yellow card by Phil Dowd for something he said to the referee
2015-01-17 16:27:00.000,2015-01-17 16:27:00.000,Substitution,#be002f,Palace make their first change as Wilfried Zaha is replaced by Adlène Guédioura
2015-01-17 16:30:00.000,2015-01-17 16:30:00.000,Substitution,#bde4f7,Burnley make a change as Ashley Barnes is replaced by Sam Vokes
2015-01-17 16:32:00.000,2015-01-17 16:32:00.000,Yellow card,yellow,Yaya Sanogo shown a yellow card for a foul on Kieran Trippier
2015-01-17 16:35:00.000,2015-01-17 16:35:00.000,Yellow card,yellow,Joel Ward shown a yellow card for a foul on George Boyd
2015-01-17 16:37:00.000,2015-01-17 16:37:00.000,Substitution,#be002f,Palace make a change as Yaya Sanogo is replaced by Glenn Murray
2015-01-17 16:40:00.000,2015-01-17 16:40:00.000,Substitution,#be002f,Palace make a change as Martin Kelly is replaced by Adrian Mariappa
2015-01-17 16:44:00.000,2015-01-17 16:44:00.000,Goal!,#be002f,A cross field pass from Jason Puncheon finds Dwight Gayle in the box and he hits a low angled drive that rifles into the bottom corner of the net
2015-01-17 16:50:00.000,2015-01-17 16:50:00.000,Full-time,gray,
