date,Burnley,C Palace,The Draw
2015-01-17 15:00:19.585,,,
2015-01-17 15:00:35.741,39.55983,29.85075,30.76923
2015-01-17 15:00:51.585,39.37764,29.85075,30.51741
2015-01-17 15:01:07.729,39.37764,30.38252,30.30303
2015-01-17 15:01:23.780,40.17149,30.76923,29.92975
2015-01-17 15:01:41.533,40.17149,30.76923,29.92975
2015-01-17 15:01:57.348,40.17149,30.11021,30.30303
2015-01-17 15:02:13.379,39.37008,29.86556,30.30303
2015-01-17 15:02:29.076,39.37008,29.5313,30.76923
2015-01-17 15:02:44.917,39.37008,29.41176,30.39443
2015-01-17 15:03:00.761,39.37008,29.41176,30.39443
2015-01-17 15:03:16.563,39.37008,29.85075,30.49887
2015-01-17 15:03:32.689,39.3138,29.85075,30.42176
2015-01-17 15:03:48.624,39.49124,29.85075,30.65781
2015-01-17 15:04:05.054,39.38275,29.85075,30.76923
2015-01-17 15:04:21.066,39.55985,29.85075,30.76923
2015-01-17 15:04:37.849,39.68254,29.85075,30.77588
2015-01-17 15:04:53.776,39.37008,29.85075,30.77588
2015-01-17 15:05:09.859,39.68254,29.85075,30.83936
2015-01-17 15:05:25.758,39.37008,29.64829,30.76923
2015-01-17 15:05:41.508,39.68254,29.43281,30.76923
2015-01-17 15:05:57.249,39.49362,29.85075,31.25
2015-01-17 15:06:13.091,39.49362,29.45114,30.76923
2015-01-17 15:06:29.036,39.0625,29.45114,31.25
2015-01-17 15:06:46.220,39.37008,29.41176,31.25
2015-01-17 15:07:02.178,39.37008,29.41176,31.25
2015-01-17 15:07:36.792,39.66371,29.41176,31.34572
2015-01-17 15:07:52.681,39.47888,29.10848,31.73899
2015-01-17 15:08:08.880,39.47888,28.98551,31.73899
2015-01-17 15:08:24.732,39.4894,28.98551,31.73899
2015-01-17 15:08:41.257,39.4894,28.98551,31.73899
2015-01-17 15:08:57.106,39.4894,28.98551,32.25806
2015-01-17 15:09:12.878,39.37008,28.98551,31.25
2015-01-17 15:09:28.681,39.37008,28.57143,31.25
2015-01-17 15:09:44.637,39.37008,28.57143,31.74603
2015-01-17 15:10:00.765,39.37008,28.57143,31.74603
2015-01-17 15:10:16.487,39.37008,28.57143,31.74603
2015-01-17 15:10:33.483,39.36135,28.98551,32.11787
2015-01-17 15:10:49.679,39.0625,28.98551,31.74603
2015-01-17 15:11:06.418,39.0625,28.98551,31.74603
2015-01-17 15:11:22.513,39.0625,28.98551,32.25806
2015-01-17 15:11:43.628,39.37008,28.98551,30.77151
2015-01-17 15:11:59.642,39.37008,28.98551,30.77151
2015-01-17 15:12:16.044,39.37008,12.5,23.25581
2015-01-17 15:12:33.241,64.47717,12.5,23.87125
2015-01-17 15:12:49.774,65.18339,11.12268,23.3251
2015-01-17 15:13:06.229,65.50775,11.1498,23.07497
2015-01-17 15:13:22.287,66.20393,11.40584,22.72727
2015-01-17 15:13:38.369,66.30328,11.6047,22.39944
2015-01-17 15:13:54.374,66.43942,11.87279,22.22222
2015-01-17 15:14:10.933,65.85476,11.73535,22.22222
2015-01-17 15:14:27.190,65.46953,11.63576,22.72727
2015-01-17 15:14:43.161,65.35948,12.31704,22.22222
2015-01-17 15:14:59.182,66.24092,11.86457,22.51797
2015-01-17 15:15:14.977,65.35948,12.19512,22.51797
2015-01-17 15:15:31.290,64.93506,12.19512,22.51797
2015-01-17 15:15:47.771,84.74576,12.19512,22.51797
2015-01-17 15:16:04.096,86.2069,3.125,10.86957
2015-01-17 15:16:20.090,86.40039,4.347826,10.86957
2015-01-17 15:16:35.918,86.36463,3.846154,10.20408
2015-01-17 15:16:54.895,86.37791,3.544223,9.52381
2015-01-17 15:17:10.692,86.44646,3.58732,9.636388
2015-01-17 15:17:28.706,86.29328,3.55148,9.52381
2015-01-17 15:17:47.399,86.03347,3.625277,10.38003
2015-01-17 15:18:03.182,85.59068,3.787577,10.41667
2015-01-17 15:18:19.273,86.30684,3.930921,10.04749
2015-01-17 15:18:35.085,85.99942,3.981471,10.073
2015-01-17 15:18:51.441,86.16482,3.809785,10.22318
2015-01-17 15:19:07.285,86.82357,3.780921,10.38969
2015-01-17 15:19:23.114,86.16109,3.848688,10.0816
2015-01-17 15:19:39.096,85.53718,4.01545,10.63279
2015-01-17 15:19:54.843,85.95755,3.808201,10.6383
2015-01-17 15:20:10.682,85.90126,3.846154,10.6383
2015-01-17 15:20:26.510,85.80074,3.839828,10.49332
2015-01-17 15:20:42.261,86.91269,3.759913,9.52381
2015-01-17 15:20:58.087,86.24181,3.75098,9.52381
2015-01-17 15:21:14.716,86.64303,3.645423,10.20408
2015-01-17 15:21:30.766,86.37305,3.683816,10.20408
2015-01-17 15:21:46.810,86.2069,3.448276,10.48283
2015-01-17 15:22:02.573,85.47009,3.388783,10.6383
2015-01-17 15:22:18.498,85.58981,3.476364,10.6383
2015-01-17 15:22:34.758,85.53308,3.532056,10.6383
2015-01-17 15:22:53.889,86.02049,3.491943,10.41667
2015-01-17 15:23:09.788,86.11504,3.609939,10.41667
2015-01-17 15:23:26.113,85.60474,3.650223,10.6383
2015-01-17 15:23:42.254,86.2069,3.743215,10.6383
2015-01-17 15:23:58.180,86.10835,3.703704,10.52679
2015-01-17 15:24:13.933,86.62525,3.47254,10
2015-01-17 15:24:30.047,86.21032,3.416612,10
2015-01-17 15:24:47.221,86.63127,3.448276,10
2015-01-17 15:25:03.182,85.68174,3.354849,10.41667
2015-01-17 15:25:19.058,86.22467,3.506359,10.51402
2015-01-17 15:25:35.302,86.22467,3.506359,10.51402
2015-01-17 15:25:51.325,86.2069,3.341431,10.51402
2015-01-17 15:26:07.956,86.21273,3.333333,10.51402
2015-01-17 15:26:23.964,86.95652,3.125,10.27682
2015-01-17 15:26:39.816,87.03205,3.125,10.27682
2015-01-17 15:26:55.586,87.51772,3.125,10.27682
2015-01-17 15:27:11.389,87.1408,3.333333,9.677419
2015-01-17 15:27:28.810,87.67028,3.325361,10
2015-01-17 15:28:08.569,87.67028,3.325361,10
2015-01-17 15:28:24.325,69.30016,3.325361,22.13622
2015-01-17 15:28:40.549,68.27283,10.94675,21.73913
2015-01-17 15:28:56.630,67.67145,11.03285,23.11035
2015-01-17 15:29:12.538,65.69953,11.42703,23.21695
2015-01-17 15:29:28.739,64.59158,11.17426,24.39024
2015-01-17 15:29:44.628,64.28271,11.357,24.3611
2015-01-17 15:30:01.360,64.19782,10.92022,24.34005
2015-01-17 15:30:17.352,64.51715,10.87474,24.39024
2015-01-17 15:30:33.087,64.93506,10.79997,24.39024
2015-01-17 15:30:48.887,64.93506,10.732,24.39024
2015-01-17 15:31:04.729,65.33006,10.81512,23.88694
2015-01-17 15:31:20.522,65.76677,11.02407,24.07799
2015-01-17 15:31:36.277,65.98842,10.95325,23.80952
2015-01-17 15:31:52.585,66.22114,10.93603,23.25581
2015-01-17 15:32:08.247,65.78947,10.57936,23.25581
2015-01-17 15:32:24.095,65.69275,11.31117,23.80952
2015-01-17 15:32:39.877,65.36291,10.85587,23.80952
2015-01-17 15:32:55.828,65.78047,11.13311,23.62381
2015-01-17 15:33:13.850,65.86499,10.81787,23.40957
2015-01-17 15:33:29.714,66.21319,10.8042,23.25581
2015-01-17 15:33:45.856,66.66667,10.86957,23.80952
2015-01-17 15:34:01.632,65.78947,10.37254,23.68383
2015-01-17 15:34:18.252,65.78947,10.41315,23.68383
2015-01-17 15:34:34.632,65.68924,10.3843,23.41415
2015-01-17 15:34:50.930,66.00384,10.16784,23.80952
2015-01-17 15:35:07.633,65.87005,10,24.39024
2015-01-17 15:35:23.955,65.78947,10.20408,24.39024
2015-01-17 15:35:39.779,65.78947,10.19994,24.39024
2015-01-17 15:35:55.535,65.35948,10.05363,24.31908
2015-01-17 15:36:11.511,65.57729,10.41667,23.93818
2015-01-17 15:36:27.300,65.78947,10.41667,24.39024
2015-01-17 15:36:43.235,65.38198,10.37456,24.39024
2015-01-17 15:36:59.424,65.35948,10.21932,23.95021
2015-01-17 15:37:15.591,65.68286,10.29989,24.39024
2015-01-17 15:37:31.502,65.66213,10.41046,24.39024
2015-01-17 15:37:47.265,65.78947,10.20408,24.39024
2015-01-17 15:38:03.071,65.35948,10.35503,24.39024
2015-01-17 15:38:20.110,65.35948,10.41667,24.39024
2015-01-17 15:38:36.507,65.27854,10.41667,24.39024
2015-01-17 15:38:52.488,64.93506,10.41667,24.39024
2015-01-17 15:39:08.328,64.93506,10.41667,24.69136
2015-01-17 15:39:24.048,64.98073,10.55667,25
2015-01-17 15:39:40.069,65.36101,10.55667,25
2015-01-17 15:39:56.246,64.93506,10.55667,25
2015-01-17 15:40:13.414,64.93506,10,25
2015-01-17 15:40:29.060,64.93506,10.23392,25
2015-01-17 15:40:45.015,64.93506,10.07055,24.39024
2015-01-17 15:41:00.716,64.93506,10.07055,24.39024
2015-01-17 15:41:16.536,65.71087,10,24.39024
2015-01-17 15:41:33.160,65.35948,9.576687,24.9501
2015-01-17 15:41:48.888,65.60328,9.52381,23.91904
2015-01-17 15:42:04.826,65.42006,9.52381,23.91904
2015-01-17 15:42:20.917,65.35948,9.52381,24.39024
2015-01-17 15:42:43.250,66.22517,9.69979,24.30639
2015-01-17 15:42:59.209,66.22517,9.099813,24.39024
2015-01-17 15:43:15.495,66.22517,9.294378,24.39024
2015-01-17 15:43:31.305,66.25422,8.695652,24.97576
2015-01-17 15:43:47.340,67.05914,9.078247,24.39024
2015-01-17 15:44:03.157,67.05914,8.95236,24.39024
2015-01-17 15:44:19.058,66.52797,9.52381,24.39024
2015-01-17 15:44:36.044,66.66667,9.090909,24.39024
2015-01-17 15:44:51.944,66.66667,9.218029,24.39024
2015-01-17 15:45:08.229,66.22517,9.131304,24.39024
2015-01-17 15:45:24.337,66.22517,9.523221,25
2015-01-17 15:45:40.346,66.22517,9.523221,25
2015-01-17 15:45:56.608,67.09519,8.88803,24.39024
2015-01-17 15:46:12.545,67.11636,8.647806,24.39024
2015-01-17 15:46:28.848,67.11409,8.647806,24.39024
2015-01-17 15:46:44.844,67.11409,8.695652,24.39024
2015-01-17 15:47:00.954,67.11409,8.695652,24.39024
2015-01-17 15:47:19.645,67.11409,8.695652,24.39024
2015-01-17 15:47:35.796,67.11409,8.333333,24.39024
2015-01-17 15:47:51.973,67.11409,8.695652,24.39024
2015-01-17 15:48:30.866,67.46238,8.39452,25
2015-01-17 15:48:46.740,67.11409,8.488302,25
2015-01-17 15:49:02.648,67.11409,8.333333,24.39024
2015-01-17 15:49:18.876,67.24302,8.568684,24.39024
2015-01-17 15:49:35.272,67.11409,8.695652,24.39024
2015-01-17 15:49:51.147,67.11924,8.446637,24.39024
2015-01-17 15:50:07.188,67.11409,8.464994,24.39024
2015-01-17 15:50:23.088,67.11409,8.464994,24.39024
2015-01-17 15:50:38.967,67.13077,8.695652,24.68934
2015-01-17 15:50:54.756,67.11512,8.341327,24.63333
2015-01-17 15:51:10.679,67.11512,8.653846,24.39024
2015-01-17 15:51:31.716,67.11423,8.361927,24.39024
2015-01-17 15:51:47.640,67.11409,8.524461,24.39024
2015-01-17 15:52:03.507,67.56673,8.249271,24.39024
2015-01-17 15:52:20.905,67.56673,8.333333,24.96675
2015-01-17 15:52:36.696,66.66667,8.577125,25
2015-01-17 15:52:53.168,67.56757,8.695652,25
2015-01-17 15:53:09.064,67.56757,8.444002,25
2015-01-17 15:53:25.412,66.66667,8.592004,24.68946
2015-01-17 15:53:41.516,67.49731,8.480993,24.65329
2015-01-17 15:53:57.962,67.11409,8.56462,24.62834
2015-01-17 15:54:13.693,67.56126,8.695652,24.39024
2015-01-17 15:54:29.668,67.12622,8.36876,24.39024
2015-01-17 15:54:45.484,67.11411,8.695652,25
2015-01-17 15:55:01.321,67.11411,8.3667,24.39024
2015-01-17 15:55:17.124,67.11411,8.333333,24.39024
2015-01-17 15:55:38.447,66.71831,8.391608,24.39024
2015-01-17 15:55:54.974,67.11409,8.407202,24.41961
2015-01-17 15:56:12.323,67.44047,8.407202,24.41961
2015-01-17 15:56:29.472,67.11409,8.610872,24.41961
2015-01-17 15:56:46.140,67.11409,8.695652,24.39024
2015-01-17 15:57:01.966,67.56757,8.455769,24.39024
2015-01-17 15:57:18.312,67.11409,8.695652,24.39024
2015-01-17 15:57:34.284,67.12148,8.337744,24.39024
2015-01-17 15:57:50.472,67.15412,8.695652,23.80952
2015-01-17 15:58:06.324,67.13301,8.802808,23.80952
2015-01-17 15:58:22.587,67.11409,9.52381,23.80952
2015-01-17 15:58:40.765,67.11463,9.52381,23.80952
2015-01-17 15:58:56.882,67.56757,9.52381,23.49261
2015-01-17 15:59:12.836,67.11409,9.52381,23.49261
2015-01-17 15:59:28.796,67.56757,9.441892,23.49261
2015-01-17 15:59:44.652,67.12003,9.52381,23.25581
2015-01-17 16:00:00.650,67.55025,9.52381,23.25581
2015-01-17 16:00:17.461,67.11708,9.237064,23.80952
2015-01-17 16:00:37.070,67.36069,9.120625,23.27846
2015-01-17 16:00:53.530,67.11409,9.492674,24.25678
2015-01-17 16:01:09.428,67.11409,9.238821,24.25678
2015-01-17 16:01:25.562,67.11505,8.695652,23.80952
2015-01-17 16:01:46.048,67.54722,9.344279,23.80952
2015-01-17 16:02:02.247,67.11431,8.994848,23.80952
2015-01-17 16:02:18.730,67.11882,9.090909,24.39024
2015-01-17 16:02:36.146,67.0417,8.366534,24.39024
2015-01-17 16:02:57.032,66.7246,8.695652,24.89346
2015-01-17 16:03:18.132,67.33238,8.398205,24.39024
2015-01-17 16:03:35.410,67.5694,8.333333,23.95485
2015-01-17 16:03:52.250,68.02721,8.695652,23.95485
2015-01-17 16:04:08.066,68.02721,9.330115,23.95485
2015-01-17 16:04:23.966,67.75325,9.349611,23.95485
2015-01-17 16:04:39.720,65.78947,9.349611,33.33333
2015-01-17 16:04:55.887,64.10256,9.349611,24.39024
2015-01-17 16:05:11.726,64.10256,29.96197,24.39024
2015-01-17 16:05:27.843,32.34323,29.96197,24.39024
2015-01-17 16:05:43.847,31.91741,26.23889,41.59087
2015-01-17 16:06:00.097,31.08791,27.29141,41.93698
2015-01-17 16:06:16.068,30.82512,27.85089,42.0887
2015-01-17 16:06:32.342,29.98265,28.05937,42.01176
2015-01-17 16:06:48.147,29.62176,27.94896,42.02699
2015-01-17 16:07:03.949,29.72456,27.88008,42.06026
2015-01-17 16:07:19.752,29.67676,27.71595,42.44722
2015-01-17 16:07:36.277,29.77284,27.11189,42.55846
2015-01-17 16:07:52.851,30.01796,27.11478,42.76449
2015-01-17 16:08:09.037,29.90346,27.33993,42.74543
2015-01-17 16:08:24.877,29.9554,27.16017,43.10345
2015-01-17 16:09:06.164,30.25212,26.67114,43.10345
2015-01-17 16:09:22.372,29.78388,26.08389,43.58652
2015-01-17 16:09:38.401,29.85075,25.96992,43.72301
2015-01-17 16:09:54.130,30.2856,25.94479,44.64589
2015-01-17 16:10:09.843,29.41176,26.27402,44.98555
2015-01-17 16:10:25.729,29.42037,26.31579,44.24779
2015-01-17 16:10:42.834,29.5857,25.6643,45.04505
2015-01-17 16:10:59.342,29.52045,25.988,44.31967
2015-01-17 16:11:15.108,29.41989,26.11329,44.35609
2015-01-17 16:11:31.107,29.25297,26.12994,44.3256
2015-01-17 16:11:47.268,29.08258,25.76739,45.04466
2015-01-17 16:12:03.425,28.98551,26.29772,45.04505
2015-01-17 16:12:19.284,28.98551,25.05435,45.45455
2015-01-17 16:12:35.297,28.98551,25.64103,45.45455
2015-01-17 16:12:51.231,28.94224,25,46.01355
2015-01-17 16:13:09.035,28.98551,25,46.6721
2015-01-17 16:13:25.296,28.98551,24.71697,46.72897
2015-01-17 16:13:41.223,28.68635,24.64113,46.75238
2015-01-17 16:13:56.894,28.90601,24.81933,47.26972
2015-01-17 16:14:16.898,28.27515,24.43961,46.41033
2015-01-17 16:14:32.869,28.35849,24.39024,47.07487
2015-01-17 16:14:49.055,28.22844,23.86993,46.96553
2015-01-17 16:15:05.503,28.17774,23.80952,47.63702
2015-01-17 16:15:21.664,28.16729,23.80952,48.54369
2015-01-17 16:15:38.148,27.0398,25,47.6261
2015-01-17 16:15:53.858,26.9721,23.81527,47.64251
2015-01-17 16:16:09.744,27.3558,24.91846,48.55884
2015-01-17 16:16:25.885,68.64157,21.85487,47.33492
2015-01-17 16:16:46.057,27.61353,22.74056,48.71059
2015-01-17 16:17:02.211,26.75996,23.71552,48.71059
2015-01-17 16:17:18.398,26.31579,23.36586,50.03095
2015-01-17 16:17:36.993,25.00738,24.11027,51.02041
2015-01-17 16:17:53.555,26.18779,23.78743,49.50747
2015-01-17 16:18:10.682,25.31569,23.39305,49.84421
2015-01-17 16:18:31.742,25.01428,24.34326,50.5624
2015-01-17 16:18:47.809,24.89037,23.76386,50.5624
2015-01-17 16:19:03.711,25,23.30632,50.94569
2015-01-17 16:19:21.576,25.51045,23.801,50.92537
2015-01-17 16:19:37.788,25.64103,23.25581,50.87078
