date,end,title,fill,description
2014-12-13 15:01:00.000,2014-12-13 15:01:00.000,Kick-off,gray,Stoke get the match underway
2014-12-13 15:12:00.000,2014-12-13 15:12:00.000,Goal,#37468e,Yannick Bolasie crosses for McArthur to send a looping header into the corner!
2014-12-13 15:13:00.000,2014-12-13 15:13:00.000,Goal,#e03a3e,Bojan shows great skill to set up Jonathan Walters in the area his shot takes a deflection and falls for Crouch to tap home from close range
2014-12-13 15:48:00.000,2014-12-13 16:01:00.000,Half-time,gray,
2014-12-13 16:11:00.000,2014-12-13 16:11:00.000,Substitution,#e03a3e,Sub for Stoke: Bojan is replaced by Marko Arnautovic
2014-12-13 16:17:00.000,2014-12-13 16:17:00.000,Substitution,#37468e,Sub for Palace: Jason Puncheon replaces Wilfried Zaha
2014-12-13 16:22:00.000,2014-12-13 16:22:00.000,Yellow card,yellow,Marouane Chamakh is booked for a foul on Walters inside the Stoke penalty area
2014-12-13 16:33:00.000,2014-12-13 16:33:00.000,Substitution,#37468e,Sub for Palace: The injured Chamakh limps off to be replaced by Dwight Gayle
2014-12-13 16:44:00.000,2014-12-13 16:44:00.000,Substitution,#37468e,Sub for Palace: McArthur replaced by Barry Bannan
2014-12-13 16:48:00.000,2014-12-13 16:48:00.000,Yellow card,yellow,Scott Dann is booked for hauling down Diouf
2014-12-13 16:51:00.000,2014-12-13 16:51:00.000,Full-time,gray,Crystal Palace 1 - 1 Stoke
