date,C Palace,Stoke,The Draw
2014-12-13 14:50:24.081,,,
2014-12-13 14:50:45.879,38.19733,,
2014-12-13 14:51:06.578,38.46154,,31.15442
2014-12-13 14:51:27.232,38.16794,,31.25
2014-12-13 14:51:47.970,38.46154,30.76923,31.25
2014-12-13 14:52:08.761,38.16794,30.76923,30.76923
2014-12-13 14:52:29.445,38.45333,30.70175,30.76923
2014-12-13 14:52:50.224,38.16794,30.68998,30.76923
2014-12-13 14:53:11.364,38.16794,30.76923,30.76923
2014-12-13 14:53:32.213,38.46154,30.76923,30.76923
2014-12-13 14:53:53.091,38.46154,30.76923,30.76923
2014-12-13 14:54:14.254,38.25992,30.76923,30.76923
2014-12-13 14:54:35.245,38.25992,30.76923,30.76923
2014-12-13 14:54:56.165,38.16794,30.76923,30.76923
2014-12-13 14:55:17.049,38.43812,30.76923,30.76923
2014-12-13 14:55:37.798,38.45434,30.76923,31.25
2014-12-13 14:55:58.718,38.33224,30.76909,30.79097
2014-12-13 14:56:19.431,38.46154,30.76923,30.86539
2014-12-13 14:56:40.270,38.46154,30.70554,30.86539
2014-12-13 14:57:01.115,38.29334,30.76923,31.25
2014-12-13 14:57:21.770,37.87879,30.56685,31.24709
2014-12-13 14:57:42.471,37.87879,30.75523,31.18334
2014-12-13 14:58:03.446,38.1795,30.76923,31.25
2014-12-13 14:58:24.558,38.18763,30.7061,31.23281
2014-12-13 14:58:45.144,38.18763,30.76923,31.23281
2014-12-13 14:59:05.753,38.26928,30.30303,30.76923
2014-12-13 14:59:27.254,38.46154,30.30303,30.76923
2014-12-13 14:59:48.920,38.46427,30.76923,30.76923
2014-12-13 15:00:10.839,38.75969,30.42753,30.47547
2014-12-13 15:00:33.768,38.75969,30.74886,30.76923
2014-12-13 15:00:54.468,38.46154,31.11753,30.65806
2014-12-13 15:01:15.136,39.37008,31.11753,30.65806
2014-12-13 15:01:35.997,39.0625,29.85075,30.44403
2014-12-13 15:01:56.572,38.16869,31.25,30.31955
2014-12-13 15:02:17.164,38.75969,31.25,30.47153
2014-12-13 15:02:37.833,38.75969,31.25,30.76923
2014-12-13 15:02:58.584,38.40772,30.63486,30.79972
2014-12-13 15:03:19.177,38.30508,31.01317,31.11448
2014-12-13 15:03:39.945,37.87879,30.54138,31.25
2014-12-13 15:04:01.040,37.91547,30.76923,31.25
2014-12-13 15:04:21.750,37.87874,30.6721,30.81131
2014-12-13 15:04:42.348,38.00433,31.25,30.76923
2014-12-13 15:05:03.352,37.87879,31.25,30.76923
2014-12-13 15:05:24.266,37.61079,31.30928,30.74827
2014-12-13 15:05:44.992,37.38206,31.74603,30.62116
2014-12-13 15:06:05.603,37.31343,32.01747,30.76923
2014-12-13 15:06:27.260,36.76471,32.25806,30.76923
2014-12-13 15:06:48.050,36.76471,32.25806,31.25
2014-12-13 15:07:08.770,37.03704,32.25806,30.76923
2014-12-13 15:07:29.533,36.76471,32.25806,30.76923
2014-12-13 15:07:50.393,36.85455,32.25806,30.76923
2014-12-13 15:08:11.060,37.31343,31.74603,31.01519
2014-12-13 15:08:32.099,37.03704,31.74603,31.01519
2014-12-13 15:09:10.305,37.04309,31.74603,31.25
2014-12-13 15:09:31.321,37.30683,31.74603,31.25
2014-12-13 15:09:52.117,37.03704,32.15289,31.25
2014-12-13 15:10:13.230,37.03704,31.74603,31.25
2014-12-13 15:10:34.349,37.03704,31.61082,31.25
2014-12-13 15:10:55.834,37.03704,31.25,31.25
2014-12-13 15:11:16.796,37.03704,31.25,29.85075
2014-12-13 15:11:37.681,37.03704,31.25,29.85075
2014-12-13 15:11:58.308,37.03704,12.82051,29.85075
2014-12-13 15:12:19.118,64.14056,12.67624,22.72727
2014-12-13 15:12:40.432,36.75368,32.46617,30.4413
2014-12-13 15:13:01.140,36.39588,32.30602,30.74396
2014-12-13 15:13:22.113,37.03744,31.59896,31.01913
2014-12-13 15:13:43.079,37.32936,31.77373,31.18016
2014-12-13 15:14:03.958,37.29612,31.28101,31.16213
2014-12-13 15:14:24.586,37.18581,32.03661,31.16213
