date,C Palace,Stoke,The Draw
2014-12-13 14:50:24.081,0.0143815,0.00752149,0.004677223
2014-12-13 14:50:45.879,306.1085,0,0
2014-12-13 14:51:06.578,115.9494,0,317.4116
2014-12-13 14:51:27.232,11.85248,0,460.678
2014-12-13 14:51:47.970,16057.83,25.05478,0
2014-12-13 14:52:08.761,380.5678,26.14654,57.71863
2014-12-13 14:52:29.445,1254.641,203.0586,0
2014-12-13 14:52:50.224,288.7416,2752.516,230.9933
2014-12-13 14:53:11.364,56.76556,11.35311,0
2014-12-13 14:53:32.213,92.09247,28.7789,63.31358
2014-12-13 14:53:53.091,597.7263,6134.001,322.6727
2014-12-13 14:54:14.254,15310.59,633.1546,0
2014-12-13 14:54:35.245,0,17.15005,0
2014-12-13 14:54:56.165,2499.08,31.3206,0
2014-12-13 14:55:17.049,1378.487,334.15,2961.297
2014-12-13 14:55:37.798,1885.793,380.993,292.5332
2014-12-13 14:55:58.718,373.3293,939.389,249.9473
2014-12-13 14:56:19.431,347.617,154.0523,143.0444
2014-12-13 14:56:40.270,237.7549,135.3746,0
2014-12-13 14:57:01.115,40.32751,23.02784,23.02784
2014-12-13 14:57:21.770,3086.393,32.33148,29.22324
2014-12-13 14:57:42.471,0,1133.326,67.15557
2014-12-13 14:58:03.446,595.7192,191.7366,15.61811
2014-12-13 14:58:24.558,927.718,102.0851,883.2405
2014-12-13 14:58:45.144,0,17.6627,0
2014-12-13 14:59:05.753,1035.958,58.22767,1179.634
2014-12-13 14:59:27.254,17.85945,0,215.2064
2014-12-13 14:59:48.920,2459.54,3417.851,10182.33
2014-12-13 15:00:10.839,115.602,98.32879,206.047
2014-12-13 15:00:33.768,0,467.2422,221.6103
2014-12-13 15:00:54.468,47.01346,159.3588,49.18733
2014-12-13 15:01:15.136,150.9307,0,0
2014-12-13 15:01:35.997,1388.861,1061.341,3579.078
2014-12-13 15:01:56.572,452.9902,110.6085,2656.615
2014-12-13 15:02:17.164,9.265593,1.864773,1596.741
2014-12-13 15:02:37.833,0,0,19.56524
2014-12-13 15:02:58.584,232.564,187.0228,142.8983
2014-12-13 15:03:19.177,6921.692,367.0016,125.432
2014-12-13 15:03:39.945,480.9724,68.991,27.99509
2014-12-13 15:04:01.040,162.6074,1122.864,125.5749
2014-12-13 15:04:21.750,329.482,784.6092,312.3314
2014-12-13 15:04:42.348,42.35427,19.72066,135.9473
2014-12-13 15:05:03.352,295.6823,182.6483,179.8203
2014-12-13 15:05:24.266,1209.269,94.70459,1150.37
2014-12-13 15:05:44.992,2460.005,68.66719,73.0385
2014-12-13 15:06:05.603,29.11044,146.8331,2161.829
2014-12-13 15:06:27.260,166.2274,115.3618,0
2014-12-13 15:06:48.050,0,32.03454,288.5994
2014-12-13 15:07:08.770,9.208644,31.8538,115.832
2014-12-13 15:07:29.533,358.0411,69.35421,271.7529
2014-12-13 15:07:50.393,401.9386,212.8486,0
2014-12-13 15:08:11.060,9.232105,1228.102,533.6912
2014-12-13 15:08:32.099,97.18795,1814.318,0
2014-12-13 15:09:10.305,564.27,0,120.4988
2014-12-13 15:09:31.321,257.5752,158.9931,27.15074
2014-12-13 15:09:52.117,126.9512,28.73713,5.770508
2014-12-13 15:10:13.230,0,542.3707,1135.725
2014-12-13 15:10:34.349,0,423.5925,6.76157
2014-12-13 15:10:55.834,0,11.28258,3442.891
2014-12-13 15:11:16.796,33.6888,14.99824,20.43653
2014-12-13 15:11:37.681,72.3095,12.41069,175.1286
2014-12-13 15:11:58.308,4234.102,45.61087,925.5109
2014-12-13 15:12:19.118,952.6257,183.4268,1768.734
2014-12-13 15:12:40.432,46.92743,41.43802,264.1392
2014-12-13 15:13:01.140,775.2044,211.5695,2588.989
2014-12-13 15:13:22.113,1866.287,1058.505,4783.554
2014-12-13 15:13:43.079,1221.358,789.0263,3008.608
2014-12-13 15:14:03.958,1539.526,1227.356,1477.655
2014-12-13 15:14:24.586,1347.883,148.2296,0
2014-12-13 15:14:45.405,670.4124,0,115.2465
2014-12-13 15:15:05.965,4508.05,743.0781,669.1584
2014-12-13 15:15:26.524,622.376,34.67211,1631.282
2014-12-13 15:15:47.138,4.598711,0,370.3418
2014-12-13 15:16:07.718,144.4356,24.05315,1290.503
2014-12-13 15:16:28.534,4216.72,2680.645,2638.764
2014-12-13 15:16:49.149,0,0,5038.027
2014-12-13 15:17:09.770,125.9318,11.11505,3661.303
2014-12-13 15:17:30.520,51.41226,103.0848,3981.501
2014-12-13 15:17:51.984,2833.55,263.1277,7976.015
2014-12-13 15:18:12.885,34.21959,86.12314,2312.378
2014-12-13 15:18:33.866,22.84897,41.52279,1503.371
2014-12-13 15:18:54.742,736.7835,217.7932,0
2014-12-13 15:19:22.260,64.36548,87.2161,0
2014-12-13 15:19:43.161,95.70963,0,0
2014-12-13 15:20:04.074,199.7732,0,0
2014-12-13 15:20:25.046,196.1187,1953.348,177.0361
2014-12-13 15:20:46.963,920.7785,1342.883,69.50666
2014-12-13 15:21:07.673,0,1015.88,26.48056
2014-12-13 15:21:28.651,0,68.75782,86.77672
2014-12-13 15:21:49.979,16.85063,0,210.9563
2014-12-13 15:22:10.694,1438.186,115.8613,241.2521
2014-12-13 15:22:32.230,0,11.14387,0
2014-12-13 15:22:53.398,0,27.43766,0
2014-12-13 15:23:14.192,151.8642,130.8577,334.8629
2014-12-13 15:23:34.874,0,18.45014,1269.056
2014-12-13 15:23:56.118,54.56712,52.42059,45.13367
2014-12-13 15:24:17.053,109.2797,0,14.58782
2014-12-13 15:24:38.165,28.42068,24.64073,27.05648
2014-12-13 15:24:58.912,419.2383,0,22.84599
2014-12-13 15:25:19.620,0.6664039,0.5794817,850.6501
2014-12-13 15:25:40.422,17.30628,223.1644,838.4314
2014-12-13 15:26:02.318,0,178.1395,19.75674
2014-12-13 15:26:23.238,49.50497,121.095,7.457296
2014-12-13 15:26:43.954,0,0,0
2014-12-13 15:27:04.623,35.38686,688.723,1044.856
2014-12-13 15:27:25.354,23.06702,1131.384,60.34471
2014-12-13 15:27:45.912,0,0,0
2014-12-13 15:28:06.587,0,464.3497,0
2014-12-13 15:28:27.116,36.76712,0,0
2014-12-13 15:28:47.711,0,467.4192,29.62885
2014-12-13 15:29:08.411,183.101,60.8694,1256.721
2014-12-13 15:29:43.825,322.2952,175.0658,1257.549
2014-12-13 15:30:05.795,0,68.51828,0
2014-12-13 15:30:26.982,69.92058,0,28.31939
2014-12-13 15:30:47.546,0,0,0
2014-12-13 15:31:08.314,0,11.55586,0
2014-12-13 15:31:29.151,350.5596,0,0
2014-12-13 15:31:49.775,116.6847,48.98955,0
2014-12-13 15:32:10.382,0,11.64673,384.3419
2014-12-13 15:32:31.134,5926.886,30.70611,48.34332
2014-12-13 15:32:51.952,0,0,0
2014-12-13 15:33:12.730,5.775367,0,0
2014-12-13 15:33:33.373,260.4869,0,0
2014-12-13 15:33:55.240,98.77923,451.9424,400.8241
2014-12-13 15:34:15.932,98.47173,0,3.247595
2014-12-13 15:34:36.508,185.5402,235.4609,0
2014-12-13 15:34:57.359,20.34437,1137.357,38.09893
2014-12-13 15:35:18.686,0,0,0
2014-12-13 15:35:39.367,0.6092538,0.4932055,0.6382659
2014-12-13 15:36:00.354,216.3897,188.4011,235.4871
2014-12-13 15:36:20.993,0,0,17.44265
2014-12-13 15:36:41.633,53.89531,0,178.3429
2014-12-13 15:37:02.993,1052.809,0,486.629
2014-12-13 15:37:23.565,0,29.16575,0
2014-12-13 15:37:44.153,540.3122,0,118.3791
2014-12-13 15:38:05.097,408.9008,25.03884,1.804859
2014-12-13 15:38:25.846,1052.98,644.1239,1766.533
2014-12-13 15:38:46.546,287.3093,3894.184,478.0373
2014-12-13 15:39:07.686,256.4561,2934.317,534.3972
2014-12-13 15:39:28.825,6007.785,245.9462,975.6385
2014-12-13 15:39:58.745,289.8869,17.767,124.1484
2014-12-13 15:40:19.395,0,87.17055,46.08417
2014-12-13 15:40:39.966,529.3137,972.6153,399.4936
2014-12-13 15:41:00.840,108.2229,0,0
2014-12-13 15:41:21.542,2392.996,409.3245,612.697
2014-12-13 15:41:42.170,650.6404,0,730.3089
2014-12-13 15:42:03.322,23.88379,21.9833,0
2014-12-13 15:42:23.994,30.94025,22.84238,8.707386
2014-12-13 15:42:44.934,554.1068,26.04629,180.6621
2014-12-13 15:43:05.525,0,0,281.8309
2014-12-13 15:43:26.132,145.5784,0,810.8136
2014-12-13 15:43:46.950,0,0,0
2014-12-13 15:44:07.516,3282.718,0,58.34803
2014-12-13 15:44:28.193,2034.607,18.77447,27.59585
2014-12-13 15:44:48.902,25.06209,0.2317881,54.8179
2014-12-13 15:45:09.763,51.77156,11.50479,105.125
2014-12-13 15:45:30.438,3941.461,5.804034,41.731
2014-12-13 15:45:51.250,1377.038,22.83291,18.27786
