date,end,title,fill,description
2015-01-11 18:05:00.000,2015-01-11 18:05:00.000,Kick-off,gray,
2015-01-11 18:16:00.000,2015-01-11 18:16:00.000,Touchdown!,#313F36,Rodgers connects with Andrew Quarless for a touchdown and just like that the Packers strike first
2015-01-11 18:34:00.000,2015-01-11 18:34:00.000,Touchdown!,#0D254C,Tyler Clutts catches the game-tying touchdown
2015-01-11 18:50:00.000,2015-01-11 18:50:00.000,Turnover!,#0D254C,Cowboys sack Rogers and recover
2015-01-11 18:56:00.000,2015-01-11 18:56:00.000,Touchdown,#0D254C,Romo throws to Terrence Williams... WHO TAKES IT ALL THE WAY IN FOR A TOUCHDOWN!
2015-01-11 19:24:00.000,2015-01-11 19:24:00.000,Missed field goal!,#0D254C,Dan Bailey is on for a field goal attempt... its no good the Cowboys get no points on this possession
2015-01-11 19:33:00.000,2015-01-11 19:33:00.000,Field Goal,#313F36,Mason Crosby hits a 40 yarder right through the middle of the uprights and that will end a very exciting first half of NFL action
2015-01-11 19:35:00.000,2015-01-11 19:48:00.000,Half-time,gray,
2015-01-11 20:02:00.000,2015-01-11 20:02:00.000,Fumble!,#0D254C,Murray fumbles and Dallas recovers!
2015-01-11 20:09:00.000,2015-01-11 20:09:00.000,Field goal!,#313F36,Crosbys 30 yarder is good and its a one-point game
2015-01-11 20:15:00.000,2015-01-11 20:15:00.000,Touchdown!,#0D254C,Murray runs 26 yards to the Green Bay 1 and brings it in for a touchdown on the very next play
2015-01-11 20:28:00.000,2015-01-11 20:28:00.000,Touchdown!,#313F36,Rodgers throws to Adams from 3rd and 15 for a touchdown
2015-01-11 20:46:00.000,2015-01-11 20:46:00.000,Touchdown!,#313F36,Aaron to Richard Rodgers for a touchdown and the lead
2015-01-11 20:48:00.000,2015-01-11 20:48:00.000,Failed two point conversion,#313F36,Rodgers-to-Quarless pass is incomplete
2015-01-11 20:58:00.000,2015-01-11 20:58:00.000,Overturned call!,#313F36,The officials say that Bryant did not maintain possession. Turnover on downs for Dallas
2015-01-11 21:12:00.000,2015-01-11 21:12:00.000,Full-time,gray,Green Bay wins!
