date,Dallas Cowboys,Green Bay Packers
2015-01-11 18:00:16.821,0.01283872,0.07362937
2015-01-11 18:00:32.630,60.72599,20120.8
2015-01-11 18:00:48.412,1589.179,5592.084
2015-01-11 18:01:04.186,453.7478,2715.754
2015-01-11 18:01:20.061,2666.007,2131.052
2015-01-11 18:01:35.795,3995.217,6194.63
2015-01-11 18:01:51.929,619.4116,6389.802
2015-01-11 18:02:07.632,152.8373,2439.168
2015-01-11 18:02:23.722,5313.885,37104.83
2015-01-11 18:02:39.394,546.3534,8166.894
2015-01-11 18:02:55.254,1083.799,14503.35
2015-01-11 18:03:11.006,1765.161,5390.969
2015-01-11 18:03:27.164,42.36997,2916.881
2015-01-11 18:03:42.943,946.0705,2255.321
2015-01-11 18:03:58.595,1038.087,5157.123
2015-01-11 18:04:14.409,5090.544,17724.79
2015-01-11 18:04:30.209,5516.005,20248.34
2015-01-11 18:04:46.025,379.3678,14802.4
2015-01-11 18:05:01.783,5816.29,15437.8
2015-01-11 18:05:17.904,1137.989,334.3698
2015-01-11 18:05:33.722,1169.285,14926.55
2015-01-11 18:05:49.811,66.08264,4942.102
2015-01-11 18:06:05.597,798.9306,29183.77
2015-01-11 18:06:21.417,892.7494,1975.935
2015-01-11 18:06:37.577,740.9433,20464.75
2015-01-11 18:06:54.606,275.528,5107.344
2015-01-11 18:07:10.413,755.3773,14193.85
2015-01-11 18:07:26.190,973.8474,22115.77
2015-01-11 18:07:42.000,3161.471,18801.77
2015-01-11 18:07:57.954,422.9033,1796.164
2015-01-11 18:08:13.659,481.9197,5773.408
2015-01-11 18:08:29.454,15.19423,12763.76
2015-01-11 18:08:45.227,665.835,12035.24
2015-01-11 18:09:00.982,834.9708,17377.33
2015-01-11 18:09:16.644,1308.994,17270.53
2015-01-11 18:09:32.748,4119.176,19966.79
2015-01-11 18:09:48.412,194.3606,4278.078
2015-01-11 18:10:04.210,2102.519,23951.05
2015-01-11 18:10:20.047,287.8183,2872.462
2015-01-11 18:10:35.929,533.4693,8724.816
2015-01-11 18:10:52.013,1743.348,19893.38
2015-01-11 18:11:08.182,140.7137,10709.75
2015-01-11 18:11:24.223,0,10401.58
2015-01-11 18:11:40.861,172.3004,2737.262
2015-01-11 18:11:56.611,1363.362,5964.079
2015-01-11 18:12:12.709,708.3302,3021.501
2015-01-11 18:12:28.449,263.5566,6453.287
2015-01-11 18:12:44.520,20.87096,24448.63
2015-01-11 18:13:00.260,12.54119,3826.627
2015-01-11 18:13:16.032,55.2353,26568.68
2015-01-11 18:13:31.868,0,13981.83
2015-01-11 18:13:47.592,606.3338,10116.58
2015-01-11 18:14:03.908,14.37906,4192.95
2015-01-11 18:14:19.609,366.5001,12954.87
2015-01-11 18:14:35.421,403.0209,4655.401
2015-01-11 18:14:51.195,373.2998,3213.52
2015-01-11 18:15:12.001,379.9077,34565.74
2015-01-11 18:15:27.795,378.002,6508.282
2015-01-11 18:15:43.919,9027.973,12026.08
2015-01-11 18:15:59.628,1574.011,18255.1
2015-01-11 18:16:15.385,14409.31,74604.11
2015-01-11 18:16:33.792,7541.17,29265.37
2015-01-11 18:16:49.615,5230.907,21312.27
2015-01-11 18:17:05.472,573.0049,22047.86
2015-01-11 18:17:21.205,810.5201,24763.6
2015-01-11 18:17:36.973,6171.194,2082.687
2015-01-11 18:17:52.621,480.9421,29894.18
2015-01-11 18:18:08.988,557.5783,12201.4
2015-01-11 18:18:24.823,46.07351,2368.087
2015-01-11 18:18:41.101,1332.841,21144.47
2015-01-11 18:18:56.785,90.58805,4948.984
2015-01-11 18:19:12.588,449.9661,3782.927
2015-01-11 18:19:28.989,0,3711.206
2015-01-11 18:19:44.817,29.60572,686.6176
2015-01-11 18:20:00.618,52.81951,55813.44
2015-01-11 18:20:16.384,347.2526,7792.196
2015-01-11 18:20:32.285,528.2705,7449.709
2015-01-11 18:20:48.594,1092.173,52395.27
2015-01-11 18:21:04.440,37.86398,751.6378
2015-01-11 18:21:20.218,124.8066,20143.3
2015-01-11 18:21:36.071,157.4114,23451
2015-01-11 18:21:51.804,423.7258,10684.86
2015-01-11 18:22:07.582,126.6343,2921.108
2015-01-11 18:22:23.249,55.4525,2980.84
2015-01-11 18:22:39.373,118.7071,427.3083
2015-01-11 18:22:57.237,128.8049,6976.39
2015-01-11 18:23:13.055,1547.484,1496.58
2015-01-11 18:23:28.841,0,30406.58
2015-01-11 18:23:44.858,95.33602,1613.333
2015-01-11 18:24:00.589,225.9523,578.4974
2015-01-11 18:24:16.425,8.865922,25358.09
2015-01-11 18:24:32.376,622.7304,1413.303
2015-01-11 18:24:48.610,57.54491,957.16
2015-01-11 18:25:04.390,3917.276,22900.31
2015-01-11 18:25:20.568,16.46659,3974.123
2015-01-11 18:25:36.237,47.71331,848.0025
2015-01-11 18:25:52.009,1184.628,3847.294
2015-01-11 18:26:07.789,220.5349,332.7415
2015-01-11 18:26:23.641,223.8098,5217.383
2015-01-11 18:26:39.396,212.2344,1195.413
2015-01-11 18:26:55.542,298.7434,2486.271
2015-01-11 18:27:11.198,742.7844,849.8984
2015-01-11 18:27:27.116,2330.885,13048.73
2015-01-11 18:27:42.786,252.1999,400.832
2015-01-11 18:27:59.234,809.7549,72.96075
2015-01-11 18:28:15.013,1151.684,13123
2015-01-11 18:28:31.040,466.7481,3499.413
2015-01-11 18:28:46.794,280.4701,4559.925
2015-01-11 18:29:02.592,227.3464,378.3537
2015-01-11 18:29:18.582,1643.85,551.1771
2015-01-11 18:29:34.218,332.3162,1314.145
2015-01-11 18:29:49.988,82.17942,4436.167
2015-01-11 18:30:05.829,553.0386,6269.324
2015-01-11 18:30:21.626,1412.076,959.2223
2015-01-11 18:30:37.459,-187.8931,2899.724
2015-01-11 18:30:53.325,1064.345,44.24531
2015-01-11 18:31:09.037,157.5222,82.86622
2015-01-11 18:31:24.814,171.8123,2968.876
2015-01-11 18:31:40.628,1416.64,4648.813
2015-01-11 18:31:56.965,488.2028,20575.14
2015-01-11 18:32:12.810,971.9288,16745.22
2015-01-11 18:32:28.596,48.00264,3874.683
2015-01-11 18:32:44.463,224.5136,8796.343
2015-01-11 18:33:01.146,1118.678,31996.06
2015-01-11 18:33:16.813,951.5124,12473.79
2015-01-11 18:33:33.424,93.04423,8399.156
2015-01-11 18:33:49.272,5480.952,11343.83
2015-01-11 18:34:05.437,0,6191.916
2015-01-11 18:34:21.204,866.807,2865.014
2015-01-11 18:34:36.963,103.4818,4204.835
2015-01-11 18:34:52.598,212.9571,1840.665
2015-01-11 18:35:08.727,4001.911,8865.525
2015-01-11 18:35:24.367,1846.65,26709.71
2015-01-11 18:35:40.000,96.56451,11404.63
2015-01-11 18:35:56.216,14.80047,4465.671
2015-01-11 18:36:12.036,36.82675,12249.39
2015-01-11 18:36:27.819,372.5432,4753.841
2015-01-11 18:36:47.686,1455.834,953.7534
