date,Draw,England,South Africa
2014-11-15 14:25:21.928,4.347826,51.57715,44.31515
2014-11-15 14:25:42.951,4.321492,51.70488,44.24779
2014-11-15 14:26:03.495,4.347826,51.58092,44.21427
2014-11-15 14:26:24.125,4.347826,51.6551,44.24779
2014-11-15 14:26:44.823,4.347826,51.49807,44.59919
2014-11-15 14:27:05.581,4.347826,51.44825,43.92894
2014-11-15 14:27:26.317,4.477966,51.62973,44.08434
2014-11-15 14:27:47.235,4.539555,51.75948,43.94947
2014-11-15 14:28:07.908,4.468842,52.22416,43.85965
2014-11-15 14:28:28.958,4.26093,52.08333,43.9341
2014-11-15 14:28:49.539,4.32871,51.86628,44.17269
2014-11-15 14:29:10.119,4.347826,51.83915,44.22827
2014-11-15 14:29:30.868,4.264197,51.94816,43.97242
2014-11-15 14:29:51.579,4.171449,52.21512,43.73594
2014-11-15 14:30:12.411,4.144745,52.04882,43.58261
2014-11-15 14:30:33.437,4.205691,52.1315,43.85965
2014-11-15 14:30:55.683,4.096372,52.31043,43.84948
2014-11-15 14:31:16.311,4.020266,52.25364,43.98561
2014-11-15 14:31:36.867,4.051324,52.10188,44.11038
2014-11-15 14:31:57.505,3.940191,52.16376,44.22309
2014-11-15 14:32:18.050,3.846154,52.21174,44.21154
2014-11-15 14:32:38.692,3.870577,51.83294,44.32781
2014-11-15 14:32:59.893,3.792849,52.13854,44.24262
2014-11-15 14:33:20.488,3.825053,52.52114,44.08189
2014-11-15 14:33:41.078,3.626577,52.63957,43.75141
2014-11-15 14:34:01.708,3.918289,51.81897,44.62623
2014-11-15 14:34:22.321,3.895593,50.40805,46.85142
2014-11-15 14:34:42.887,3.944007,49.37167,47.48417
2014-11-15 14:35:03.508,3.684973,49.98276,46.87646
2014-11-15 14:35:24.134,4.003501,51.09519,44.74255
2014-11-15 14:35:45.108,3.605494,52.34368,44.32333
2014-11-15 14:36:05.944,3.652923,52.66278,43.7501
2014-11-15 14:36:26.512,3.595652,51.53111,44.971
2014-11-15 14:36:47.103,3.756121,51.44292,44.82507
2014-11-15 14:37:07.678,3.79626,51.20546,45.19246
2014-11-15 14:37:28.281,3.624603,52.1726,44.61703
2014-11-15 14:37:49.890,3.774393,52.73197,43.80532
2014-11-15 14:38:10.621,3.703704,52.65876,43.60465
2014-11-15 14:38:31.390,3.703704,53.13614,43.7574
2014-11-15 14:38:52.337,3.703704,53.3251,43.13006
2014-11-15 14:39:13.408,3.926014,52.47244,43.47826
2014-11-15 14:39:34.107,3.926014,53.76344,45.04505
2014-11-15 14:39:54.714,3.961252,53.01925,44.2081
2014-11-15 14:40:17.007,3.846154,51.81347,44.2081
2014-11-15 14:40:37.800,3.703704,53.50684,43.81694
2014-11-15 14:40:58.525,4,53.76344,43.47826
2014-11-15 14:41:19.138,4.038982,52.31858,43.41222
2014-11-15 14:41:39.779,3.846154,52.19585,43.87378
2014-11-15 14:42:00.551,4.035239,49.12783,47.06916
2014-11-15 14:42:21.322,4.039093,48.10095,48.1631
2014-11-15 14:42:41.871,3.913382,46.82917,49.35758
2014-11-15 14:43:02.537,3.947994,46.59543,49.60055
2014-11-15 14:43:23.129,4.117981,46.45604,49.6197
2014-11-15 14:43:43.685,4.119657,44.24779,50.66866
2014-11-15 14:44:04.333,3.932933,45.67941,50.83991
2014-11-15 14:44:24.893,3.65811,45.14404,50.73319
2014-11-15 14:44:45.504,3.999135,44.61278,51.46958
2014-11-15 14:45:06.212,3.860369,44.30747,51.54993
2014-11-15 14:45:26.919,3.711413,44.91702,51.73262
2014-11-15 14:45:47.561,3.977137,45.3232,50.75145
2014-11-15 14:46:08.160,3.858436,47.99588,49.33595
2014-11-15 14:46:28.823,3.689981,47.22657,49.49888
2014-11-15 14:46:49.577,3.777787,46.8201,49.86014
2014-11-15 14:47:10.323,3.912771,45.48833,50.13566
2014-11-15 14:47:31.093,3.573488,45.45369,51.02539
2014-11-15 14:47:51.698,3.556759,45.45369,65.52515
2014-11-15 14:48:12.753,3.894077,35.41505,62.95694
2014-11-15 14:48:33.304,3.333333,29.91419,66.3265
2014-11-15 14:48:53.909,3.600371,29.00879,67.59962
2014-11-15 14:49:14.822,3.427946,28.39379,68.48858
2014-11-15 14:49:35.583,3.97849,28.37001,67.70813
2014-11-15 14:49:56.514,3.523526,29.19715,67.49633
2014-11-15 14:50:17.572,3.713559,28.41366,67.92829
2014-11-15 14:50:38.320,3.980836,27.1921,69.87883
2014-11-15 14:50:59.162,3.420422,26.83353,70.02355
2014-11-15 14:51:24.130,3.755094,26.13902,69.92479
2014-11-15 14:51:45.134,3.674742,27.78501,69.58006
2014-11-15 14:52:05.919,3.658537,29.81428,67.7745
2014-11-15 14:52:27.221,3.278464,29.73245,67.83313
2014-11-15 14:52:48.114,3.529498,27.48665,68.83409
2014-11-15 14:53:08.895,3.703704,27.28749,69.04589
2014-11-15 14:53:30.255,3.617874,27.31795,69.35629
2014-11-15 14:53:50.904,3.413439,27.62748,69.12433
2014-11-15 14:54:11.679,3.327771,27.64078,69.15531
2014-11-15 14:54:32.334,3.482151,28.04557,67.67914
2014-11-15 14:54:52.912,3.518574,30.76923,66.44995
2014-11-15 14:55:13.506,3.422168,31.20606,66.20625
2014-11-15 14:55:34.443,3.571429,31.64525,64.92306
2014-11-15 14:55:55.347,3.443184,31.59387,65.52631
2014-11-15 14:56:15.893,3.692885,30.52967,66.15039
2014-11-15 14:56:36.564,3.703704,30.72364,67.0314
2014-11-15 14:56:57.108,3.654432,29.66197,66.28491
2014-11-15 14:57:17.749,3.78155,29.50512,66.49317
2014-11-15 14:57:38.331,3.633572,29.41176,66.84535
2014-11-15 14:57:58.938,3.672927,29.12781,67.11409
2014-11-15 14:58:19.672,3.767677,29.12729,67.62726
2014-11-15 14:58:40.502,3.703704,29.39623,67.30276
2014-11-15 14:59:01.181,3.703704,29.19437,64.40217
2014-11-15 14:59:22.359,3.703704,29.19437,61.7284
2014-11-15 14:59:42.903,4.033132,28.84527,66.65956
2014-11-15 15:00:03.552,4.138567,33.01155,64.76432
2014-11-15 15:00:24.271,4.166667,33.20312,62.87983
2014-11-15 15:00:45.151,4.258073,32.93004,62.98074
2014-11-15 15:01:05.980,3.7338,30.88942,66.22309
2014-11-15 15:01:26.737,3.668431,32.78689,63.64621
2014-11-15 15:01:47.474,3.740626,32.8965,63.41585
2014-11-15 15:02:08.115,3.571429,32.8965,62.64772
2014-11-15 15:02:28.684,3.571429,33.33333,62.16476
2014-11-15 15:02:49.373,3.887256,33.70439,62.27691
2014-11-15 15:03:10.128,3.722967,33.33333,63.03953
2014-11-15 15:03:31.248,3.805443,33.25056,63.01867
2014-11-15 15:03:51.938,3.993973,32.98132,63.89626
2014-11-15 15:04:12.575,3.455201,31.39915,65.23851
2014-11-15 15:04:33.121,3.947368,29.6933,66.19783
2014-11-15 15:04:53.920,3.947368,30.85037,66.15236
2014-11-15 15:05:14.569,3.947368,32.36998,65.78947
2014-11-15 15:05:35.286,3.571429,33.33333,63.97998
2014-11-15 15:05:55.984,3.663997,33.13101,63.69427
2014-11-15 15:06:17.221,3.737439,33.43166,62.64683
2014-11-15 15:06:38.222,3.374782,32.79313,65.84838
2014-11-15 15:07:03.939,3.333333,29.10464,67.23798
2014-11-15 15:07:24.938,3.539351,29.26156,66.80179
2014-11-15 15:07:45.630,3.448276,29.19094,67.3093
2014-11-15 15:08:06.488,3.379108,28.35692,68.22723
2014-11-15 15:08:27.568,3.551799,27.41225,68.69037
2014-11-15 15:08:48.440,3.901241,26.96909,69.07497
2014-11-15 15:09:09.076,4.574052,27.30454,67.7481
2014-11-15 15:09:29.947,5.200753,26.719,67.51821
2014-11-15 15:09:50.679,4.984797,28.39229,65.91463
2014-11-15 15:10:11.510,4.357023,30.77832,64.15311
2014-11-15 15:10:32.499,4.472972,30.76923,64.85625
2014-11-15 15:10:53.142,4.399251,30.2002,65.43116
2014-11-15 15:11:13.819,4.545455,29.85075,65.53621
2014-11-15 15:11:37.468,4.300685,30.1647,65.61019
2014-11-15 15:12:06.004,4.467486,30.30303,65.83016
2014-11-15 15:12:26.784,4,30.30303,66.32942
2014-11-15 15:12:48.053,4,25.80559,69.15361
2014-11-15 15:13:08.751,3.573348,27.02703,70.1308
2014-11-15 15:13:29.488,3.991523,28.98551,67.18776
2014-11-15 15:13:51.628,4,28.98551,66.97964
2014-11-15 15:14:12.808,4.157895,28.98551,67.14873
2014-11-15 15:14:33.819,4.384798,30.18836,66.51301
2014-11-15 15:14:54.700,4.190893,28.98551,66.78033
2014-11-15 15:15:15.414,4.308123,29.17865,66.66244
2014-11-15 15:15:36.219,3.984834,27.39726,68.96552
2014-11-15 15:15:57.219,4.166667,26.73901,68.97521
2014-11-15 15:16:18.409,4.545455,27.03665,67.56757
2014-11-15 15:16:39.121,4.166667,29.21937,66.66667
2014-11-15 15:17:00.137,4.388534,28.57143,66.74465
2014-11-15 15:17:20.872,4.36911,28.51446,66.76201
2014-11-15 15:17:41.728,4.36967,28.41763,67.67368
2014-11-15 15:18:03.387,4.493833,27.77778,68.04143
2014-11-15 15:18:24.318,4.545455,26.67315,68.87022
2014-11-15 15:18:44.992,4.545486,28.56954,66.69354
2014-11-15 15:19:05.848,4.719309,28.42062,66.96789
2014-11-15 15:19:26.714,4.552352,28.5443,66.74757
2014-11-15 15:19:47.550,4.761905,28.81757,66.79357
2014-11-15 15:20:08.540,4.600816,28.98551,66.89693
2014-11-15 15:20:29.164,4.545455,28.98551,66.66667
2014-11-15 15:20:50.056,4.644464,29.67929,66.19866
2014-11-15 15:21:10.758,4.729669,30.35233,64.93129
2014-11-15 15:21:31.639,4.545455,30.28753,65.78947
2014-11-15 15:21:52.422,4.545455,30.16246,65.48723
2014-11-15 15:22:14.783,4.761905,30.28669,64.93506
2014-11-15 15:22:35.536,4.545455,30.21452,65.48205
2014-11-15 15:22:56.319,4.545455,30.27358,65.54459
2014-11-15 15:23:17.178,4.750451,30.64744,65.09858
2014-11-15 15:23:38.011,4.710211,30.4062,65.09434
2014-11-15 15:23:59.463,4.388449,29.72924,65.87961
2014-11-15 15:24:20.426,4.382193,30.30303,65.55511
2014-11-15 15:24:41.466,4.524834,30.19985,66.17838
2014-11-15 15:25:02.719,4.543835,30.21137,64.55634
2014-11-15 15:25:23.680,4.545455,30.30303,64.98399
2014-11-15 15:25:44.476,4.537166,30.7506,64.81481
2014-11-15 15:26:05.091,4.545455,30.31621,64.89504
2014-11-15 15:26:25.983,4.545455,30.7277,64.93506
2014-11-15 15:26:46.756,4.545455,31.06168,64.93506
2014-11-15 15:27:07.660,4.522233,31.25,64.51613
2014-11-15 15:27:28.413,4.522233,32.25806,64.51613
2014-11-15 15:27:49.624,4.545455,31.37645,64.10256
2014-11-15 15:28:10.564,4.527765,31.6417,63.99813
2014-11-15 15:28:31.191,4.545455,31.74603,63.69427
