date,Draw,England,South Africa
2014-11-15 14:25:21.928,86.99938,3189.049,1688.368
2014-11-15 14:25:42.951,165.9668,9917.792,3826.112
2014-11-15 14:26:03.495,315.244,1738.252,2727.763
2014-11-15 14:26:24.125,247.3843,1579.147,1700.6
2014-11-15 14:26:44.823,17.53788,1016.125,1627.921
2014-11-15 14:27:05.581,72.52216,1932.431,9650.014
2014-11-15 14:27:26.317,240.2513,1552.273,2762.528
2014-11-15 14:27:47.235,1511.799,14874.21,2886.922
2014-11-15 14:28:07.908,41.93766,10055.98,159.4792
2014-11-15 14:28:28.958,196.6502,3296.621,2382.036
2014-11-15 14:28:49.539,165.3311,15590.56,15522.93
2014-11-15 14:29:10.119,129.4705,1675.391,1138.413
2014-11-15 14:29:30.868,380.9239,8610.1,2555.831
2014-11-15 14:29:51.579,1052.974,16666,13436.59
2014-11-15 14:30:12.411,40.84245,24323.32,4865.004
2014-11-15 14:30:33.437,307.5313,570.3468,2376.64
2014-11-15 14:30:55.683,268.1655,9131.464,5567.017
2014-11-15 14:31:16.311,46.16125,919.2982,3289.374
2014-11-15 14:31:36.867,100.0868,4088.762,3089.12
2014-11-15 14:31:57.505,426.1133,12661.44,8021.757
2014-11-15 14:32:18.050,316.106,4573.724,3049.12
2014-11-15 14:32:38.692,113.3929,1285.778,2918.101
2014-11-15 14:32:59.893,258.5227,3508.239,2142.328
2014-11-15 14:33:20.488,700.1628,3505.767,3078.496
2014-11-15 14:33:41.078,207.9203,3558.104,6342.924
2014-11-15 14:34:01.708,630.8351,13283.63,4513.132
2014-11-15 14:34:22.321,334.499,19929.93,2307.438
2014-11-15 14:34:42.887,664.7546,9900.686,2186.673
2014-11-15 14:35:03.508,82.89593,3037.238,957.2749
2014-11-15 14:35:24.134,171.6559,2190.423,2943.69
2014-11-15 14:35:45.108,73.74587,5526.478,2538.025
2014-11-15 14:36:05.944,148.0763,3159.854,1457.495
2014-11-15 14:36:26.512,146.2924,3034.48,3398.067
2014-11-15 14:36:47.103,113.7611,1300.443,562.2783
2014-11-15 14:37:07.678,99.76209,349.9401,1017.859
2014-11-15 14:37:28.281,25.94696,266.0218,770.4004
2014-11-15 14:37:49.890,254.5643,1533.717,802.6496
2014-11-15 14:38:10.621,7.380078,3500.733,86.82445
2014-11-15 14:38:31.390,22.99617,280.432,1367.926
2014-11-15 14:38:52.337,149.9531,1211.312,160.0645
2014-11-15 14:39:13.408,124.7453,2412.416,1449.135
2014-11-15 14:39:34.107,0,4620.072,57.97483
2014-11-15 14:39:54.714,60.00699,433.8205,50.22419
2014-11-15 14:40:17.007,10.76597,3708.877,0
2014-11-15 14:40:37.800,8.252842,118.108,259.7048
2014-11-15 14:40:58.525,11.58022,52.11099,914.5479
2014-11-15 14:41:19.138,165.3854,8132.671,3521.323
2014-11-15 14:41:39.779,46.48064,1645.455,791.5953
2014-11-15 14:42:00.551,284.729,8328.548,2299.266
2014-11-15 14:42:21.322,129.406,2770.501,3289.858
2014-11-15 14:42:41.871,135.1945,1832.397,3884.638
2014-11-15 14:43:02.537,246.0573,4260.318,9477.429
2014-11-15 14:43:23.129,253.8447,1060.6,2234.661
2014-11-15 14:43:43.685,267.5079,1560.535,16902.73
2014-11-15 14:44:04.333,81.0448,705.4007,12320.35
2014-11-15 14:44:24.893,97.73472,2398.251,13320.73
2014-11-15 14:44:45.504,172.2177,4044.787,9040.759
2014-11-15 14:45:06.212,96.54035,349.6545,1271.713
2014-11-15 14:45:26.919,496.9936,4836.154,11631.71
2014-11-15 14:45:47.561,33.97949,398.7431,15971.17
2014-11-15 14:46:08.160,68.27602,709.7618,8763.07
2014-11-15 14:46:28.823,70.55844,776.9269,10532.58
2014-11-15 14:46:49.577,53.45685,325.2801,403.7741
2014-11-15 14:47:10.323,225.7258,4630.632,4249.892
2014-11-15 14:47:31.093,246.9917,3563.874,7989.474
2014-11-15 14:47:51.698,22.18852,624.1031,6947.22
2014-11-15 14:48:12.753,723.168,5447.256,16589.15
2014-11-15 14:48:33.304,11.82421,428.6202,9765.014
2014-11-15 14:48:53.909,58.73265,2886.81,11051.61
2014-11-15 14:49:14.822,418.7093,2510.535,15146.98
2014-11-15 14:49:35.583,620.7345,4975.558,38444.21
2014-11-15 14:49:56.514,161.2985,1202.931,7196.115
2014-11-15 14:50:17.572,198.8251,1010.823,26473.94
2014-11-15 14:50:38.320,264.3159,652.0274,30852.52
2014-11-15 14:50:59.162,45.22638,630.1177,34686.67
2014-11-15 14:51:24.130,44.28864,1410.724,7038.626
2014-11-15 14:51:45.134,83.49613,960.1626,13918.83
2014-11-15 14:52:05.919,4.503309,106.7226,319.4174
2014-11-15 14:52:27.221,262.7107,557.2779,4307.869
2014-11-15 14:52:48.114,68.89297,1103.408,4662.753
2014-11-15 14:53:08.895,33.6071,1946.498,722.928
2014-11-15 14:53:30.255,140.5059,936.2938,3476.691
2014-11-15 14:53:50.904,25.91959,321.8155,3637.605
2014-11-15 14:54:11.679,142.8426,1356.947,3720.522
2014-11-15 14:54:32.334,57.6609,92.95461,4308.911
2014-11-15 14:54:52.912,67.93882,744.7319,2177.541
2014-11-15 14:55:13.506,3.292225,30.06705,3582.32
2014-11-15 14:55:34.443,60.81021,560.9039,3289.798
