date,end,title,fill,description
2015-02-07 17:01:00.000,2015-02-07 17:01:00.000,Kick-off,gray,Camille Lopez kicks off
2015-02-07 17:02:00.000,2015-02-07 17:02:00.000,Penalty,#e40520,Up steps Lopez - chosen as kicker ahead of Kockott - and curls it in off the far post
2015-02-07 17:14:00.000,2015-02-07 17:14:00.000,Penalty,#0d3a63,Level the scores are
2015-02-07 17:14:00.000,2015-02-07 17:14:00.000,Penalty,#e40520,22m out and it’s an easy kick for Lopez
2015-02-07 17:39:00.000,2015-02-07 17:39:00.000,Penalty,#e40520,good kick from Lopez
2015-02-07 17:42:00.000,2015-02-07 17:42:00.000,Try!,#0d3a63,Fife dives over in the corner!
2015-02-07 17:45:00.000,2015-02-07 17:58:00.000,Half-time,gray,
2015-02-07 18:08:00.000,2015-02-07 17:08:00.000,Penalty,#e40520,Lopez - from 30m out just to the left - knocks it through the posts
2015-02-07 18:43:00.000,2015-02-07 17:43:00.000,Penalty,#e40520,Thats probably it for Scotland
2015-02-07 18:45:00.000,2015-02-07 17:45:00.000,Full-time,gray,
