date,Draw,France,Scotland
2015-02-07 16:50:16.160,,,
2015-02-07 16:50:31.851,2.173913,80,18.50989
2015-02-07 16:50:47.909,2.083333,80,18.18182
2015-02-07 16:51:03.621,2.083333,80,18.18182
2015-02-07 16:51:24.223,2.173913,79.45736,18.18182
2015-02-07 16:51:40.410,2.173913,80,18.13476
2015-02-07 16:51:56.070,2.173913,79.97032,18.51852
2015-02-07 16:52:12.478,2.173913,80,18.07229
2015-02-07 16:52:28.207,2.173913,79.77767,18.18182
2015-02-07 16:52:44.212,2.121519,79.99794,18.20078
2015-02-07 16:53:00.125,2.121519,79.93678,18.18182
2015-02-07 16:53:15.812,2.118434,79.69101,18.18182
2015-02-07 16:53:31.436,2.173913,79.98592,18.18182
2015-02-07 16:53:47.910,2.173913,80,17.88193
2015-02-07 16:54:03.639,2.173913,80,18.18182
2015-02-07 16:54:20.024,2.201643,80,17.97928
2015-02-07 16:54:35.638,2.090706,80,17.90673
2015-02-07 16:54:51.471,2.083333,79.87245,18.1781
2015-02-07 16:55:07.592,2.118128,79.9459,17.89197
2015-02-07 16:55:28.527,2.072271,80.02399,17.6395
2015-02-07 16:55:44.732,2.083333,80.64031,17.47642
2015-02-07 16:56:00.415,2.056452,80.64516,17.54386
2015-02-07 16:56:16.017,2.083333,80.59822,17.5317
2015-02-07 16:56:31.608,2.125306,80.64516,17.49008
2015-02-07 16:56:47.818,2.087512,80.68966,17.40238
2015-02-07 16:57:03.414,2.017909,81.28938,17.35374
2015-02-07 16:57:19.587,2.064642,81.30081,16.89983
2015-02-07 16:57:35.226,2,81.29799,16.83401
2015-02-07 16:57:51.377,2,81.30015,16.94915
2015-02-07 16:58:07.113,1.826444,81.63945,16.85881
2015-02-07 16:58:22.915,1.818182,81.93478,16.73498
2015-02-07 16:58:39.045,2,81.96721,16.66667
2015-02-07 16:58:54.876,1.834278,81.64325,16.67632
2015-02-07 16:59:10.673,1.818182,81.96316,16.585
2015-02-07 16:59:26.453,1.71652,81.87142,17.02062
2015-02-07 16:59:42.282,1.606193,81.88464,16.81971
2015-02-07 16:59:58.060,1.697417,81.58788,17.03175
2015-02-07 17:00:14.121,1.617537,81.9407,16.71641
2015-02-07 17:00:29.919,1.56793,81.9851,16.66667
2015-02-07 17:00:45.706,1.655157,81.51945,16.67546
2015-02-07 17:01:01.522,1.559418,82.31666,16.6953
2015-02-07 17:01:17.258,1.550118,81.81373,16.91099
