date,end,title,fill,description
2015-01-11 21:39:00.000,2015-01-11 21:39:00.000,Kick-off,gray,
2015-01-11 21:53:00.000,2015-01-11 21:53:00.000,Touchdown!,#DE6226,Broncos drive down the field with ease and cap it off with a touchdown from Manning to Demaryius Thomas
2015-01-11 22:18:00.000,2015-01-11 22:18:00.000,Touchdown!,#023A79,Touchdown Colts! Luck awkwardly hands the ball off on a counter but the confusion somehow works out as Herron runs in for a six-yard touchdown
2015-01-11 22:35:00.000,2015-01-11 22:35:00.000,Touchdown!,#023A79,Touchdown Colts! Dwayne Allen the popular red-zone target catches the three-yard score as the Colts drive all the way down the field and take the lead
2015-01-11 23:09:00.000,2015-01-11 23:09:00.000,Field goal,#DE6226,Connor Barth makes the 45-yard field goal and the Colts lead has been reduced to just four points
2015-01-11 23:13:00.000,2015-01-11 23:24:00.000,Half-time,gray,
2015-01-11 23:41:00.000,2015-01-11 23:41:00.000,Touchdown,#023A79,Touchdown Colts! Luck makes another beautiful throw on the move hitting Hakeem Nicks in the end zone for a 15-yard score
2015-01-12 00:08:00.000,2015-01-12 00:08:00.000,Field goal,#DE6226,Barth makes the 41-yard field goal making it a one-possession game
2015-01-12 00:27:00.000,2015-01-12 00:27:00.000,Field goal,#023A79,Chewing up nearly eight minutes of clock the Colts drive all the way down the field and set up and easy field goal for Vinatieri
2015-01-12 00:50:00.000,2015-01-12 00:50:00.000,Full-time,gray,Colts win! Despite being heavy underdogs the Colts get a convincing win against the Broncos
