date,Denver Broncos,Indianapolis Colts
2015-01-11 21:30:16.704,,
2015-01-11 21:30:32.988,78.13305,22.16004
2015-01-11 21:30:49.049,78.12809,22.16004
2015-01-11 21:31:06.385,78.1534,22.22222
2015-01-11 21:31:22.338,78.6058,22.22222
2015-01-11 21:31:38.072,78.70254,22.22222
2015-01-11 21:31:54.048,78.3093,22.22222
2015-01-11 21:32:09.841,78.18188,22.22222
2015-01-11 21:32:25.688,78.13002,22.22222
2015-01-11 21:32:41.488,77.94428,22.22222
2015-01-11 21:32:57.283,78.125,22.22222
2015-01-11 21:33:14.832,77.94963,22.22222
2015-01-11 21:33:30.657,78.125,22.22222
2015-01-11 21:33:46.516,78.0969,21.82656
2015-01-11 21:34:02.733,78.73537,22.22222
2015-01-11 21:34:18.464,78.17381,22.09868
2015-01-11 21:34:36.143,78.17381,22.22222
2015-01-11 21:34:51.947,78.17381,22.22222
2015-01-11 21:35:10.524,78.125,21.92353
2015-01-11 21:35:26.279,78.74016,22.22222
2015-01-11 21:35:42.051,78.23097,22.22222
2015-01-11 21:35:58.279,78.1376,22.22222
2015-01-11 21:36:14.063,78.125,22.21763
2015-01-11 21:36:29.853,78.12678,22.22222
2015-01-11 21:36:45.657,77.68457,22.22222
2015-01-11 21:37:04.675,78.125,22.22222
2015-01-11 21:37:20.527,77.93884,22.22222
2015-01-11 21:37:36.270,78.125,22.22222
2015-01-11 21:37:52.033,78.33767,22.22222
2015-01-11 21:38:07.889,77.98545,22.22222
2015-01-11 21:38:23.623,77.63728,22.22222
2015-01-11 21:38:40.477,77.95968,22.22222
2015-01-11 21:38:56.684,77.54641,22.31026
2015-01-11 21:39:14.755,77.53615,22.20897
2015-01-11 21:39:30.995,78.10988,22.22222
2015-01-11 21:39:46.845,77.99884,22.14707
2015-01-11 21:40:02.657,78.125,21.86028
2015-01-11 21:40:18.486,78.125,21.9564
2015-01-11 21:40:34.929,78.3563,21.73913
2015-01-11 21:40:56.256,78.12758,22.27077
2015-01-11 21:41:12.061,77.46606,22.25352
2015-01-11 21:41:27.924,76.92308,22.37331
2015-01-11 21:41:43.669,76.46418,23.70102
2015-01-11 21:42:33.015,76.97369,22.44792
2015-01-11 21:42:48.833,79.36508,20.83333
2015-01-11 21:43:04.654,79.36508,20.56848
2015-01-11 21:43:21.544,79.64379,20.91456
2015-01-11 21:43:37.701,80.03631,19.69644
2015-01-11 21:43:53.456,79.84128,20
2015-01-11 21:44:09.265,80,20
2015-01-11 21:44:25.579,79.67416,20.12728
2015-01-11 21:44:41.334,77.51938,22.72727
2015-01-11 21:44:57.126,77.79067,22.62523
2015-01-11 21:45:13.234,78.05918,22.25273
2015-01-11 21:45:29.398,78.53915,22.66641
2015-01-11 21:45:45.376,78.07243,22.66641
2015-01-11 21:46:01.110,78.13503,22.22222
2015-01-11 21:46:16.916,78.73963,21.17337
