date,Denver Broncos,Indianapolis Colts
2015-01-11 21:30:16.704,0.08209695,0.008770296
2015-01-11 21:30:32.988,34761.62,50.62538
2015-01-11 21:30:49.049,3991.954,0
2015-01-11 21:31:06.385,1037.304,947.3148
2015-01-11 21:31:22.338,4323.442,266.9525
2015-01-11 21:31:38.072,1625.8,28.06654
2015-01-11 21:31:54.048,2276.606,509.2008
2015-01-11 21:32:09.841,20252.85,212.7528
2015-01-11 21:32:25.688,35941.04,2869.867
2015-01-11 21:32:41.488,1997.158,2122.819
2015-01-11 21:32:57.283,6015.276,1904.503
2015-01-11 21:33:14.832,14862.13,44.78904
2015-01-11 21:33:30.657,4610.943,0
2015-01-11 21:33:46.516,36144.29,4453.809
2015-01-11 21:34:02.733,1847.624,675.859
2015-01-11 21:34:18.464,2386.38,2864.29
2015-01-11 21:34:36.143,0,384.7371
2015-01-11 21:34:51.947,0,103.0731
2015-01-11 21:35:10.524,232.5463,697.6066
2015-01-11 21:35:26.279,3305.692,207.3294
2015-01-11 21:35:42.051,1150.5,1404.763
2015-01-11 21:35:58.279,1074.965,3010.189
2015-01-11 21:36:14.063,9025.093,2045.433
2015-01-11 21:36:29.853,65220.31,6142.552
2015-01-11 21:36:45.657,1569.519,153.3072
2015-01-11 21:37:04.675,403.9495,301.6371
2015-01-11 21:37:20.527,3565.586,1188.529
2015-01-11 21:37:36.270,13910.07,527.7162
2015-01-11 21:37:52.033,17789.57,2145.473
2015-01-11 21:38:07.889,9919.433,959.0296
2015-01-11 21:38:23.623,39125.98,237.7332
2015-01-11 21:38:40.477,28074.07,5713.724
2015-01-11 21:38:56.684,7566.854,12831.27
2015-01-11 21:39:14.755,14967.3,1236.451
2015-01-11 21:39:30.995,1767.973,765.0602
2015-01-11 21:39:46.845,1015.128,247.9145
2015-01-11 21:40:02.657,45425.35,7642.907
2015-01-11 21:40:18.486,1093.399,907.4454
2015-01-11 21:40:34.929,27150.08,226.9725
2015-01-11 21:40:56.256,20796.59,1085.067
2015-01-11 21:41:12.061,1540.865,2615.549
2015-01-11 21:41:27.924,3234.15,4668.823
2015-01-11 21:41:43.669,10296.64,389.2212
2015-01-11 21:42:33.015,29372.8,1532.941
2015-01-11 21:42:48.833,3453.39,495.5739
2015-01-11 21:43:04.654,10046.15,969.4237
2015-01-11 21:43:21.544,8496.462,905.7616
2015-01-11 21:43:37.701,40624.56,1685.794
2015-01-11 21:43:53.456,37550.39,197.4971
2015-01-11 21:44:09.265,1115.979,834.9724
2015-01-11 21:44:25.579,4975.522,61.53109
2015-01-11 21:44:41.334,167.8275,49.20198
2015-01-11 21:44:57.126,3402.565,292.5516
2015-01-11 21:45:13.234,310.2913,158.7961
