date,end,title,fill,description
2015-01-18 23:51:00.000,2015-01-18 23:51:00.000,Kick-off,gray,
2015-01-19 00:00:00.000,2015-01-19 00:00:00.000,Turnover!,#D3D3D3,Josh Cribbs has muffed the punt and that the Pats have it!
2015-01-19 00:05:00.000,2015-01-19 00:05:00.000,Touchdown overturned!,#D3D3D3,It’s overturned because Blunt was down before crossing the plane
2015-01-19 00:08:00.000,2015-01-19 00:08:00.000,Touchdown!,#D3D3D3,This time there is no doubt - Blunt is in the endzone and the Pats make the most of the untimely muff by Cribbs
2015-01-19 00:21:00.000,2015-01-19 00:21:00.000,Missed field goal!,#003B7B,Former Pats kicker Adam Vinatieri is wide right on the 51-yard attempt and the Colts come up empty!
2015-01-19 00:21:00.000,2015-01-19 00:21:00.000,Touchdown!,#D3D3D3,Brady hits James Develin at the goal line for the first touchdown of his career
2015-01-19 00:50:00.000,2015-01-19 00:50:00.000,Interception!,#003B7B,linebacker DQwell Jackson gets in front of a ball that was heading for Rob Gronkowski at the goal line!
2015-01-19 01:01:00.000,2015-01-19 01:01:00.000,Touchdown!,#003B7B,Luck gets the snap and hands off to Zurlon Tipton who runs it into the endzone!
2015-01-19 01:26:00.000,2015-01-19 01:26:00.000,Field goal!,#D3D3D3,15 plays that cover 65 yards - a drive that ends with a 21-yard chip shot by kicker Stephen Gostowski.
2015-01-19 01:30:00.000,2015-01-19 01:43:00.000,Half-time!,gray,
2015-01-19 01:52:00.000,2015-01-19 01:52:00.000,Touchdown!,#D3D3D3,Brady throwing now and he hits who? 320lb Tackle Nate Solder! He is eligible and he is IN THE ENDZONE!
2015-01-19 02:09:00.000,2015-01-19 02:09:00.000,Touchdown!,#D3D3D3,Gronk streaks towards the middle of the field and is hit in the chest by Tom Brady for a touchdown!
2015-01-19 02:17:00.000,2015-01-19 02:17:00.000,Interception!,#D3D3D3,The fans are on their feet at the drenched Gillette Stadium as they enjoy watching their Patriots dismantle the Colts as they march towards a eighth Super Bowl appearance
2015-01-19 02:20:00.000,2015-01-19 02:20:00.000,Touchdown!,#D3D3D3,There goes Blount through the middle before DESTROYING both LaRon Landry and Vontae Davis as they try to slow him up at the goal line!
2015-01-19 02:37:00.000,2015-01-19 02:37:00.000,Touchdown!,#D3D3D3,Blount right down Broadway for the touchdown! The man now has three trips to the endzone to go along with 148 yards on the day!
2015-01-19 02:47:00.000,2015-01-19 02:47:00.000,Interception!,#D3D3D3,Jamie Collins steps in front of Tipton and snatches the ball away - its another pick for the Pats
2015-01-19 03:04:00.000,2015-01-19 03:04:00.000,Full-time!,gray,The New England Patriots are heading to Arizona for Super Bowl XLIX
