date,Indianapolis Colts,New England Patriots
2015-01-18 23:30:16.524,,
2015-01-18 23:30:32.638,25.99857,73.63698
2015-01-18 23:30:48.555,26.23735,73.79097
2015-01-18 23:31:04.449,25.97403,74.07407
2015-01-18 23:31:20.391,25.97403,74.07407
2015-01-18 23:31:41.254,25.73359,74.10073
2015-01-18 23:32:03.525,25.64763,74.58595
2015-01-18 23:32:19.246,25.64103,74.62403
2015-01-18 23:32:35.047,25.53169,74.80989
2015-01-18 23:32:50.861,25.66271,74.4426
2015-01-18 23:33:07.144,25.81349,74.14728
2015-01-18 23:33:23.845,26.35509,73.74312
2015-01-18 23:33:39.720,26.63865,73.13328
2015-01-18 23:33:55.544,27.02703,73.01106
2015-01-18 23:34:11.732,27.19576,72.78493
2015-01-18 23:34:28.015,27.06707,72.99503
2015-01-18 23:34:43.707,26.89978,72.9927
2015-01-18 23:34:59.566,26.99373,73.33254
2015-01-18 23:35:15.400,27.02703,72.9927
2015-01-18 23:35:31.296,26.88697,73.36487
2015-01-18 23:35:47.373,26.81576,73.19912
2015-01-18 23:36:03.250,26.75158,73.52941
2015-01-18 23:36:19.140,26.69202,73.46541
2015-01-18 23:36:34.944,26.45834,73.64363
2015-01-18 23:36:50.842,25.84458,74.12218
2015-01-18 23:37:07.325,25.73381,74.08345
2015-01-18 23:37:23.759,26.13381,73.73805
2015-01-18 23:37:39.553,26.56364,73.52941
2015-01-18 23:37:57.300,26.66542,74.07062
2015-01-18 23:38:13.614,26.57542,73.80126
2015-01-18 23:38:29.995,26.61143,73.68282
2015-01-18 23:38:45.805,26.37613,73.55418
2015-01-18 23:39:01.680,26.45985,74.00872
2015-01-18 23:39:17.872,26.66667,73.81861
2015-01-18 23:39:33.755,26.66667,73.80626
2015-01-18 23:39:49.633,26.61489,73.58095
2015-01-18 23:40:05.753,26.37254,73.66857
2015-01-18 23:40:21.678,26.35998,73.80225
2015-01-18 23:40:38.448,26.18251,74.06209
2015-01-18 23:40:54.380,26.16426,74.07407
2015-01-18 23:41:10.264,26.31579,73.58355
2015-01-18 23:41:26.229,26.07775,74.07407
2015-01-18 23:41:42.239,26.31579,73.88154
2015-01-18 23:41:58.893,26.31579,73.62473
2015-01-18 23:42:15.089,26.29352,73.78272
2015-01-18 23:42:32.274,26.31579,74.07407
2015-01-18 23:42:50.249,26.31575,73.86283
2015-01-18 23:43:06.159,26.03337,74.04356
2015-01-18 23:43:22.014,26.28118,73.71223
2015-01-18 23:43:37.764,25.97403,74.07407
2015-01-18 23:43:53.812,26.03154,74.06893
2015-01-18 23:44:09.536,26.31579,74.07407
2015-01-18 23:44:26.050,26.05968,74.07407
2015-01-18 23:44:42.347,25.99031,74.07353
2015-01-18 23:44:58.283,25.97403,74.07407
2015-01-18 23:45:14.350,25.88879,74.07407
2015-01-18 23:45:30.361,25.86977,74.14351
2015-01-18 23:45:46.621,25.97403,74.43571
2015-01-18 23:46:02.520,25.97403,74.43374
2015-01-18 23:46:18.742,25.65768,74.60952
2015-01-18 23:46:34.785,25.64103,74.62687
2015-01-18 23:46:50.466,25.94243,74.07407
2015-01-18 23:47:07.376,25.88697,74.55927
2015-01-18 23:47:23.136,25.97403,74.62687
2015-01-18 23:47:39.415,25.97403,74.61266
2015-01-18 23:47:55.147,25.91288,74.51287
2015-01-18 23:48:10.933,25.97403,74.07407
2015-01-18 23:48:27.095,25.67914,74.10766
2015-01-18 23:48:42.888,25.73594,74.61504
2015-01-18 23:48:58.954,25.8531,74.62687
2015-01-18 23:49:14.910,25.97403,74.10692
2015-01-18 23:49:30.760,25.66305,74.23147
2015-01-18 23:49:46.661,25.64103,74.66888
2015-01-18 23:50:02.785,25.64103,74.60168
2015-01-18 23:50:18.789,25.85124,74.45357
2015-01-18 23:50:34.522,25.85869,74.58443
2015-01-18 23:50:50.352,25.88199,74.30157
2015-01-18 23:51:06.174,25.96202,74.05755
2015-01-18 23:51:21.916,26.71999,73.81546
2015-01-18 23:51:38.098,27.14556,73.16439
