date,Indianapolis Colts,New England Patriots
2015-01-18 23:30:16.524,0.008176959,0.03395464
2015-01-18 23:30:32.638,173.6542,6566.616
2015-01-18 23:30:48.555,5258.65,8662.736
2015-01-18 23:31:04.449,14478.94,57454.2
2015-01-18 23:31:20.391,4080.92,19943.15
2015-01-18 23:31:41.254,3628.486,8893.548
2015-01-18 23:32:03.525,1770.772,37958.99
2015-01-18 23:32:19.246,6390.124,10862.09
2015-01-18 23:32:35.047,18834.89,63427.09
2015-01-18 23:32:50.861,4578.616,34372.57
2015-01-18 23:33:07.144,4214.501,78447.49
2015-01-18 23:33:23.845,2093.166,40187.9
2015-01-18 23:33:39.720,8905.814,32484.96
2015-01-18 23:33:55.544,1587.59,34076.84
2015-01-18 23:34:11.732,12139.42,42024.59
2015-01-18 23:34:28.015,5967.3,41903.09
2015-01-18 23:34:43.707,6454.183,1941.528
2015-01-18 23:34:59.566,5388.685,31128.36
2015-01-18 23:35:15.400,641.3975,2205.254
2015-01-18 23:35:31.296,2502.19,4762.706
2015-01-18 23:35:47.373,1280.302,4460.586
2015-01-18 23:36:03.250,5876.712,32245.07
2015-01-18 23:36:19.140,2417.081,24459.13
2015-01-18 23:36:34.944,2206.08,873.2599
2015-01-18 23:36:50.842,18619.22,65792.61
2015-01-18 23:37:07.325,2991.387,167548.2
2015-01-18 23:37:23.759,8607.958,2728.677
2015-01-18 23:37:39.553,2397.167,3799.117
2015-01-18 23:37:57.300,251.2234,20487.67
2015-01-18 23:38:13.614,1188.286,10366.92
2015-01-18 23:38:29.995,718.7708,92047.31
2015-01-18 23:38:45.805,2104.825,119.3172
2015-01-18 23:39:01.680,4751.855,12681.6
2015-01-18 23:39:17.872,1907.937,21732.97
2015-01-18 23:39:33.755,3620.966,14057.08
2015-01-18 23:39:49.633,9237.415,31372.75
2015-01-18 23:40:05.753,2459.257,22271.52
2015-01-18 23:40:21.678,3609.189,5883.186
2015-01-18 23:40:38.448,936.8628,4666.568
2015-01-18 23:40:54.380,171.1278,753.2036
2015-01-18 23:41:10.264,154.0424,7550.723
