date,end,title,fill,description
2014-11-22 16:30:00.000,2014-11-22 16:30:00.000,Kick-off,gray,Bernard Foley gets us underway in Dublin.
2014-11-22 16:34:00.000,2014-11-22 16:34:00.000,Penalty. Ireland 3-0 Australia,#006946,Sexton steps up and curves a lovely shot between the sticks.
2014-11-22 16:41:00.000,2014-11-22 16:41:00.000,Try! Ireland 10-0 Australia,#006946,Sexton spots a massive gap on the left and kicks towards it. Zebo chases it sits up perfectly and the Munster winger runs it in! 
2014-11-22 16:44:00.000,2014-11-22 16:44:00.000,Try! Ireland 17-0 Australia,#006946,Bowe brilliantly reads Phipps pass plucks it out the air and runs the length of the pitch!
2014-11-22 16:47:00.000,2014-11-22 16:47:00.000,Try! Ireland 17-7 Australia,#f0af00,Zebo drops it and Phipps picks the ball up 60m out and runs in to make up for his earlier mistake.
2014-11-22 16:54:00.000,2014-11-22 16:54:00.000,Try! Ireland 17-12 Australia,#f0af00,Phipps pass to Foley looks forwards. The TMO has said he can't see any reason not to award it! Foleys conversion goes wide.
2014-11-22 17:04:00.000,2014-11-22 17:04:00.000,Try! Ireland 17-17 Australia,#f0af00,Australia work it inside and Toomua steps through 30m out. He passes it inside to Foley who takes it on and draws Kearney then puts Phipps over from the 22 and the scrum-half jogs over.
2014-11-22 17:09:00.000,2014-11-22 17:09:00.000,Penalty. Ireland 17-20 Australia,#f0af00,Foley bisects the posts from the left.
2014-11-22 17:14:00.000,2014-11-22 17:14:00.000,Penalty. Ireland 20-20 Australia,#006946,Sexton levels things up before half-time.
2014-11-22 17:15:00.000,2014-11-22 17:27:00.000,Half-time,gray,All square at the end of the first half
2014-11-22 17:34:00.000,2014-11-22 17:34:00.000,Penalty. Ireland 23-20 Australia,#006946,Excellent kick from Sexton to put Ireland back in front
2014-11-22 17:37:00.000,2014-11-22 17:37:00.000,Penalty. Ireland 23-23 Australia,#f0af00,Ireland concede a penalty at the scrum.
2014-11-22 17:54:00.000,2014-11-22 17:54:00.000,Penalty. Ireland 26-23 Australia,#006946,Australia penalized for coming in at the side. Up steps Johnny Sexton and puts the sweetest of kicks through.
2014-11-22 18:14:00.000,2014-11-22 18:14:00.000,Full-time. Ireland 26-23 Australia,gray,Madigan boots it into touch and Ireland have won a brilliant match!
