date,Australia,Draw,Ireland
2014-11-22 16:30:42.580,39.03262,3.333333,58.37286
2014-11-22 16:31:03.857,38.91175,3.293011,58.54922
2014-11-22 16:31:25.026,39.06325,3.317236,58.02099
2014-11-22 16:31:45.976,39.25113,3.220942,57.20701
2014-11-22 16:32:06.966,38.7835,3.125,58.13512
2014-11-22 16:32:27.767,41.12596,3.125,55.86592
2014-11-22 16:32:54.205,39.99096,3.180579,57.892
2014-11-22 16:33:15.603,39.14687,2.992132,58.0243
2014-11-22 16:33:36.641,39.02378,3.085578,57.81416
2014-11-22 16:33:57.612,38.9345,2.941647,58.73353
2014-11-22 16:34:18.509,36.5708,3.00502,59.52381
2014-11-22 16:34:39.491,36.5708,2.941176,59.52381
2014-11-22 16:35:00.772,36.47122,2.941176,61.18227
2014-11-22 16:35:21.970,36.35241,3.082496,60.63033
2014-11-22 16:35:42.822,35.96845,3.077926,62.26562
2014-11-22 16:36:03.725,35.71429,2.777778,61.7284
2014-11-22 16:36:24.520,35.23268,2.788979,61.95375
2014-11-22 16:36:50.244,35.21127,2.777778,62.73479
2014-11-22 16:37:11.486,34.24658,2.777778,63.38714
2014-11-22 16:37:32.648,33.28444,2.62158,63.96018
2014-11-22 16:37:53.678,34.20405,2.533559,62.82733
2014-11-22 16:38:14.873,34.20405,2.533559,62.82733
2014-11-22 16:38:35.767,34.20405,2.775915,65.35948
2014-11-22 16:38:56.981,30.76923,2.631579,66.66667
2014-11-22 16:39:17.943,29.46215,2.894487,67.80009
2014-11-22 16:39:38.573,28.98551,2.631579,68.02721
2014-11-22 16:40:04.566,29.20551,2.918648,66.26824
2014-11-22 16:40:25.289,33.33333,2.784871,64.03785
2014-11-22 16:40:46.070,33.20427,2.773279,64.61827
2014-11-22 16:41:07.021,29.15738,2.835798,67.3933
2014-11-22 16:41:28.024,29.15738,2.514775,67.3933
2014-11-22 16:41:49.204,20.83333,2.173913,76.91043
2014-11-22 16:42:10.241,20,2.173913,77.49874
2014-11-22 16:42:31.242,20.01081,2.173913,77.6538
2014-11-22 16:43:01.193,19.86904,2.380438,77.55731
2014-11-22 16:43:22.310,20,2.380952,77.85398
2014-11-22 16:43:42.998,20.24761,2.380952,76.54858
2014-11-22 16:44:03.842,20.00065,2.25728,76.51008
2014-11-22 16:44:24.615,20.00065,2.18799,76.51008
2014-11-22 16:44:45.344,20.00065,1.985465,84.03361
2014-11-22 16:45:06.823,20.00065,1.818182,86.2069
2014-11-22 16:45:27.968,11.62791,1.645689,87.52197
2014-11-22 16:45:49.083,12.41079,1.663724,87.47798
2014-11-22 16:46:10.027,10.87931,1.428571,87.67075
2014-11-22 16:46:31.059,11.48054,1.642639,87.13125
2014-11-22 16:46:52.015,11.30532,1.642639,87.01343
2014-11-22 16:47:13.049,11.06334,1.815401,87.6544
2014-11-22 16:47:34.206,11.75166,2.120911,83.66535
2014-11-22 16:48:00.114,11.75166,2.632225,76.32741
2014-11-22 16:48:21.401,21.12274,2.380952,77.52585
2014-11-22 16:48:42.200,20.94583,2.631579,77.16359
2014-11-22 16:49:03.008,21.08672,2.518244,76.90415
2014-11-22 16:49:28.817,21.05337,2.5,76.93859
2014-11-22 16:49:50.165,21.42727,2.475145,75.74911
2014-11-22 16:50:11.055,21.74787,2.404619,75.81376
2014-11-22 16:50:31.868,21.38662,2.607995,75.71946
2014-11-22 16:50:52.827,23.38218,2.777778,72.53474
2014-11-22 16:51:13.792,25.94442,3.016282,70.62297
2014-11-22 16:51:34.711,25.94442,3.125,70.8932
2014-11-22 16:51:55.425,27.65669,3.092853,69.26941
2014-11-22 16:52:16.349,30.31746,3.130475,66.18151
2014-11-22 16:52:37.219,32.27087,3.438694,64.65519
2014-11-22 16:52:58.219,34.36207,2.71893,62.91256
2014-11-22 16:53:19.327,34.26728,2.795451,62.95196
2014-11-22 16:53:40.075,33.59927,2.980337,63.35738
2014-11-22 16:54:00.943,33.59927,3.125,69.15643
2014-11-22 16:54:21.735,29.45498,2.65886,68.67253
2014-11-22 16:54:42.645,32.08494,3.105267,65.91788
2014-11-22 16:55:03.545,35.20747,3.125,62.54205
2014-11-22 16:55:24.391,35.06202,3.518083,65.02896
2014-11-22 16:55:45.355,35.0668,3.314808,62.77371
2014-11-22 16:56:06.162,33.33333,2.868687,66.30663
2014-11-22 16:56:27.785,33.22915,2.694734,64.81504
2014-11-22 16:56:48.847,32.20791,2.827217,64.95022
2014-11-22 16:57:10.001,31.56394,2.941176,65.41155
2014-11-22 16:57:31.001,31.39768,2.963649,65.35948
2014-11-22 16:57:51.845,31.25494,3.244436,65.411
2014-11-22 16:58:12.836,30.65883,3.328366,65.75625
2014-11-22 16:58:38.740,31.629,3.277233,65.08452
2014-11-22 16:58:59.608,31.74603,3.448276,64.93506
2014-11-22 16:59:20.569,26.79285,3.056267,67.70264
2014-11-22 16:59:41.308,24.30723,2.530161,70.38866
2014-11-22 17:00:02.158,28.64275,2.631579,70.1609
2014-11-22 17:00:23.069,27.97847,2.777778,70.19749
2014-11-22 17:00:44.082,31.49711,3.045829,66.28067
2014-11-22 17:01:05.034,31.53973,3.107298,65.96034
2014-11-22 17:01:27.377,31.29909,3.328047,66.41361
2014-11-22 17:01:48.533,31.23403,2.941176,66.4937
2014-11-22 17:02:09.164,30.35641,3.236998,66.33928
2014-11-22 17:02:29.828,31.10561,3.333333,66.067
2014-11-22 17:02:51.232,31.14935,3.142,64.90349
2014-11-22 17:03:17.477,32.22764,3.286875,64.22234
2014-11-22 17:03:38.625,37.09226,3.674528,57.45546
2014-11-22 17:03:59.382,47.07626,3.674528,50
2014-11-22 17:04:20.369,46.83443,3.468493,50
2014-11-22 17:04:40.913,47.17808,3.491894,49.74787
2014-11-22 17:05:01.785,47.09368,3.966823,49.20182
2014-11-22 17:05:22.733,47.00545,3.828526,49.32372
2014-11-22 17:05:43.421,43.86619,4.071297,53.04888
2014-11-22 17:06:04.697,42.91678,4.416676,52.6544
2014-11-22 17:06:25.386,42.46211,4.397614,53.00549
2014-11-22 17:06:46.316,42.82359,4.665171,52.85366
2014-11-22 17:07:07.065,42.90545,4.944857,51.9459
2014-11-22 17:07:28.108,42.86481,5.472321,51.7256
2014-11-22 17:07:49.470,43.39737,5.351899,51.14339
2014-11-22 17:08:11.136,43.41749,5.386281,50.95208
2014-11-22 17:08:31.879,45.96293,5.430841,50.39269
2014-11-22 17:08:52.530,50.25126,5.524414,44.24779
2014-11-22 17:09:13.142,52.46165,5.318367,43.47555
2014-11-22 17:09:33.764,52.07723,5.817663,42.3511
2014-11-22 17:09:55.551,52.26493,5.817663,41.66667
2014-11-22 17:10:16.111,52.26297,6.124853,41.68437
2014-11-22 17:10:36.763,51.96873,6.570031,41.66439
2014-11-22 17:10:57.293,52.1326,6.38153,41.76261
2014-11-22 17:11:17.912,52.36209,6.444527,41.44608
