date,Australia,Draw,Ireland
2014-11-22 16:30:42.580,586.6376,70.57813,643.7093
2014-11-22 16:31:03.857,1352.629,103.634,1239.66
2014-11-22 16:31:25.026,580.2092,75.93085,6386.722
2014-11-22 16:31:45.976,2996.357,272.219,15102.24
2014-11-22 16:32:06.966,1197.045,96.1638,3053.343
2014-11-22 16:32:27.767,558.2012,0,380.7491
2014-11-22 16:32:54.205,173.4312,35.47148,1746.409
2014-11-22 16:33:15.603,1601.652,135.2047,7517.573
2014-11-22 16:33:36.641,65.33968,5.162149,2208.943
2014-11-22 16:33:57.612,1951.39,147.4307,11319.98
2014-11-22 16:34:18.509,751.1299,63.59911,2612.416
2014-11-22 16:34:39.491,634.5545,52.24566,6949.33
2014-11-22 16:35:00.772,325.375,16.66204,1791.494
2014-11-22 16:35:21.970,587.501,25.53121,1189.834
2014-11-22 16:35:42.822,1612.329,252.7276,3076.037
2014-11-22 16:36:03.725,188.4408,14.06489,1172.639
2014-11-22 16:36:24.520,1484.614,126.115,7884.741
2014-11-22 16:36:50.244,73.79866,5.877769,2222.263
2014-11-22 16:37:11.486,646.1033,572.2677,4881.647
2014-11-22 16:37:32.648,337.2844,93.50738,7906.818
2014-11-22 16:37:53.678,154.7488,11.95423,17308.73
2014-11-22 16:38:14.873,0,0,1132.368
2014-11-22 16:38:35.767,71.79145,508.6855,1390.859
2014-11-22 16:38:56.981,297.4228,25.59601,13514.47
2014-11-22 16:39:17.943,240.0282,17.4311,4010.783
2014-11-22 16:39:38.573,90.24676,7.241844,517.3992
2014-11-22 16:40:04.566,439.4407,130.3525,5298.334
2014-11-22 16:40:25.289,387.4237,57.47224,928.0101
2014-11-22 16:40:46.070,1443.417,117.6574,11154.18
2014-11-22 16:41:07.021,965.2732,95.33597,4405.559
2014-11-22 16:41:28.024,77.61565,52.27701,995.4629
2014-11-22 16:41:49.204,550.9871,8.074004,7946.407
2014-11-22 16:42:10.241,486.6266,50.22561,15219.96
2014-11-22 16:42:31.242,366.3769,38.36901,4509.23
2014-11-22 16:43:01.193,722.9102,97.6007,20187.98
2014-11-22 16:43:22.310,298.5335,19.20707,2084.45
2014-11-22 16:43:42.998,514.3533,30.74229,7463.503
2014-11-22 16:44:03.842,298.9897,249.5083,23098.98
2014-11-22 16:44:24.615,0,124.8331,0
2014-11-22 16:44:45.344,111.9632,30.97224,1883.952
2014-11-22 16:45:06.823,193.2741,39.05148,9076.397
2014-11-22 16:45:27.968,151.0433,32.09281,16593.77
2014-11-22 16:45:49.083,379.5397,66.94583,4547.372
2014-11-22 16:46:10.027,492.2982,36.09728,12291.67
2014-11-22 16:46:31.059,221.5153,49.89442,4133.221
2014-11-22 16:46:52.015,1165.903,0,7614.018
2014-11-22 16:47:13.049,1143.036,106.6559,17469.75
2014-11-22 16:47:34.206,785.0528,141.6515,16150
2014-11-22 16:48:00.114,26.58701,9.935391,7559.073
2014-11-22 16:48:21.401,125.1438,64.43216,1309.557
2014-11-22 16:48:42.200,407.3376,63.4662,7807.958
2014-11-22 16:49:03.008,203.7127,26.26784,1802.274
2014-11-22 16:49:28.817,535.4744,21.76026,4197.731
2014-11-22 16:49:50.165,619.4992,40.30314,1298.722
2014-11-22 16:50:11.055,514.2834,18.89861,1925.647
2014-11-22 16:50:31.868,712.2226,51.3446,1422.917
2014-11-22 16:50:52.827,909.8737,244.2437,9439.51
2014-11-22 16:51:13.792,898.3884,99.25173,13272.29
2014-11-22 16:51:34.711,168.7681,11.18619,8428.339
2014-11-22 16:51:55.425,155.5146,13.23714,1887.378
2014-11-22 16:52:16.349,1298.332,128.0926,8352.256
2014-11-22 16:52:37.219,238.3605,150.1289,3497.267
2014-11-22 16:52:58.219,1924.009,149.827,8842.793
2014-11-22 16:53:19.327,1933.178,11.74,5440.255
2014-11-22 16:53:40.075,586.7785,75.47641,2835.426
2014-11-22 16:54:00.943,0,17.25116,1660.856
2014-11-22 16:54:21.735,312.9884,15.98705,2277.434
2014-11-22 16:54:42.645,428.9766,47.97651,1039.099
2014-11-22 16:55:03.545,78.74519,25.34889,23868.41
2014-11-22 16:55:24.391,4382.945,58.57435,1161.413
2014-11-22 16:55:45.355,1161.468,124.953,2234.072
2014-11-22 16:56:06.162,63.03868,524.9571,2243.006
2014-11-22 16:56:27.785,3113.287,32.71419,7468.964
2014-11-22 16:56:48.847,1111.741,10.2269,362.3855
2014-11-22 16:57:10.001,1910.024,154.9826,4642.046
2014-11-22 16:57:31.001,1727.406,14.62838,7305.962
2014-11-22 16:57:51.845,899.6394,68.56753,10150.93
2014-11-22 16:58:12.836,855.1958,38.30088,3845.694
2014-11-22 16:58:38.740,2184.357,104.2806,4838.904
2014-11-22 16:58:59.608,53.76481,23.00099,9121.444
2014-11-22 16:59:20.569,920.8164,125.6895,2214.15
2014-11-22 16:59:41.308,251.6805,26.2125,4572.779
2014-11-22 17:00:02.158,156.8341,10.33091,6188.732
2014-11-22 17:00:23.069,44.44501,3.270969,12136.27
2014-11-22 17:00:44.082,2035.911,21.55839,29735.61
2014-11-22 17:01:05.034,521.1818,53.72182,8757.115
2014-11-22 17:01:27.377,295.6053,41.13984,4723.267
2014-11-22 17:01:48.533,1240.752,90.75629,7738.42
2014-11-22 17:02:09.164,1059.425,52.63973,645.2584
2014-11-22 17:02:29.828,151.6854,3.658568,1564.967
2014-11-22 17:02:51.232,352.4425,28.17186,305.6857
2014-11-22 17:03:17.477,737.8452,224.497,3195.63
2014-11-22 17:03:38.625,1535.166,106.9311,1736.63
2014-11-22 17:03:59.382,664.54,0,418.2246
2014-11-22 17:04:20.369,2552.706,128.8775,12224.23
2014-11-22 17:04:40.913,1861.194,30.63682,13010.1
2014-11-22 17:05:01.785,3908.225,180.2456,8703.017
2014-11-22 17:05:22.733,1590.712,176.8094,5569.625
2014-11-22 17:05:43.421,1065.141,414.4617,2003.836
2014-11-22 17:06:04.697,2325.237,318.4672,1179.482
2014-11-22 17:06:25.386,1265.3,315.1795,3276.15
2014-11-22 17:06:46.316,3138.134,609.3885,1776.822
2014-11-22 17:07:07.065,4087.719,320.8639,4769.439
2014-11-22 17:07:28.108,941.7501,39.71837,6447.776
2014-11-22 17:07:49.470,773.2136,91.115,5123.337
2014-11-22 17:08:11.136,6371.387,245.5891,4930.199
2014-11-22 17:08:31.879,2756.629,104.8527,2729.931
2014-11-22 17:08:52.530,20189.65,75.30828,1480.889
2014-11-22 17:09:13.142,5519.504,200.1318,5951.76
2014-11-22 17:09:33.764,9900.355,377.0901,5027.772
2014-11-22 17:09:55.551,2295.872,78.32282,2780.901
