date,Draw,France,Ireland
2015-02-14 16:50:16.677,0.0006972264,0.006073896,0.0469104
2015-02-14 16:50:32.649,16.67936,3841.662,5497.089
2015-02-14 16:50:48.489,314.2715,2525.346,3503.008
2015-02-14 16:51:04.733,29.99307,424.8526,7485.34
2015-02-14 16:51:20.645,275.8684,1863.733,24147.24
2015-02-14 16:51:36.487,39.23658,670.3547,2873.284
2015-02-14 16:51:52.666,83.03712,3396.14,1774.599
2015-02-14 16:52:08.560,200.8238,176.6645,43177.15
2015-02-14 16:52:28.409,113.9892,796.5639,2718.873
2015-02-14 16:52:44.349,15.05659,564.6221,6853.157
2015-02-14 16:53:00.078,0,644.6075,2176.895
2015-02-14 16:53:15.884,201.6883,2100.019,8731.4
2015-02-14 16:53:31.761,123.0413,1453.331,2393.637
2015-02-14 16:53:47.465,34.38617,1695.353,822.7846
2015-02-14 16:54:03.223,60.92073,366.9332,5446.237
2015-02-14 16:54:19.032,358.0467,1272.406,3147.691
2015-02-14 16:54:35.384,58.70925,669.9826,3228.972
2015-02-14 16:54:51.228,161.813,3079.369,3697.235
2015-02-14 16:55:07.014,198.3365,1376.648,9146.397
2015-02-14 16:55:22.912,111.4872,4197.679,1481.565
2015-02-14 16:55:38.625,36.27551,737.1183,6726.93
2015-02-14 16:55:54.389,83.50702,1477.282,6078.694
2015-02-14 16:56:11.462,302.7776,4313.421,10454.75
2015-02-14 16:56:27.572,394.4189,3261.387,3179.225
2015-02-14 16:56:43.397,30.33136,3865.656,6883.854
2015-02-14 16:56:59.200,189.8395,4828.225,20498.14
2015-02-14 16:57:15.169,115.4259,616.2061,8126.406
2015-02-14 16:57:35.410,63.13879,4309.919,9814.11
2015-02-14 16:57:55.976,4.317837,2222.344,0
2015-02-14 16:58:11.781,0,739.5032,2006.225
2015-02-14 16:58:27.868,0,217.2895,11894.01
2015-02-14 16:58:43.598,619.9093,1333.804,38.14357
2015-02-14 16:58:59.349,53.33271,3929.973,4146.618
2015-02-14 16:59:15.320,130.4746,1323.868,8863.442
2015-02-14 16:59:31.543,241.2821,1408.933,3160.448
2015-02-14 16:59:47.279,38.12847,8000.497,3099.006
2015-02-14 17:00:03.045,1614.604,10022.06,36199.64
2015-02-14 17:00:18.951,211.9692,3493.059,27878.31
2015-02-14 17:00:34.734,98.07557,875.3435,18438.25
2015-02-14 17:00:50.851,26.17218,946.4426,43519.83
2015-02-14 17:01:06.667,270.3271,1729.585,69254.41
2015-02-14 17:01:22.493,1887.63,888.747,8305.929
2015-02-14 17:01:38.407,179.1273,1024.657,21510.17
2015-02-14 17:01:54.316,28.13407,584.5173,2328.49
2015-02-14 17:02:09.992,125.2367,717.7761,2412.949
2015-02-14 17:02:25.922,65.04918,341.7436,4195.917
2015-02-14 17:02:42.720,267.5242,2100.511,28007.89
2015-02-14 17:02:58.472,84.14417,144.7478,3080.88
2015-02-14 17:03:14.300,53.03255,124.7156,3224.713
2015-02-14 17:03:30.217,93.89972,739.5875,13325.73
2015-02-14 17:03:46.273,75.14841,1350.093,2346.304
2015-02-14 17:04:02.132,87.28226,743.9612,2836.049
2015-02-14 17:04:17.803,65.39355,2.71835,16115.49
2015-02-14 17:04:33.617,46.81848,2271.114,3427.424
2015-02-14 17:04:49.640,21.79407,455.204,4961.596
2015-02-14 17:05:05.377,292.8537,2717.923,24044.35
2015-02-14 17:05:21.492,69.66344,1315.637,8492.87
2015-02-14 17:05:37.282,5.737734,49.5877,4393.622
2015-02-14 17:05:53.134,227.9991,201.1267,3027.157
2015-02-14 17:06:08.986,86.3027,460.6596,9759.851
2015-02-14 17:06:24.829,4.544357,60.59143,1705.649
2015-02-14 17:06:40.991,113.753,1298.247,5505.697
2015-02-14 17:06:56.937,12.6804,951.9705,1780.712
2015-02-14 17:07:12.591,7.589131,94.13588,0
2015-02-14 17:07:28.413,16.04009,22.75191,366.9503
2015-02-14 17:07:48.681,39.49256,242.4618,1010.642
2015-02-14 17:08:04.427,5.106006,53.34634,366.0321
2015-02-14 17:08:20.288,178.1369,1560.637,7402.914
2015-02-14 17:08:36.114,134.1658,151.1119,33384.88
2015-02-14 17:08:52.124,44.03467,131.1671,2126.256
2015-02-14 17:09:07.786,76.8481,521.0041,3437.401
2015-02-14 17:09:23.730,431.0804,2413.223,9914.662
2015-02-14 17:09:43.521,206.8516,1698.469,6171.41
2015-02-14 17:09:59.198,62.80725,275.5711,1596.781
2015-02-14 17:10:15.008,5.199109,64.0591,194.5681
2015-02-14 17:10:30.802,67.7333,529.7481,1188.847
2015-02-14 17:10:46.558,15.23224,457.0051,1614.617
2015-02-14 17:11:02.193,48.35412,1731.692,4960.058
2015-02-14 17:11:19.322,51.84305,581.2026,1424.143
2015-02-14 17:11:34.940,122.0501,191.4308,4748.392
2015-02-14 17:11:50.557,184.8021,1405.802,7950.716
2015-02-14 17:12:06.259,13.75542,789.5227,321.4182
2015-02-14 17:12:22.102,86.61524,647.626,459.0949
2015-02-14 17:12:37.817,102.3215,225.2982,245.1899
2015-02-14 17:12:56.384,306.2621,1055.872,640.7363
2015-02-14 17:13:12.234,256.7699,864.0385,6045.468
2015-02-14 17:13:27.957,65.78779,364.0461,17152.75
2015-02-14 17:13:44.246,117.6112,301.1922,5785.013
2015-02-14 17:13:59.960,430.4438,2908.102,10213.77
2015-02-14 17:14:15.994,169.0667,471.5007,5072.936
2015-02-14 17:14:31.739,3.925,25.53156,2283.741
2015-02-14 17:14:47.351,85.85815,7.686496,8052.027
2015-02-14 17:15:03.031,100.1353,4.553343,7482.138
2015-02-14 17:15:18.751,325.2053,284.4402,17113.51
2015-02-14 17:15:34.413,11.68429,88.34088,15473.48
2015-02-14 17:15:50.246,136.0047,196.447,4662.887
2015-02-14 17:16:06.225,37.54942,0,5998.294
2015-02-14 17:16:22.804,17.73351,719.7633,11358.17
2015-02-14 17:16:38.579,99.80426,342.8489,8364.236
2015-02-14 17:16:54.537,122.0782,530.121,1617.395
2015-02-14 17:17:10.246,19.93788,1041.964,831.5089
2015-02-14 17:17:26.598,40.94981,684.2947,3137.173
2015-02-14 17:17:42.429,154.591,1393.82,4536.88
2015-02-14 17:18:03.227,364.0224,542.2832,986.1032
2015-02-14 17:18:18.921,413.8001,154.2957,1429.224
2015-02-14 17:18:34.533,708.3697,956.4586,1270.999
2015-02-14 17:18:50.541,172.2947,172.4071,2053.744
2015-02-14 17:19:06.164,329.0184,300.56,10004.24
2015-02-14 17:19:21.923,215.2358,412.5765,1276.68
2015-02-14 17:19:37.821,187.7166,833.7049,5323.997
2015-02-14 17:19:54.117,686.9009,5117.846,22569.16
2015-02-14 17:20:09.755,101.7538,2840.588,1838.858
2015-02-14 17:20:25.347,437.7123,451.4112,3377.907
2015-02-14 17:20:40.965,75.06889,297.6631,1339.599
2015-02-14 17:20:56.959,82.18999,131.4065,9412.874
2015-02-14 17:21:12.586,90.92219,15.35848,221.6228
2015-02-14 17:21:28.425,217.1665,1139.471,26163.96
2015-02-14 17:21:44.253,0,15.16374,15607.36
2015-02-14 17:21:59.962,287.7172,2000.462,15003.92
2015-02-14 17:22:15.752,776.2449,1654.512,24640.62
2015-02-14 17:22:31.376,32.02754,264.6304,5977.937
2015-02-14 17:22:47.180,6.302532,64.01246,4400.724
2015-02-14 17:23:07.283,93.41762,341.5862,6298.556
2015-02-14 17:23:23.006,113.2199,39.38082,10906.54
2015-02-14 17:23:38.852,113.9336,61.60516,271.4868
2015-02-14 17:23:55.291,99.89941,281.6674,9211.952
2015-02-14 17:24:11.061,29.90539,99.64659,6573.06
2015-02-14 17:24:27.393,0.9919098,6.024934,4448.017
2015-02-14 17:24:43.173,277.1113,73.11813,16001.35
2015-02-14 17:24:58.924,86.43091,324.6968,13503.53
2015-02-14 17:25:14.783,32.27131,57.65706,10583.4
2015-02-14 17:25:30.539,15.49889,141.6606,1961.695
2015-02-14 17:25:46.136,59.16778,436.2951,5443.821
2015-02-14 17:26:01.746,0,163.5102,739.8316
2015-02-14 17:26:17.312,170.4865,1018.062,28148.08
2015-02-14 17:26:32.951,234.7185,1489.991,12615.95
2015-02-14 17:26:48.911,93.04375,819.161,8357.171
2015-02-14 17:27:04.905,85.87155,202.2802,30103.36
2015-02-14 17:27:20.612,2.55927,639.1298,388.8944
2015-02-14 17:27:36.358,175.1738,84.55749,12336.51
2015-02-14 17:27:52.015,64.15143,385.0619,6365.669
2015-02-14 17:28:10.680,354.985,218.5586,2349.915
2015-02-14 17:28:26.368,63.06692,596.6689,2037.532
2015-02-14 17:28:42.165,114.5916,470.103,12038.84
2015-02-14 17:28:58.606,123.9324,306.0357,1955.184
2015-02-14 17:29:14.395,0,0,1127.028
2015-02-14 17:29:30.625,29.72186,216.1859,911.6182
