date,LA Lakers,Minnesota
2014-12-15 00:01:03.096,-1.457979,-15.80449
2014-12-15 00:01:23.667,73.41399,104.0688
2014-12-15 00:01:44.332,0,0
2014-12-15 00:02:05.098,0,0
2014-12-15 00:02:25.753,0,0
2014-12-15 00:02:46.287,0,0
2014-12-15 00:03:06.848,102.8954,0.7879114
2014-12-15 00:03:27.471,116.3706,0
2014-12-15 00:03:48.070,608.2989,0
2014-12-15 00:04:08.887,9.136749,0
2014-12-15 00:04:29.589,11.56452,0
2014-12-15 00:04:51.947,153.154,0
2014-12-15 00:05:12.894,1011.67,0
2014-12-15 00:05:33.451,11.64546,0
2014-12-15 00:05:54.289,18.31285,0
2014-12-15 00:06:15.069,9.153353,0
2014-12-15 00:06:35.642,0,0
2014-12-15 00:06:56.327,3028.009,125.2509
2014-12-15 00:07:17.412,691.9255,0
2014-12-15 00:07:37.932,0,0
2014-12-15 00:08:12.430,842.5996,9.635275
2014-12-15 00:08:33.067,2327.941,0
2014-12-15 00:08:53.626,0,0
2014-12-15 00:09:14.849,88.26194,56.54192
2014-12-15 00:09:35.442,103.0274,0
2014-12-15 00:09:57.099,8.782405,0
2014-12-15 00:10:17.723,1296.328,0
2014-12-15 00:10:38.399,91.99021,0
2014-12-15 00:10:59.119,9.150322,0
2014-12-15 00:11:19.695,152.6303,894.9604
2014-12-15 00:11:40.383,1741.158,0
2014-12-15 00:12:00.842,0,0
2014-12-15 00:12:21.467,2082.077,472.9111
2014-12-15 00:12:42.330,290.5767,47.88304
2014-12-15 00:13:02.878,918.0341,144.9174
2014-12-15 00:13:23.808,1817.861,0
2014-12-15 00:13:44.402,0,0
2014-12-15 00:14:05.292,0,0
2014-12-15 00:14:26.374,599.2443,0
2014-12-15 00:14:46.856,8160.5,4.628525
2014-12-15 00:15:07.730,6802.159,32.39356
2014-12-15 00:15:29.436,1404.334,0
2014-12-15 00:15:55.057,3038.657,18.5471
2014-12-15 00:16:15.660,1371.73,0
2014-12-15 00:16:36.380,36.74788,0
2014-12-15 00:16:56.890,703.9347,0
2014-12-15 00:17:17.620,1053.735,0
2014-12-15 00:17:38.583,2282.273,0
2014-12-15 00:17:59.148,13.80011,0
2014-12-15 00:18:20.692,2207.486,0
2014-12-15 00:18:41.371,0,0
2014-12-15 00:19:02.288,31.92687,0
2014-12-15 00:19:22.929,0,0
2014-12-15 00:19:43.467,1551.339,0
2014-12-15 00:20:04.438,18.16805,5.979722
2014-12-15 00:20:25.071,165.9586,0
2014-12-15 00:20:45.747,0,0
2014-12-15 00:21:06.336,437.0523,17.0193
2014-12-15 00:21:26.968,580.8849,0
2014-12-15 00:21:47.576,143.0706,0
2014-12-15 00:22:08.094,472.8602,0
2014-12-15 00:22:28.889,2307.506,0
2014-12-15 00:22:49.746,1292.894,0
2014-12-15 00:23:10.486,705.1171,0
2014-12-15 00:23:31.593,117.6898,99.09823
2014-12-15 00:23:52.117,301.55,215.514
2014-12-15 00:24:12.917,168.894,57.69223
2014-12-15 00:24:33.543,544.5673,233.5813
2014-12-15 00:24:54.278,625.2898,532.3745
2014-12-15 00:25:15.141,0,0
2014-12-15 00:25:36.528,2028.145,8.780943
2014-12-15 00:25:57.629,3753.39,1448.649
2014-12-15 00:26:18.716,57.30375,6.714839
2014-12-15 00:26:39.992,786.7361,1793.162
2014-12-15 00:27:00.503,105.8083,71.87475
2014-12-15 00:27:21.217,0,0
2014-12-15 00:27:41.824,277.6542,0
2014-12-15 00:28:02.555,37.22031,3.386296
2014-12-15 00:28:48.392,94.73131,0
2014-12-15 00:29:08.908,115.8981,41.73267
2014-12-15 00:29:29.540,818.0618,72.35471
2014-12-15 00:29:50.303,1292.794,1258.464
2014-12-15 00:30:11.052,1387.377,297.9601
2014-12-15 00:30:31.712,148.9782,0
2014-12-15 00:30:52.287,93.23037,2.099652
2014-12-15 00:31:12.943,0,0
2014-12-15 00:31:33.459,0,0
2014-12-15 00:31:54.072,1529.538,5.297856
2014-12-15 00:32:14.676,9.230982,10.74521
2014-12-15 00:32:35.297,306.7708,0.08729133
2014-12-15 00:32:56.827,126.043,0
2014-12-15 00:33:17.629,571.5089,9.403043
2014-12-15 00:33:38.344,280.6095,0
2014-12-15 00:33:58.892,3066.9,1590.112
2014-12-15 00:34:19.586,552.1012,0
2014-12-15 00:34:40.379,342.8966,80.68154
2014-12-15 00:35:01.079,0,0
2014-12-15 00:35:22.005,161.797,0
2014-12-15 00:35:43.039,0,0
2014-12-15 00:36:03.728,36.36791,0
2014-12-15 00:36:24.342,606.8566,57.83329
2014-12-15 00:36:45.012,776.4912,376.112
2014-12-15 00:37:05.683,290.2598,0
2014-12-15 00:37:26.295,1713.617,531.4026
2014-12-15 00:37:46.958,348.4345,0
2014-12-15 00:38:07.563,742.5105,255.8804
2014-12-15 00:38:28.745,13.90752,0
2014-12-15 00:38:50.403,1761.661,0
2014-12-15 00:39:11.301,71.86298,28.71074
2014-12-15 00:39:31.909,1392.202,29.11521
2014-12-15 00:39:53.445,122.8103,0
2014-12-15 00:40:14.267,859.9839,0
2014-12-15 00:40:35.121,3252.258,0
2014-12-15 00:40:57.471,319.8035,0
2014-12-15 00:41:18.376,32.91991,0
2014-12-15 00:41:39.536,394.8292,28.55451
2014-12-15 00:42:00.204,0.9289652,0
2014-12-15 00:42:24.859,19.2982,0
2014-12-15 00:42:45.729,302.5362,0
2014-12-15 00:43:06.312,917.2509,0
2014-12-15 00:43:27.009,72.12683,4.580402
2014-12-15 00:43:47.674,1870.252,9.581507
2014-12-15 00:44:08.356,74.70112,29.88045
2014-12-15 00:44:29.204,9.123564,0
2014-12-15 00:44:49.719,3699.149,1303.648
2014-12-15 00:45:10.566,656.9158,0
2014-12-15 00:45:31.287,6344.852,0
2014-12-15 00:45:51.932,0,0
2014-12-15 00:46:12.496,860.5279,0
2014-12-15 00:46:33.064,0,0
2014-12-15 00:46:53.677,13.8262,0
2014-12-15 00:47:14.319,235.8143,11.16143
2014-12-15 00:47:34.953,1242.019,27.62497
2014-12-15 00:47:56.756,232.9732,0
2014-12-15 00:48:17.358,805.6012,0
2014-12-15 00:48:37.968,42.50274,0
2014-12-15 00:49:13.121,407.5885,2.08232
2014-12-15 00:49:33.901,21308.13,745.1001
2014-12-15 00:49:54.452,1.226247,0.4671417
2014-12-15 00:50:15.366,4.5328,1.663939
2014-12-15 00:50:35.893,4.76452,1.753811
2014-12-15 00:50:57.768,2187.775,782.9625
2014-12-15 00:51:18.336,0,0
2014-12-15 00:51:38.923,13.84413,0
2014-12-15 00:51:59.530,815.666,0
2014-12-15 00:52:20.118,21.94504,14.97975
2014-12-15 00:52:40.720,38.96797,0
2014-12-15 00:53:01.492,4387.081,3.581644
2014-12-15 00:53:22.252,0,0
2014-12-15 00:53:42.911,0,0
2014-12-15 00:54:03.603,0,0
2014-12-15 00:54:24.084,342.5236,6.913751
2014-12-15 00:54:45.156,541.5047,0
2014-12-15 00:55:05.921,1131.053,0
2014-12-15 00:55:26.820,946.8924,45.47564
2014-12-15 00:55:47.642,59.10146,19.01851
2014-12-15 00:56:09.440,576.5742,0
2014-12-15 00:56:30.194,751.8287,0
2014-12-15 00:56:50.823,136.2046,0
2014-12-15 00:57:11.962,2320.173,19.84048
2014-12-15 00:57:32.588,36.85585,0
2014-12-15 00:57:53.229,5297.327,1915.606
2014-12-15 00:58:14.248,106.9033,0
2014-12-15 00:58:35.341,522.9399,0
2014-12-15 00:58:56.638,3750.344,278.1747
2014-12-15 00:59:22.825,648.0313,60.23669
2014-12-15 00:59:43.859,173.4301,0
2014-12-15 01:00:04.695,91.28479,0
2014-12-15 01:00:25.694,9.057752,0
2014-12-15 01:00:46.597,-13.1176,-6.31482
2014-12-15 01:01:07.459,45.58473,0
2014-12-15 01:01:28.165,325.5615,0
2014-12-15 01:01:48.744,44.95854,0
2014-12-15 01:02:09.321,0,0
2014-12-15 01:02:29.977,817.4549,3.224273
2014-12-15 01:02:50.687,0,44.03725
2014-12-15 01:03:11.354,11079.15,0
2014-12-15 01:03:31.947,9.207186,0
2014-12-15 01:03:52.479,0,0
2014-12-15 01:04:13.139,0,0
2014-12-15 01:04:33.801,17.74298,0
2014-12-15 01:04:54.352,0,113.5712
2014-12-15 01:05:15.168,0,0
2014-12-15 01:05:36.153,11.69406,0
2014-12-15 01:05:57.740,0,0
2014-12-15 01:06:18.710,858.3914,0
2014-12-15 01:06:39.335,13.84694,0
2014-12-15 01:06:59.923,0.0291431,0
2014-12-15 01:07:20.961,939.9898,0
2014-12-15 01:07:41.469,169.1035,0
2014-12-15 01:08:02.120,701.2786,0
2014-12-15 01:08:23.485,845.5248,0
2014-12-15 01:08:44.135,986.0501,0
2014-12-15 01:09:04.707,23.24468,4.63727
2014-12-15 01:09:39.812,120.6504,0
2014-12-15 01:10:00.306,0,0
2014-12-15 01:10:20.878,3800.347,40.80342
2014-12-15 01:10:41.647,19.35545,0
2014-12-15 01:11:02.265,0,0
2014-12-15 01:11:22.880,0,0
2014-12-15 01:11:43.635,193.4262,0
2014-12-15 01:12:04.325,0,0
2014-12-15 01:12:25.629,873.5234,14.08227
2014-12-15 01:12:46.272,0,0
2014-12-15 01:13:07.093,0,0
2014-12-15 01:13:28.037,68.63847,20.19621
2014-12-15 01:13:48.696,14.37651,0
2014-12-15 01:14:09.340,0,0
2014-12-15 01:14:30.496,8.990097,0
2014-12-15 01:14:51.853,46.2995,0
2014-12-15 01:15:13.008,35.45314,0
2014-12-15 01:15:33.454,24.62065,0
2014-12-15 01:15:54.228,9.155497,0
2014-12-15 01:16:15.158,0,0
2014-12-15 01:16:35.919,54.96753,0
2014-12-15 01:16:56.825,45.46103,0
2014-12-15 01:17:17.609,1612.453,8.660408
2014-12-15 01:17:38.250,34882.86,0
2014-12-15 01:17:58.893,6908.34,0
2014-12-15 01:18:19.489,99.59987,14.56564
2014-12-15 01:18:40.153,0,0
2014-12-15 01:19:00.681,69.47561,0
2014-12-15 01:19:21.369,36.77453,0
2014-12-15 01:19:44.450,4.107353,0
2014-12-15 01:20:05.322,0,0
2014-12-15 01:20:25.957,0,0
2014-12-15 01:20:46.839,1088.533,0
2014-12-15 01:21:07.628,6763.771,210.3352
2014-12-15 01:21:28.498,9119.907,0
2014-12-15 01:21:49.360,0,0
2014-12-15 01:22:15.182,0.5344295,0
2014-12-15 01:22:36.124,453.9896,0
2014-12-15 01:22:56.815,217.1711,365.0643
2014-12-15 01:23:17.300,14.84984,5.857927
2014-12-15 01:23:38.396,25.71092,4.493724
2014-12-15 01:23:59.177,603.309,0
2014-12-15 01:24:19.753,6154.29,0
2014-12-15 01:24:40.347,13480.9,0
2014-12-15 01:25:00.945,2293.972,0
2014-12-15 01:25:21.606,529.4461,25.32373
2014-12-15 01:25:42.397,3825.104,304.0726
2014-12-15 01:26:03.064,1631.254,0
2014-12-15 01:26:23.749,15.02524,0
2014-12-15 01:26:44.280,74.34539,0
2014-12-15 01:27:05.386,199.8523,0
2014-12-15 01:27:25.950,9671.801,0
2014-12-15 01:27:46.547,0,0
2014-12-15 01:28:07.100,4.641706,0
2014-12-15 01:28:27.690,1707.476,9.616301
2014-12-15 01:28:48.339,642.1899,0
2014-12-15 01:29:08.943,1564.175,12.1141
2014-12-15 01:29:29.999,5984.425,2.593103
2014-12-15 01:30:06.789,3022.513,14.12351
2014-12-15 01:30:27.270,311.4351,0
2014-12-15 01:30:47.931,196.3936,17.80116
2014-12-15 01:31:08.533,4837.922,21.40622
2014-12-15 01:31:29.165,3434.672,180.4171
