date,end,title,fill,description
2014-11-21 16:08:00.000,2014-11-21 16:08:00.000,match start,gray,
2014-11-21 16:24:00.000,2014-11-21 16:24:00.000,Break!,#667bbf,Forced error from Federer on 30-40; and Monfils secures the first break to lead 3-1
2014-11-21 16:33:00.000,2014-11-21 16:33:00.000,save,#667bbf,Monfils saves a couple of break points to lead 4-1
2014-11-21 16:40:00.000,2014-11-21 16:40:00.000,Break!,#667bbf,Gael breaks again; now serving for the set at 5-1
2014-11-21 16:43:00.000,2014-11-21 16:43:00.000,Monfilis 6-1,#667bbf,Killer set of tennis from Monfils, hitting 21 winners in 7 games
2014-11-21 16:56:00.000,2014-11-21 16:56:00.000,Break,#667bbf,Federer nets to be broken for the third time today. Monfils 2-1
2014-11-21 17:13:00.000,2014-11-21 17:13:00.000,save,#667bbf,Rog not getting into any of his return games as Monfils holds to lead 5-3
2014-11-21 17:19:00.000,2014-11-21 17:19:00.000,Monfilis 6-4,#667bbf,Monfils holds to take a two-set lead, still putting in work with that forehand
2014-11-21 17:41:00.000,2014-11-21 17:41:00.000,Break!,#667bbf,The ball is out from Federer and that may be the decisive break. Monfils 3-2
2014-11-21 17:54:00.000,2014-11-21 17:54:00.000,save,#667bbf,Monfils holds to lead 5-3; one game away from leveling the tie
2014-11-21 17:58:00.000,2014-11-21 17:58:00.000,Monfilis 6-3,gray,Monfils wins (6-1 6-4 6-3)
