date,Gael Monfils,Roger Federer
2014-11-21 16:00:11.590,161.5939,1655.383
2014-11-21 16:00:27.348,27.14776,1666.141
2014-11-21 16:00:43.259,-106.0405,-248.5089
2014-11-21 16:00:59.324,29595.62,28753.41
2014-11-21 16:01:15.382,5902.145,7004.386
2014-11-21 16:01:31.167,0,34708.46
2014-11-21 16:01:47.270,206.5299,1028.514
2014-11-21 16:02:03.104,1948.081,187.1501
2014-11-21 16:02:18.746,149.5966,2268.881
2014-11-21 16:02:34.635,7641.39,1034.606
2014-11-21 16:02:50.465,0,1947.159
2014-11-21 16:03:06.230,155.1615,8927.476
2014-11-21 16:03:21.987,282.2807,183.9604
2014-11-21 16:03:37.752,0,10898.83
2014-11-21 16:03:55.227,133.1815,856.049
2014-11-21 16:04:10.939,0,3558.616
2014-11-21 16:04:26.675,0,1993.537
2014-11-21 16:04:42.527,2319.78,5891.936
2014-11-21 16:04:58.197,695.3293,954.5079
2014-11-21 16:05:13.951,157.0614,5993.812
2014-11-21 16:05:29.532,5769.56,1467.036
2014-11-21 16:05:45.363,3217.524,8301.407
2014-11-21 16:06:00.935,121.5672,10289.21
2014-11-21 16:06:16.737,349.468,5063.109
2014-11-21 16:06:32.477,0,2217.603
2014-11-21 16:06:48.755,681.4657,6966.556
2014-11-21 16:07:04.380,3295.273,6754.552
2014-11-21 16:07:20.597,0,24900.24
2014-11-21 16:07:36.304,169.2966,21965.27
2014-11-21 16:07:51.993,1211.203,18454.53
2014-11-21 16:08:07.994,878.2705,3134.843
2014-11-21 16:08:24.088,0,2666.239
2014-11-21 16:08:39.901,209.6742,4180.432
2014-11-21 16:08:56.710,0,4154.811
2014-11-21 16:09:12.515,0,48.44082
2014-11-21 16:09:28.213,114.7396,434.191
2014-11-21 16:09:43.925,493.996,237.8712
2014-11-21 16:09:59.680,2785.821,32806.26
2014-11-21 16:10:20.609,1022.636,43237.15
2014-11-21 16:10:38.316,588.4909,23022.88
2014-11-21 16:10:53.940,115.2066,15162.5
2014-11-21 16:11:09.552,46.11922,5611.749
2014-11-21 16:11:25.423,1381.214,114904.1
2014-11-21 16:11:41.404,0,124606.6
2014-11-21 16:11:57.164,1.522893,36503.55
2014-11-21 16:12:12.706,474.5987,63295.5
2014-11-21 16:12:28.317,3432.965,34328.08
2014-11-21 16:12:43.903,2432.741,75731.34
2014-11-21 16:12:59.577,479.7651,61747.26
2014-11-21 16:13:15.316,15.09613,51813.39
2014-11-21 16:13:30.908,4315.877,95186.71
2014-11-21 16:13:47.248,748.5827,7838.564
2014-11-21 16:14:03.002,4522.375,26106.31
2014-11-21 16:14:18.733,462.6297,36427.26
2014-11-21 16:14:34.397,221.6281,32471
2014-11-21 16:14:50.293,172.5714,8233.413
2014-11-21 16:15:06.035,720.5602,78899.45
2014-11-21 16:15:21.777,415.2599,120136.9
2014-11-21 16:15:37.588,0,28455.26
2014-11-21 16:15:53.427,565.5185,17533.35
2014-11-21 16:16:09.169,1221.03,20670.5
2014-11-21 16:16:24.837,9.764539,26185.24
2014-11-21 16:16:40.594,2285.834,29579.78
2014-11-21 16:16:56.828,27.60838,11732.71
2014-11-21 16:17:12.592,65.31321,94497.37
2014-11-21 16:17:28.460,72.97678,10234.82
2014-11-21 16:17:44.141,0,46367.55
2014-11-21 16:17:59.860,1053.837,41044
2014-11-21 16:18:15.567,267.1307,40949.99
2014-11-21 16:18:31.321,1414.788,27901.8
2014-11-21 16:18:48.221,13972.8,65114.16
2014-11-21 16:19:03.951,4381.114,18546.96
2014-11-21 16:19:19.581,3249.425,20413.25
2014-11-21 16:19:35.344,605.6392,5180.002
2014-11-21 16:19:50.973,3466.374,32819.75
2014-11-21 16:20:07.252,1606.905,16308.17
2014-11-21 16:20:22.953,6394.38,8116.311
2014-11-21 16:20:38.532,393.2212,28903.18
2014-11-21 16:20:54.285,3358.083,30460.24
2014-11-21 16:21:09.901,1073.837,30911.82
2014-11-21 16:21:25.641,541.0441,24023.97
2014-11-21 16:21:41.330,448.862,9431.953
2014-11-21 16:21:57.117,3912.517,54360.86
2014-11-21 16:22:12.718,143.4175,28665.46
2014-11-21 16:22:28.468,6.057025,33647.08
2014-11-21 16:22:44.164,10.66551,8059.495
2014-11-21 16:22:59.769,2727.938,31827.42
2014-11-21 16:23:15.413,1704.119,28482.96
2014-11-21 16:23:31.346,1518.335,19824.25
2014-11-21 16:23:46.931,5991.344,42919.34
2014-11-21 16:24:04.011,11436.29,49582.18
2014-11-21 16:24:19.818,4606.558,38816.62
2014-11-21 16:24:35.729,31231.7,56776.12
2014-11-21 16:24:51.413,6589.639,21794.6
2014-11-21 16:25:07.133,1053.881,27473.61
2014-11-21 16:25:22.780,4408.152,45438.24
2014-11-21 16:25:39.303,2853.215,11284.27
2014-11-21 16:25:55.720,10688.48,5435.04
2014-11-21 16:26:11.334,6842.344,2183.715
2014-11-21 16:26:26.985,1140.965,25714.6
2014-11-21 16:26:43.161,929.9653,18156.1
2014-11-21 16:26:58.757,669.164,1847.645
2014-11-21 16:27:14.417,337.1526,28626.21
2014-11-21 16:27:30.629,3883.956,18201.73
2014-11-21 16:27:46.502,138.8739,11263.26
2014-11-21 16:28:02.105,1364.026,51990.69
2014-11-21 16:28:17.758,1317.239,4108.916
2014-11-21 16:28:33.378,942.4426,6717.713
2014-11-21 16:28:49.228,2879.058,22027.3
2014-11-21 16:29:06.134,1898.961,37186
2014-11-21 16:29:21.735,1070.34,141885.4
2014-11-21 16:29:37.373,20032.71,99545.98
2014-11-21 16:29:53.133,6900.181,18080.69
2014-11-21 16:30:08.790,2961.292,20277
2014-11-21 16:30:24.556,1397.835,26786.26
2014-11-21 16:30:40.370,-143.9466,40478.03
2014-11-21 16:31:08.236,3788.802,25998.82
2014-11-21 16:31:23.970,7683.17,70601.87
2014-11-21 16:31:39.513,40043.89,75816.43
2014-11-21 16:31:55.279,1266.463,21734.65
2014-11-21 16:32:10.937,313.2972,46103
2014-11-21 16:32:26.827,451.422,24670.14
2014-11-21 16:32:42.689,3490.294,42593.59
2014-11-21 16:32:58.488,15839.81,48752.63
2014-11-21 16:33:14.151,6388.485,23816.8
2014-11-21 16:33:29.909,4138.286,52689.98
2014-11-21 16:33:45.665,10329.33,75280.39
2014-11-21 16:34:01.338,3328.717,26140.9
2014-11-21 16:34:16.918,5611.064,34180.96
2014-11-21 16:34:32.883,4802.445,34693.17
2014-11-21 16:34:49.818,1343.199,17988.91
2014-11-21 16:35:05.683,530.7367,2355.414
2014-11-21 16:35:21.569,3531.671,27413.09
2014-11-21 16:35:37.222,9114.694,10835.63
2014-11-21 16:35:53.429,12015.25,59129.31
2014-11-21 16:36:10.478,6552.205,10942.31
2014-11-21 16:36:26.455,3604.93,12534.04
2014-11-21 16:36:42.341,3704.11,2885.54
2014-11-21 16:36:58.455,33901.22,37137.22
2014-11-21 16:37:14.719,9357.574,26971.64
2014-11-21 16:37:30.451,4720.449,10289.3
2014-11-21 16:37:46.262,1470.84,14409.64
2014-11-21 16:38:02.056,182.4236,27603.17
2014-11-21 16:38:17.945,3232.543,21469.83
2014-11-21 16:38:33.640,890.6192,4697.723
2014-11-21 16:38:49.480,34649.59,30194.08
2014-11-21 16:39:05.355,3962.623,11969.47
2014-11-21 16:39:21.274,14275.87,2381.912
2014-11-21 16:39:36.918,70587.68,3013.212
2014-11-21 16:39:53.203,19384.07,7101.257
2014-11-21 16:40:09.244,23375.55,6947.372
2014-11-21 16:40:24.974,120613.1,11820.65
2014-11-21 16:40:40.784,61756.29,1041.071
2014-11-21 16:40:56.526,35616.23,863.6053
2014-11-21 16:41:12.616,2231.171,540.5181
2014-11-21 16:41:28.536,10010.55,4621.209
2014-11-21 16:41:44.436,37543.45,601.6541
2014-11-21 16:42:00.148,64131.74,3882.658
2014-11-21 16:42:15.940,25487.88,1815.073
2014-11-21 16:42:31.687,184686.4,6835.163
2014-11-21 16:42:47.503,85775.9,12398.63
2014-11-21 16:43:03.139,49395.74,11428.67
2014-11-21 16:43:18.768,43678.98,3184.343
2014-11-21 16:43:34.714,10838.23,7021.933
2014-11-21 16:43:50.753,14142.89,2634.774
2014-11-21 16:44:06.416,18555.13,3676.961
2014-11-21 16:44:22.168,20224.66,2743.815
2014-11-21 16:44:37.875,9670.883,1892.316
2014-11-21 16:44:53.608,44448.43,4647.404
2014-11-21 16:45:09.461,79949.81,4467.637
2014-11-21 16:45:25.160,26648.87,11316.09
