date,end,title,fill,description
2015-01-17 15:01:00.000,2015-01-17 15:01:00.000,Kick-off,gray,The referee blows his whistle and we're off in Swansea
2015-01-17 15:02:00.000,2015-01-17 15:02:00.000,Goal!,#034694,A woeful error from Swansea at the back allows Oscar in and he makes no mistake with his finish
2015-01-17 15:21:00.000,2015-01-17 15:21:00.000,Goal!,#034694,Diego Costa doubles Chelsea's lead making the most of a lack of marking on the edge of the box before finishing with an emphatic shot
2015-01-17 15:35:00.000,2015-01-17 15:35:00.000,Goal!,#034694,Another error from Swansea at the back allows Costa in Federico Fernandez tapping the ball to the striker and its a simple finish for him
2015-01-17 15:37:00.000,2015-01-17 15:37:00.000,Goal!,#034694,Oscar scores Chelsea's fourth of the game finding the top corner with a beauty of a shot!
2015-01-17 15:48:00.000,2015-01-17 16:01:00.000,Half-time,gray,
2015-01-17 16:18:00.000,2015-01-17 16:18:00.000,Substitution,#010101,Jay Fulton replaces Oliveira
2015-01-17 16:26:00.000,2015-01-17 16:26:00.000,Substitution,#034694,Costa is replaced by Loic Remy
2015-01-17 16:27:00.000,2015-01-17 16:27:00.000,Substitution,#034694,Fabregas is replaced by Ramires
2015-01-17 16:27:00.000,2015-01-17 16:27:00.000,Substitution,#010101,Nathan Dyer is replaced by Modou Barrow
2015-01-17 16:28:00.000,2015-01-17 16:28:00.000,Substitution,#034694,Andre Schurrle comes on for Willian
2015-01-17 16:30:00.000,2015-01-17 16:30:00.000,Goal!,#034694,Schurlle wraps up a fine attacking move from the Blues with a sweeping finish
2015-01-17 16:48:00.000,2015-01-17 16:48:00.000,Full-time,gray,Swansea did not have a shot on target in the whole game.  They'll be glad of the final whistle.  Chelsea 5 - 0 Swansea
