date,Chelsea,Swansea,The Draw
2015-01-17 15:00:20.922,,,
2015-01-17 15:00:36.757,64.52181,13.51351,22.46001
2015-01-17 15:00:53.025,64.78034,13.51351,22.22222
2015-01-17 15:01:08.852,65.1897,13.51351,21.73212
2015-01-17 15:01:24.744,65.1897,13.51351,21.73212
2015-01-17 15:01:42.708,83.35642,13.51351,12.19512
2015-01-17 15:01:58.628,83.08866,4.641039,12.52622
2015-01-17 15:02:14.553,83.33292,4.41601,12.32945
2015-01-17 15:02:30.843,83.37965,4.454593,12.15905
2015-01-17 15:02:46.813,83.43103,4.491606,11.89014
2015-01-17 15:03:02.498,83.44334,4.173323,12.19283
2015-01-17 15:03:18.313,83.93928,4.117685,11.87092
2015-01-17 15:03:35.183,83.83991,4,11.90476
2015-01-17 15:03:51.299,83.72278,3.996617,12.18569
2015-01-17 15:04:07.294,84.00265,4.140442,12.03755
2015-01-17 15:04:23.463,84.17817,4.105206,11.96653
2015-01-17 15:04:39.948,84.31207,4.162367,11.88196
2015-01-17 15:04:55.886,84.07418,4.231651,11.68331
2015-01-17 15:05:11.913,84.06971,4.158603,11.73618
2015-01-17 15:05:28.152,84.14598,4.014302,11.782
2015-01-17 15:05:43.944,84.05744,4.053232,11.90077
2015-01-17 15:06:00.003,84.06132,4.00046,11.88687
2015-01-17 15:06:15.699,84.34888,4.134543,11.82644
2015-01-17 15:06:31.704,84.0629,4.119915,11.75821
2015-01-17 15:06:47.643,84.03361,4.166667,11.62791
2015-01-17 15:07:03.768,84.00943,4.111967,12.18467
2015-01-17 15:07:37.851,84.10086,4.145537,12.13406
2015-01-17 15:07:53.978,83.67052,4.243298,12.09579
2015-01-17 15:08:09.704,83.9158,4.300994,12.15126
2015-01-17 15:08:25.568,83.33411,4.492191,12.18235
2015-01-17 15:08:42.744,83.99407,4.364915,12.5
2015-01-17 15:08:58.524,83.25357,4.36149,12.64279
2015-01-17 15:09:14.484,83.18974,4.471761,12.78466
2015-01-17 15:09:31.080,82.6448,4.525011,12.82051
2015-01-17 15:09:46.848,82.61117,4.404786,12.6544
2015-01-17 15:10:02.687,82.18748,4.472393,13.51351
2015-01-17 15:10:18.443,82.34717,4.419142,13.48487
2015-01-17 15:10:35.203,82.22619,4.545455,13.51351
2015-01-17 15:10:50.853,82.21507,4.728645,13.17875
2015-01-17 15:11:07.178,82.09369,4.873009,13.35399
2015-01-17 15:11:23.458,81.99528,4.986414,13.51351
2015-01-17 15:11:46.054,82.15473,4.873298,13.55167
2015-01-17 15:12:02.065,81.92604,4.979427,13.55167
2015-01-17 15:12:18.050,81.81725,4.811389,13.63636
2015-01-17 15:12:34.235,81.60998,4.924959,13.55028
2015-01-17 15:12:51.302,81.37134,4.861693,13.51351
2015-01-17 15:13:07.377,81.69928,4.995144,13.15789
2015-01-17 15:13:23.391,81.87293,4.761905,13.88889
2015-01-17 15:13:39.440,81.78073,4.746912,13.51351
2015-01-17 15:13:55.819,81.90228,4.761905,13.51351
2015-01-17 15:14:11.966,81.56462,4.584766,13.51351
2015-01-17 15:14:28.114,81.75487,4.709778,13.51351
2015-01-17 15:14:44.145,81.4762,4.709778,13.51351
2015-01-17 15:15:00.014,81.96002,4.618519,13.16791
2015-01-17 15:15:16.300,81.37008,4.761905,13.51351
2015-01-17 15:15:32.830,81.84971,4.545455,13.64345
2015-01-17 15:15:49.443,81.61318,4.628026,13.88889
2015-01-17 15:16:05.335,81.44578,4.545455,13.88889
2015-01-17 15:16:21.216,81.95607,4.563336,13.88889
2015-01-17 15:16:36.959,81.81187,4.55312,13.52361
2015-01-17 15:16:55.736,81.60443,4.614359,13.51351
2015-01-17 15:17:11.823,81.51591,4.761905,13.61532
2015-01-17 15:17:29.605,81.5401,4.697023,14.28571
2015-01-17 15:17:51.193,81.88162,4.488661,14.23727
2015-01-17 15:18:07.044,81.96721,4.545455,14.28571
2015-01-17 15:18:22.981,81.95327,4.545455,14.28571
2015-01-17 15:18:38.976,81.77926,4.464365,14.28571
2015-01-17 15:18:54.651,81.78237,4.36487,14.28571
2015-01-17 15:19:10.550,81.55548,4.360033,13.51351
2015-01-17 15:19:26.328,81.96721,4.347826,13.51351
2015-01-17 15:19:42.069,81.9913,4.347826,13.51351
2015-01-17 15:19:57.842,81.9913,4.347826,13.51351
2015-01-17 15:20:13.999,94.33962,4.347826,13.51351
2015-01-17 15:20:29.723,94.73043,4.347826,4.166667
2015-01-17 15:20:45.658,94.88543,1.052632,4.084154
2015-01-17 15:21:01.895,94.99816,1.057168,3.976912
2015-01-17 15:21:17.834,95.02606,1.087027,4.085841
2015-01-17 15:21:34.046,94.88665,1.111111,4.085841
2015-01-17 15:21:50.106,94.98583,1.010845,4.166667
