date,end,title,fill,description
2015-02-07 12:45:00.000,2015-02-07 12:45:00.000,Kick-off,gray,Spurs get the ball rolling
2015-02-07 12:57:00.000,2015-02-07 12:57:00.000,Goal!,#db0007,Giroud shoots - or at least that was his intention - miscues it across the box and Ozil cleverly steers it home from 10 yards with Dier playing him onside
2015-02-07 13:22:00.000,2015-02-07 13:22:00.000,Yellow card,yellow,Kane is booked for an old-fashioned slide on Giroud
2015-02-07 13:30:00.000,2015-02-07 13:30:00.000,Yellow card,yellow,Monreal is booked for a fairly cynical body check on Walker
2015-02-07 13:35:00.000,2015-02-07 13:49:00.000,Half-time,gray,
2015-02-07 13:57:00.000,2015-02-07 13:57:00.000,Yellow-card,yellow,Koscielny slides in - clumsily so - and concedes a free kick. He is booked for his trouble
2015-02-07 14:00:00.000,2015-02-07 14:00:00.000,Goal!,#001c58,Harry Kane gets his 21st goal of the season knocking the ball in at the back post following a corner
2015-02-07 14:12:00.000,2015-02-07 14:12:00.000,Substitution,#db0007,Rosicky replaces Cazorla
2015-02-07 14:20:00.000,2015-02-07 14:20:00.000,Substitution,#001c58,The hosts make a change as Nacer Chadli comes on to replace Dembele for the final 15 minutes or so
2015-02-07 14:22:00.000,2015-02-07 14:22:00.000,Substitution,#db0007,A change for Arsenal as Welbeck makes way to be replaced by Theo Walcott
2015-02-07 14:23:00.000,2015-02-07 14:23:00.000,Yellow card,yellow,Mason gets the obligatory yellow card for blocking a quick free kick
2015-02-07 14:28:00.000,2015-02-07 14:28:00.000,Yellow card,yellow,Giroud becomes the latest name in the book for a late challenge on Mason in midfield
2015-02-07 14:29:00.000,2015-02-07 14:29:00.000,Goal!,#001c58,Harry Kane has done it again and may well have given Spurs the lead in his first ever North London derby
2015-02-07 14:38:00.000,2015-02-07 14:38:00.000,Full-time,gray,That Harry Kane huh? He has just helped Tottenham to leapfrog Arsenal and make it to the top four!
