date,Arsenal,The Draw,Tottenham
2015-02-07 12:40:16.589,,,
2015-02-07 12:40:32.993,43.40908,28.58447,27.87298
2015-02-07 12:40:49.213,43.18349,28.97433,28.13175
2015-02-07 12:41:04.831,43.16139,28.7437,27.82904
2015-02-07 12:41:20.575,43.40953,28.68535,28.06324
2015-02-07 12:41:36.767,43.47075,28.61514,28.14942
2015-02-07 12:41:52.628,43.21267,28.94743,27.95031
2015-02-07 12:42:08.332,43.15089,28.97791,27.93792
2015-02-07 12:42:24.116,43.11026,28.97243,27.8392
2015-02-07 12:42:39.872,42.9532,28.8385,27.8384
2015-02-07 12:42:59.838,43.10241,28.75748,27.84768
2015-02-07 12:43:15.845,43.12276,28.73472,28.16872
2015-02-07 12:43:38.858,43.28698,28.83537,27.8561
2015-02-07 12:43:54.800,43.40306,28.62791,28.11883
2015-02-07 12:44:10.564,43.16118,28.81578,27.90389
2015-02-07 12:44:26.373,43.25678,28.62066,28.09451
2015-02-07 12:44:42.077,43.17708,28.92631,27.83209
2015-02-07 12:44:57.885,43.4727,28.93078,27.78544
2015-02-07 12:45:13.813,43.38417,28.97587,27.4115
2015-02-07 12:45:29.692,43.20964,29.23406,27.48274
2015-02-07 12:45:45.584,43.00392,29.22713,27.69762
2015-02-07 12:46:01.292,43.10142,29.02185,27.72093
2015-02-07 12:46:17.043,42.91918,29.1067,27.72533
2015-02-07 12:46:32.968,43.47687,29.10464,27.75518
2015-02-07 12:46:48.712,43.4675,28.99821,27.69025
2015-02-07 12:47:06.117,43.61399,28.95483,27.77778
2015-02-07 12:47:21.848,43.25228,29.04246,27.76924
2015-02-07 12:47:38.037,43.47788,28.98352,27.80702
2015-02-07 12:47:53.908,43.13043,28.9788,27.87065
2015-02-07 12:48:09.704,42.90961,28.98551,28.02364
2015-02-07 12:48:25.636,42.98427,29.3064,27.82191
2015-02-07 12:48:45.990,42.91102,29.06447,28.1334
2015-02-07 12:49:01.892,42.43587,29.14994,28.07709
2015-02-07 12:49:17.733,42.30704,29.34272,28.47479
2015-02-07 12:49:33.394,42.12778,29.12577,28.98
2015-02-07 12:49:49.146,42.10935,29.03744,28.95566
2015-02-07 12:50:06.606,41.94945,29.24845,28.98463
2015-02-07 12:50:22.354,42.18205,29.35098,28.83726
2015-02-07 12:50:38.374,41.49557,29.2635,29.48601
2015-02-07 12:50:54.037,41.02042,29.21619,29.41609
2015-02-07 12:51:09.858,41.0947,29.31291,29.33388
2015-02-07 12:51:25.869,41.21144,29.32192,29.42302
2015-02-07 12:51:42.077,40.76732,29.39988,29.37232
2015-02-07 12:51:57.881,40.93774,29.41176,29.39931
2015-02-07 12:52:13.653,40.98328,29.55078,29.37599
2015-02-07 12:52:29.422,41.31154,29.43914,29.35779
2015-02-07 12:52:45.358,41.18701,29.4194,29.21383
2015-02-07 12:53:01.246,40.99485,29.73889,29.0067
2015-02-07 12:53:17.067,41.32111,29.59724,28.97123
2015-02-07 12:53:33.082,41.64981,29.79269,28.9513
2015-02-07 12:53:53.216,41.01643,29.84428,28.84477
2015-02-07 12:54:08.946,40.79451,29.99075,29.08786
2015-02-07 12:54:24.604,40.97953,29.90411,29.00248
2015-02-07 12:54:40.220,40.79529,29.87979,28.98168
2015-02-07 12:54:55.922,40.70535,29.87739,28.98864
2015-02-07 12:55:11.982,40.62351,29.91469,29.29924
2015-02-07 12:55:27.896,40.39861,30.22834,29.3037
2015-02-07 12:55:44.264,40.12095,30.27681,29.21425
2015-02-07 12:56:00.045,40.2472,30.38556,29.25553
2015-02-07 12:56:15.861,40.5581,30.73899,29.0856
2015-02-07 12:56:31.639,40.32258,30.73899,28.98551
2015-02-07 12:56:48.344,40.32258,30.73899,28.98551
2015-02-07 12:57:04.160,50.50505,26.95251,28.98551
2015-02-07 12:57:19.979,64.07576,22.72727,13.28105
2015-02-07 12:57:35.806,65.01243,22.22861,13.07765
2015-02-07 12:57:51.547,65.41592,22.09367,12.93184
2015-02-07 12:58:07.454,65.73419,21.89098,12.5
2015-02-07 12:58:23.366,66.56616,21.78378,12.32046
2015-02-07 12:58:39.250,66.73585,21.55213,12.04733
2015-02-07 12:58:59.492,66.87781,21.68744,12.01521
2015-02-07 12:59:15.237,66.38011,21.88478,12.06373
2015-02-07 12:59:31.210,66.42107,21.81402,12.11825
2015-02-07 12:59:47.260,66.41274,21.45169,12.30945
2015-02-07 13:00:03.310,66.66713,21.35377,12.22219
2015-02-07 13:00:19.126,66.56581,21.38736,12.21512
2015-02-07 13:00:34.977,66.43526,21.7236,12.07987
2015-02-07 13:00:51.336,66.24231,21.71253,12.12264
2015-02-07 13:01:07.441,66.56814,21.29312,12.043
2015-02-07 13:01:23.508,66.62938,21.2766,12.05027
2015-02-07 13:01:39.416,66.54268,21.23277,12.06106
2015-02-07 13:01:55.115,66.59013,21.7233,12.07622
2015-02-07 13:02:11.016,66.35772,21.49329,12.19203
2015-02-07 13:02:27.562,66.37634,21.69746,12.30331
2015-02-07 13:02:43.784,66.08822,21.62121,12.46629
2015-02-07 13:02:59.436,65.93982,21.73913,12.6745
2015-02-07 13:03:15.397,66.20969,21.73913,12.3328
2015-02-07 13:03:43.007,66.29683,21.43617,12.21901
2015-02-07 13:04:00.153,66.30216,21.53183,12.38631
2015-02-07 13:04:16.029,66.23385,21.57295,12.1991
2015-02-07 13:04:32.001,65.83885,21.73913,12.19512
2015-02-07 13:04:47.611,65.11389,21.73913,12.48753
2015-02-07 13:05:03.465,65.33302,22.17625,12.56634
2015-02-07 13:05:19.260,65.77243,22.55124,12.49872
2015-02-07 13:05:35.398,65.49663,22.46564,12.53633
2015-02-07 13:05:51.081,65.35088,22.69828,12.8232
2015-02-07 13:06:07.121,65.35984,22.34755,12.33179
2015-02-07 13:06:23.325,65.37323,22.31236,12.24268
2015-02-07 13:06:39.185,65.60141,22.6861,12.26052
2015-02-07 13:06:55.664,65.74638,22.32926,12.23119
2015-02-07 13:07:11.460,65.39874,22.41398,12.20926
2015-02-07 13:07:27.625,65.35998,22.56531,12.49686
2015-02-07 13:07:43.631,65.32766,22.72727,12.48854
2015-02-07 13:08:00.008,64.65244,22.59189,12.80561
2015-02-07 13:08:15.657,64.48948,22.72727,12.94098
2015-02-07 13:08:33.273,64.36197,22.70697,13.12923
2015-02-07 13:08:49.346,64.62458,22.56085,12.95846
2015-02-07 13:09:10.101,64.61672,22.70044,13.10546
2015-02-07 13:09:26.204,64.84394,22.27094,13.01692
2015-02-07 13:09:41.902,64.63949,22.60661,13.14811
2015-02-07 13:09:58.549,64.636,22.72727,13.07388
2015-02-07 13:10:14.324,64.83034,22.71398,13.02285
2015-02-07 13:10:30.309,65.05501,22.58591,13.07995
2015-02-07 13:10:46.291,64.88874,22.25905,12.86478
2015-02-07 13:11:02.468,64.31368,22.72727,13.14392
2015-02-07 13:11:18.311,63.53226,23.25581,13.12341
2015-02-07 13:11:34.391,63.36078,23.21554,13.15029
2015-02-07 13:11:50.168,64.12149,23.07398,13.11025
2015-02-07 13:12:06.814,64.0971,23.25581,13.20655
2015-02-07 13:12:22.799,63.91075,22.85751,13.45263
2015-02-07 13:12:38.700,63.73865,23.25579,13.45676
2015-02-07 13:12:54.933,63.69205,23.18517,13.4875
2015-02-07 13:13:10.884,63.64662,23.18517,13.77706
2015-02-07 13:13:26.972,62.70647,23.46551,13.83183
2015-02-07 13:13:43.153,62.87002,23.65486,13.73803
2015-02-07 13:13:59.029,62.89049,23.80277,13.62107
2015-02-07 13:14:17.458,63.03388,23.48751,13.5156
2015-02-07 13:14:33.681,62.90823,23.47739,13.37871
2015-02-07 13:14:49.856,62.66531,23.80014,13.72505
2015-02-07 13:15:07.388,62.43933,23.80952,13.44417
2015-02-07 13:15:23.312,62.31433,23.80952,13.51351
2015-02-07 13:15:39.272,62.55322,24.39098,13.23012
2015-02-07 13:15:55.580,62.1864,24.4409,13.15959
2015-02-07 13:16:11.687,62.2656,24.47321,13.37048
2015-02-07 13:16:27.840,61.90978,24.4195,13.33784
2015-02-07 13:16:43.997,62.0918,24.77539,13.26587
2015-02-07 13:16:59.877,62.11974,24.67166,13.31394
2015-02-07 13:17:16.508,62.09144,24.41778,13.49589
2015-02-07 13:17:32.568,62.22234,24.71291,13.10345
2015-02-07 13:17:48.560,62.50508,24.70261,12.89511
2015-02-07 13:18:04.640,62.68509,24.42234,13.13459
2015-02-07 13:18:20.828,62.85077,24.43691,13.1574
2015-02-07 13:18:37.178,62.85735,23.82807,13.22864
2015-02-07 13:18:53.096,62.81007,24.2801,13.15022
2015-02-07 13:19:09.969,62.6485,24.39024,13.10825
2015-02-07 13:19:25.917,63.05556,23.87611,12.85302
2015-02-07 13:19:41.961,62.92093,24.22901,12.74681
2015-02-07 13:19:57.817,63.02429,24.30749,12.61368
2015-02-07 13:20:13.679,62.96198,24.33682,12.52835
2015-02-07 13:20:29.733,63.21425,24.33682,12.59226
2015-02-07 13:20:45.864,63.60226,24.40991,12.40296
2015-02-07 13:21:02.025,63.10993,24.39665,12.60812
2015-02-07 13:21:18.452,63.44495,24.39024,12.51671
2015-02-07 13:21:34.410,63.6927,24.17289,12.59821
2015-02-07 13:21:50.246,63.66828,23.87364,12.48357
2015-02-07 13:22:06.673,63.71572,24.2201,12.47016
2015-02-07 13:22:22.464,63.68957,24.12583,12.47078
