date,Arsenal,The Draw,Tottenham
2015-02-07 12:40:16.589,0.1394505,0.03287787,0.04625234
2015-02-07 12:40:32.993,25217.71,7217.706,11374.73
2015-02-07 12:40:49.213,19451.94,7485.59,889.7378
2015-02-07 12:41:04.831,70453.33,13767.35,11404.97
2015-02-07 12:41:20.575,3545.726,2921.471,541.1402
2015-02-07 12:41:36.767,841.198,1475.33,2999.202
2015-02-07 12:41:52.628,2769.803,40104.42,340.4659
2015-02-07 12:42:08.332,21474.22,64688.21,586.9395
2015-02-07 12:42:24.116,79724.48,22370.43,8180.186
2015-02-07 12:42:39.872,4400.155,1991.866,14039.67
2015-02-07 12:42:59.838,32044.71,1213.361,1985.216
2015-02-07 12:43:15.845,17035.42,2380.49,2591.715
2015-02-07 12:43:38.858,17296.66,1910.406,8355.842
2015-02-07 12:43:54.800,3112.039,546.1414,3393.785
2015-02-07 12:44:10.564,17024.05,1646.742,9210.483
2015-02-07 12:44:26.373,6935.781,2834.334,3051.851
2015-02-07 12:44:42.077,6994.797,22518.82,17885.65
2015-02-07 12:44:57.885,23825.47,7785.012,34521.77
2015-02-07 12:45:13.813,97336.42,33321.26,81258.05
2015-02-07 12:45:29.692,17777.39,8698.933,5563.3
2015-02-07 12:45:45.584,87218.91,3408.118,6145.795
2015-02-07 12:46:01.292,9162.182,19984.55,21755.38
2015-02-07 12:46:17.043,27521.83,22557.84,26321.78
2015-02-07 12:46:32.968,40524.66,44111.79,37087.44
2015-02-07 12:46:48.712,13440.49,14401.87,7478.516
2015-02-07 12:47:06.117,1232.576,7424.656,7415.969
2015-02-07 12:47:21.848,14895.95,5097.876,20882.09
2015-02-07 12:47:38.037,9117.912,4113.588,4496.634
2015-02-07 12:47:53.908,18619.23,23045.58,20651.38
2015-02-07 12:48:09.704,20563.34,511.6069,7693.286
2015-02-07 12:48:25.636,27010.57,3778.917,5325.464
2015-02-07 12:48:45.990,4036.974,4937.475,7715.474
2015-02-07 12:49:01.892,16580.36,568.644,13423.07
2015-02-07 12:49:17.733,15175.7,1866.84,4455.062
2015-02-07 12:49:33.394,9177.954,1129.746,6615.654
2015-02-07 12:49:49.146,19489.05,1189.888,1405.477
2015-02-07 12:50:06.606,15669.33,4204.841,6556.943
2015-02-07 12:50:22.354,20870.99,2481.526,18895.27
2015-02-07 12:50:38.374,10357.07,210.7893,13521.87
2015-02-07 12:50:54.037,9813.505,11467.28,27133.04
2015-02-07 12:51:09.858,6227.305,6207.394,6860.105
2015-02-07 12:51:25.869,12081.55,12480.79,9059.175
2015-02-07 12:51:42.077,4484.361,33221.32,2675.224
2015-02-07 12:51:57.881,15089.03,1289.528,5314.567
2015-02-07 12:52:13.653,1523.633,819.3353,1653.887
2015-02-07 12:52:29.422,483.4754,10966.97,4510.712
2015-02-07 12:52:45.358,3315.377,1228.993,2958.799
2015-02-07 12:53:01.246,1544.133,749.2382,2446.92
2015-02-07 12:53:17.067,13910.94,419.2657,731.43
2015-02-07 12:53:33.082,16734.4,1506.262,1330.221
2015-02-07 12:53:53.216,38846.25,7267.767,19735.83
2015-02-07 12:54:08.946,1719.396,863.6457,5650.811
2015-02-07 12:54:24.604,21462.53,1376.845,6973.702
2015-02-07 12:54:40.220,9217.842,925.5227,8710.203
2015-02-07 12:54:55.922,7275.76,447.6233,6422.009
2015-02-07 12:55:11.982,8571.797,4835.931,2306.947
2015-02-07 12:55:27.896,5256.388,14435.24,6818.57
2015-02-07 12:55:44.264,3236.669,32055.73,1361.008
2015-02-07 12:56:00.045,20727.79,13034.93,3378.767
2015-02-07 12:56:15.861,5393.595,561.851,6828.741
2015-02-07 12:56:31.639,12188.82,0,28.21627
2015-02-07 12:56:48.344,0,0,0
2015-02-07 12:57:04.160,963.0389,340.4495,1657.026
2015-02-07 12:57:19.979,33280.71,971.2361,861.7322
2015-02-07 12:57:35.806,71865.18,11288.75,14309.43
2015-02-07 12:57:51.547,56336.33,8595.312,5399.049
2015-02-07 12:58:07.454,134869.7,11861.55,5593.608
2015-02-07 12:58:23.366,178413,7741.027,7549.17
2015-02-07 12:58:39.250,70221.18,3319.666,10034.28
2015-02-07 12:58:59.492,71605.99,1999.343,4795.695
2015-02-07 12:59:15.237,87693.22,2476.272,12152.06
2015-02-07 12:59:31.210,126654,3267.034,9759.821
2015-02-07 12:59:47.260,42816.42,5195.662,15526.35
2015-02-07 13:00:03.310,81336.02,8649.334,7014.634
2015-02-07 13:00:19.126,45041.07,876.7289,998.735
2015-02-07 13:00:34.977,55212.84,1414.37,4545.242
2015-02-07 13:00:51.336,69463.62,643.002,5242.57
2015-02-07 13:01:07.441,51206.28,6187.461,1670.376
2015-02-07 13:01:23.508,35997.58,2124.497,1468.573
2015-02-07 13:01:39.416,27732.71,3769.06,2586.257
2015-02-07 13:01:55.115,8156.468,969.9735,1021.341
2015-02-07 13:02:11.016,69750.02,197.6453,4560.481
2015-02-07 13:02:27.562,20292.18,257.7508,3753.124
2015-02-07 13:02:43.784,2508.146,212.6061,2492.574
2015-02-07 13:02:59.436,36336.42,1859.851,1007.07
2015-02-07 13:03:15.397,36653.8,3034.785,1594.72
2015-02-07 13:03:43.007,2747.348,771.5671,2163.648
2015-02-07 13:04:00.153,7030.628,1054.711,1488.599
2015-02-07 13:04:16.029,62646.13,154.6486,10349.85
2015-02-07 13:04:32.001,21698.6,1107.957,887.7484
2015-02-07 13:04:47.611,70665.49,39.70356,769.9339
2015-02-07 13:05:03.465,35620.8,2033.198,3925.118
2015-02-07 13:05:19.260,22913.63,2605.715,2466.535
2015-02-07 13:05:35.398,65183.53,1568.045,1603.812
2015-02-07 13:05:51.081,24045.3,816.8965,1991.663
2015-02-07 13:06:07.121,176698.4,5652.72,3319.034
2015-02-07 13:06:23.325,10451.84,2410.995,1577.361
2015-02-07 13:06:39.185,14758.45,351.5213,3859.395
2015-02-07 13:06:55.664,12543.14,276.6457,7230.838
2015-02-07 13:07:11.460,2113.372,4076.327,5417.972
2015-02-07 13:07:27.625,146838,357.8832,7216.866
2015-02-07 13:07:43.631,60800.9,351.9075,3979.8
2015-02-07 13:08:00.008,63837.37,55.57909,2827.646
2015-02-07 13:08:15.657,15824.9,126.0694,3976.325
2015-02-07 13:08:33.273,13552.53,1853.137,3538.633
2015-02-07 13:08:49.346,23303.42,227.0318,2168.15
2015-02-07 13:09:10.101,12594.41,331.2188,2041.114
2015-02-07 13:09:26.204,46509.53,2264.407,2856.124
2015-02-07 13:09:41.902,12150.77,599.413,6152.822
2015-02-07 13:09:58.549,69914.43,3091.735,7246.825
2015-02-07 13:10:14.324,21235.95,336.6826,2934.752
2015-02-07 13:10:30.309,55701.5,581.7105,14537.17
2015-02-07 13:10:46.291,45464.1,3966.227,2429.504
2015-02-07 13:11:02.468,16583.52,200.2765,956.6539
2015-02-07 13:11:18.311,12311.81,5507.514,7323.558
2015-02-07 13:11:34.391,71537.48,948.8022,4324.348
2015-02-07 13:11:50.168,7435.292,151.1748,706.1672
2015-02-07 13:12:06.814,13696.65,72.08685,6923.762
2015-02-07 13:12:22.799,2981.962,53.30227,1601.095
2015-02-07 13:12:38.700,53609.64,1878.096,213.7588
2015-02-07 13:12:54.933,11803.52,369.546,585.367
2015-02-07 13:13:10.884,42862.06,0,456.193
2015-02-07 13:13:26.972,31964.1,5429.224,2016.734
2015-02-07 13:13:43.153,1998.86,146.9128,901.0553
