date,Sunderland,The Draw,Tottenham
2015-01-17 15:00:16.763,,,
2015-01-17 15:00:33.084,,23.15704,63.25984
2015-01-17 15:00:48.931,14.28571,22.72727,62.89529
2015-01-17 15:01:04.907,14.28571,22.72727,63.06074
2015-01-17 15:01:20.808,14.28571,22.72727,63.28799
2015-01-17 15:01:36.552,14.28571,22.75394,63.67004
2015-01-17 15:01:52.366,14.28571,22.49623,63.04759
2015-01-17 15:02:08.197,14.39104,22.18197,63.0431
2015-01-17 15:02:25.968,15.15152,22.18197,62.92517
2015-01-17 15:02:41.734,15.09195,22.03341,63.2675
2015-01-17 15:02:57.780,13.53539,22.03341,65.48406
2015-01-17 15:03:14.197,13.91708,14.28571,75.85429
2015-01-17 15:03:30.297,13.91708,14.28571,80
2015-01-17 15:03:46.322,13.91708,13.50401,79.43413
2015-01-17 15:04:02.222,6.133333,12.29002,79.42372
2015-01-17 15:04:18.110,6.615328,13.67107,80.25775
2015-01-17 15:04:34.820,6.615328,13.19328,80.0927
2015-01-17 15:04:50.506,6.537094,13.19046,80.68162
2015-01-17 15:05:06.360,6.009029,13.51351,80.61458
2015-01-17 15:05:22.341,5.832718,13.8495,80.47824
2015-01-17 15:05:38.532,5.879169,13.80086,80.6349
2015-01-17 15:05:54.678,5.83074,13.88889,80.04626
2015-01-17 15:06:10.510,5.960617,13.88889,80.03543
2015-01-17 15:06:26.360,6.060606,13.88889,79.99661
2015-01-17 15:06:44.701,5.848861,14.28272,79.95642
2015-01-17 15:07:00.563,6.061003,14.08543,80.33156
2015-01-17 15:07:35.389,5.849954,14.07616,80.15584
2015-01-17 15:07:51.084,5.457019,14.07616,80.61007
2015-01-17 15:08:06.902,5.542843,13.9996,80.74375
2015-01-17 15:08:22.819,5.555556,13.9572,80.88388
2015-01-17 15:08:38.942,5.633115,13.75006,81.28299
2015-01-17 15:08:54.698,5.67364,13.88889,80.67536
2015-01-17 15:09:10.944,5.456612,13.88889,80.92657
2015-01-17 15:09:26.712,5.949323,13.778,81.17879
2015-01-17 15:09:42.938,5.949323,13.91166,80.68359
2015-01-17 15:09:58.766,5.796429,13.88889,80.81917
2015-01-17 15:10:14.999,6.037575,13.51351,80.60651
2015-01-17 15:10:31.299,6.037575,13.51351,80.41948
2015-01-17 15:10:47.113,5.651321,13.51351,80.6545
2015-01-17 15:11:02.940,5.861032,13.57466,80.33255
2015-01-17 15:11:18.937,5.882353,13.88889,80.59383
2015-01-17 15:11:40.437,5.882353,13.88889,80.13184
2015-01-17 15:11:56.389,5.848358,13.85471,80.04493
2015-01-17 15:12:12.373,5.714286,14.28571,80.00147
2015-01-17 15:12:28.354,5.599431,13.88889,80
2015-01-17 15:12:47.502,5.714286,14.27187,80.22209
2015-01-17 15:13:03.445,5.714286,14.27187,80.64516
2015-01-17 15:13:19.513,5.714286,13.88889,80
2015-01-17 15:13:36.059,5.686362,13.88889,80
2015-01-17 15:13:52.044,5.714286,14.28571,80
2015-01-17 15:14:08.035,5.880918,14.28571,80.4733
2015-01-17 15:14:24.074,5.882353,14.28571,80.37887
2015-01-17 15:14:39.974,5.714286,14.28571,80.39651
2015-01-17 15:14:56.149,5.714286,14.28571,80.49523
2015-01-17 15:15:11.928,5.882092,13.88889,80.00364
2015-01-17 15:15:27.996,5.827317,13.88889,80.64516
2015-01-17 15:15:44.148,5.714286,14.23841,80.60809
2015-01-17 15:15:59.953,5.555556,13.55774,80.64933
2015-01-17 15:16:16.045,5.555556,13.88889,80.88418
2015-01-17 15:16:33.274,5.555556,13.88889,81.10175
2015-01-17 15:16:51.000,5.555556,13.88889,80.77204
2015-01-17 15:17:06.732,5.555556,13.88889,80.56759
2015-01-17 15:17:22.646,5.555556,13.88889,80.41446
2015-01-17 15:17:38.661,5.555556,13.88889,80
2015-01-17 15:17:55.141,5.555556,13.88889,80.01814
2015-01-17 15:18:11.105,5.572119,14.17574,80.85763
2015-01-17 15:18:26.930,5.555556,14.28571,80.00488
2015-01-17 15:18:42.671,5.263158,14.28571,80.87537
2015-01-17 15:18:59.100,5.358973,14.28571,81.27489
2015-01-17 15:19:14.928,5.263158,14.28571,80.64516
2015-01-17 15:19:30.890,5.263158,14.28571,80.64516
2015-01-17 15:19:47.098,5.263158,14.28571,80.64516
2015-01-17 15:20:02.917,5.263158,14.28571,81.28609
2015-01-17 15:20:19.071,5,14.28571,80.71904
2015-01-17 15:20:34.980,5.098425,14.04494,80.64516
2015-01-17 15:20:50.925,4.779973,13.93451,80.64516
2015-01-17 15:21:07.093,5.068378,13.93451,80.92615
2015-01-17 15:21:23.161,5.555556,13.51351,81.16482
2015-01-17 15:21:38.844,5.038956,14.28571,80.65007
2015-01-17 15:21:58.823,5,14.28571,81.26443
2015-01-17 15:22:14.730,5,14.174,80.65222
2015-01-17 15:22:32.352,4.761905,14.174,81.30081
2015-01-17 15:22:48.302,5,14.174,80.75403
2015-01-17 15:23:04.380,5,14.174,80.65364
2015-01-17 15:23:20.292,5,14.174,80.65502
2015-01-17 15:23:36.569,5,14.25638,80.6723
2015-01-17 15:23:53.568,5,13.91274,80
2015-01-17 15:24:09.710,5.128205,13.4166,80.25401
2015-01-17 15:24:25.473,5.405405,14.28571,80
2015-01-17 15:24:41.760,5.405405,14.28571,81.17984
2015-01-17 15:24:58.313,5.132978,14.28571,81.15982
2015-01-17 15:25:14.089,5.132978,14.28571,80.64516
2015-01-17 15:25:29.880,5.263158,13.51351,81.30081
2015-01-17 15:25:45.686,5.128205,13.50638,81.71637
2015-01-17 15:26:01.885,5.453993,13.52184,81.94809
2015-01-17 15:26:17.670,5.445935,13.52184,81.1716
2015-01-17 15:26:35.640,5.072411,14.28571,81.1716
2015-01-17 15:26:52.089,4.931935,13.51351,80.64516
2015-01-17 15:27:08.547,5,13.51351,81.26782
2015-01-17 15:27:27.146,5,13.59468,80.66609
2015-01-17 15:28:04.838,4.843087,13.89822,81.19667
2015-01-17 15:28:20.785,4.843087,13.89822,81.26981
2015-01-17 15:28:36.554,4.843087,14.28571,80.84342
2015-01-17 15:28:52.332,5.070688,14.28571,81.18735
2015-01-17 15:29:08.204,5.077753,14.28571,81.04338
2015-01-17 15:29:23.918,5.376471,14.33587,80.12569
2015-01-17 15:29:39.765,5.376344,14.70588,80
2015-01-17 15:29:55.933,5.405405,14.70588,80
2015-01-17 15:30:11.777,5.405405,14.70588,80.23317
2015-01-17 15:30:27.582,5.405405,14.28571,80
2015-01-17 15:30:43.233,5.405405,14.28571,80
2015-01-17 15:30:59.076,16.66667,24.2475,61.03035
2015-01-17 15:31:15.876,16.46669,24.2475,57.47126
2015-01-17 15:31:32.664,16.32764,24.2475,57.47126
