date,Sunderland,The Draw,Tottenham
2015-01-17 15:00:16.763,0.004434184,0.003895605,0.07280429
2015-01-17 15:00:33.084,0,4817.679,232.3053
2015-01-17 15:00:48.931,37.89931,29.49407,7240.434
2015-01-17 15:01:04.907,0,19.82995,3643.603
2015-01-17 15:01:20.808,37.69585,53.69489,2267.524
2015-01-17 15:01:36.552,14.51974,26.60047,618.8231
2015-01-17 15:01:52.366,0,1057.505,12263.14
2015-01-17 15:02:08.197,147.9665,212.5882,4549.403
2015-01-17 15:02:25.968,13.50525,0,383.1102
2015-01-17 15:02:41.734,116.8718,87.33985,3288.964
2015-01-17 15:02:57.780,503.919,90.29936,705.0828
2015-01-17 15:03:14.197,40.56705,57.96337,63448.08
2015-01-17 15:03:30.297,0,44.0872,495.5804
2015-01-17 15:03:46.322,399.622,1070.963,28733.95
2015-01-17 15:04:02.222,116.9812,70.56609,485.9249
2015-01-17 15:04:18.110,41.0505,140.3723,8250.848
2015-01-17 15:04:34.820,379.423,731.7367,72597.08
2015-01-17 15:04:50.506,373.6546,1063.246,15172.73
2015-01-17 15:05:06.360,293.959,94.99642,16540.58
2015-01-17 15:05:22.341,118.6008,594.7312,2275.905
2015-01-17 15:05:38.532,116.7341,262.0774,27768.16
2015-01-17 15:05:54.678,107.9108,47.34102,3993.59
2015-01-17 15:06:10.510,67.9157,23.87661,6849.404
2015-01-17 15:06:26.360,148.423,1331.719,18095.31
2015-01-17 15:06:44.701,138.123,205.2215,11921.5
2015-01-17 15:07:00.563,209.7841,73.42064,2929.071
2015-01-17 15:07:35.389,110.1576,182.8093,814.76
2015-01-17 15:07:51.084,371.5888,0,86401.12
2015-01-17 15:08:06.902,165.5327,278.3408,8480.214
2015-01-17 15:08:22.819,28.27174,85.7953,27246.45
2015-01-17 15:08:38.942,90.09474,44.43334,4228.759
2015-01-17 15:08:54.698,51.6354,15.23168,3654.309
2015-01-17 15:09:10.944,10.637,0,8993.991
2015-01-17 15:09:26.712,122.4885,64.87819,709.6646
2015-01-17 15:09:42.938,0,65.89445,15870.76
2015-01-17 15:09:58.766,9.476501,3.7906,8525.743
2015-01-17 15:10:14.999,62.83435,4.361443,2113.489
2015-01-17 15:10:31.299,0,0,2674.263
2015-01-17 15:10:47.113,211.5121,0,1348.101
2015-01-17 15:11:02.940,122.6028,90.98541,343.0908
2015-01-17 15:11:18.937,37.46884,196.6833,6433.688
2015-01-17 15:11:40.437,45.43366,34.66131,6984.56
2015-01-17 15:11:56.389,639.4503,1505.29,27594.68
2015-01-17 15:12:12.373,234.6124,186.301,216638
2015-01-17 15:12:28.354,79.85915,14.19218,2565.968
2015-01-17 15:12:47.502,75.19997,227.9499,276.5166
2015-01-17 15:13:03.445,120.468,0,514.0869
2015-01-17 15:13:19.513,0,14.93702,547.7404
2015-01-17 15:13:36.059,464.1435,0,79.77466
2015-01-17 15:13:52.044,46.46869,148.7148,429.4037
2015-01-17 15:14:08.035,959.13,0,1558.539
2015-01-17 15:14:24.074,281.7636,74.81774,2449.196
2015-01-17 15:14:39.974,1.886838,15.0947,16218.43
2015-01-17 15:14:56.149,0,78.08204,6382.215
2015-01-17 15:15:11.928,503.4179,0.9886597,1017.027
2015-01-17 15:15:27.996,55.0036,21.50853,68.18504
2015-01-17 15:15:44.148,55.75691,41.52979,1676.719
2015-01-17 15:15:59.953,18.98186,1525.534,4523.528
2015-01-17 15:16:16.045,7.457177,89.52341,338.0338
2015-01-17 15:16:33.274,313.4479,21.24244,3046.584
2015-01-17 15:16:51.000,0.5077321,0,5735.41
2015-01-17 15:17:06.732,57.66644,0,822.8909
2015-01-17 15:17:22.646,74.65356,0,3907.624
2015-01-17 15:17:38.661,0,14.98529,302.1035
2015-01-17 15:17:55.141,14.56321,165.4016,1798.556
2015-01-17 15:18:11.105,40.74149,22.70098,4316.268
2015-01-17 15:18:26.930,15.16582,163.3359,125749.5
2015-01-17 15:18:42.671,34.30613,0,3507.382
2015-01-17 15:18:59.100,40.09896,317.6144,1381.259
2015-01-17 15:19:14.928,151.6362,75.81809,632.0196
2015-01-17 15:19:30.890,290.7137,0,4836.357
2015-01-17 15:19:47.098,0,0,339.0799
2015-01-17 15:20:02.917,95.28031,0,3064.37
2015-01-17 15:20:19.071,48.88051,14.8573,1269.147
2015-01-17 15:20:34.980,19.53572,37.71374,74.18293
2015-01-17 15:20:50.925,77.73921,97.68198,1582.704
