date,end,title,fill,description
2014-11-21 13:19:00.000,2014-11-21 13:19:00.000,save,gray,Tsonga saves a break point to hold for 1-1
2014-11-21 13:26:00.000,2014-11-21 13:26:00.000,Break!,#ff6666,Jo sends his forehand wide at 30-40 to cough up the first break. Wawrinka 3-1
2014-11-21 13:33:00.000,2014-11-21 13:33:00.000,Break!,#ff6666,Stan is on fire right now; he breaks again to serve for the set at 5-1
2014-11-21 13:37:00.000,2014-11-21 13:37:00.000,Wawrinka 6-1,#ff6666,Stan saves a break point to take the opener in 26 minutes
2014-11-21 13:46:00.000,2014-11-21 13:46:00.000,save,#667bbf,Break point saved by Tsonga to hold for 1-0
2014-11-21 14:01:00.000,2014-11-21 14:01:00.000,Break!,#667bbf,Stan double faults to drop serve for the first time today. Tsonga 3-1
2014-11-21 14:19:00.000,2014-11-21 14:19:00.000,Tsonga 6-3,#667bbf,Much better serving from Jo in this set as he holds to square the match
2014-11-21 14:47:00.000,2014-11-21 14:47:00.000,Break!,#ff6666,Tsonga smacks a cross-court forehand out at 30-40 to drop his serve. Wawrinka 4-2
2014-11-21 14:56:00.000,2014-11-21 14:56:00.000,save,#ff6666,Jo saves two set points, and now Stan is serving for the set at 5-3
2014-11-21 15:01:00.000,2014-11-21 15:01:00.000,Wawrinka 6-3,#ff6666,Stan down 0-30, but he holds to close out the third
2014-11-21 15:08:00.000,2014-11-21 15:08:00.000,Break!,#ff6666,Wawrinka puts away a backhand volley at net to break immediately. 1-0
2014-11-21 15:27:00.000,2014-11-21 15:27:00.000,save,#ff6666,Wawrinka holds to lead 4-2
2014-11-21 15:31:00.000,2014-11-21 15:31:00.000,save,#ff6666,Stan strikes a backhand into the open court to break again. He will serve for the match at 5-2
2014-11-21 15:36:00.000,2014-11-21 15:36:00.000,Wawrinka 6-2,gray,Wawrinka wins (6-1 3-6 6-3 6-2)
