date,Jo-Wilfried Tsonga,Stanislas Wawrinka
2014-11-21 13:00:16.472,,
2014-11-21 13:00:32.315,44.64286,55.44064
2014-11-21 13:00:48.037,48.56179,55.39672
2014-11-21 13:01:03.797,44.34028,55.80977
2014-11-21 13:01:19.634,44.34028,55.98391
2014-11-21 13:01:35.470,44.34028,55.88098
2014-11-21 13:01:51.392,44.24779,55.94749
2014-11-21 13:02:07.445,44.24779,55.84674
2014-11-21 13:02:23.225,44.24779,55.85524
2014-11-21 13:02:38.990,44.64286,55.86592
2014-11-21 13:02:54.862,44.60402,55.83122
2014-11-21 13:03:10.623,44.24779,55.55556
2014-11-21 13:03:26.464,45.00061,55.55556
2014-11-21 13:03:42.556,44.95659,55.24862
2014-11-21 13:03:58.239,44.95659,55.55556
2014-11-21 13:04:14.448,44.64286,55.55556
2014-11-21 13:04:30.245,44.8834,55.55556
2014-11-21 13:04:46.049,44.8834,55.55556
2014-11-21 13:05:01.800,44.64286,55.48896
2014-11-21 13:05:18.209,44.79796,55.54665
2014-11-21 13:05:33.997,44.35346,55.80304
2014-11-21 13:05:49.788,44.64286,55.5687
2014-11-21 13:06:05.584,44.64286,55.55614
2014-11-21 13:06:21.413,44.32512,55.77544
2014-11-21 13:06:42.926,44.24779,55.86592
2014-11-21 13:06:58.578,44.24779,55.86592
2014-11-21 13:07:14.653,44.2578,55.85947
2014-11-21 13:07:30.376,44.24779,55.89757
2014-11-21 13:07:46.167,43.85965,56.22745
2014-11-21 13:08:01.791,44.24779,56.07033
2014-11-21 13:08:17.734,43.85965,56.17978
2014-11-21 13:08:33.372,44.24779,56.17978
2014-11-21 13:08:49.186,44.24779,56.17394
2014-11-21 13:09:04.976,44.24779,56.16415
2014-11-21 13:09:20.775,44.24779,55.95812
2014-11-21 13:09:36.561,44.24779,56.13772
2014-11-21 13:09:52.157,43.62245,56.08005
2014-11-21 13:10:07.865,44.18199,56.2176
2014-11-21 13:10:24.010,44.24015,55.8721
