date,Jo-Wilfried Tsonga,Stanislas Wawrinka
2014-11-21 13:00:16.472,0.007721709,0.02283835
2014-11-21 13:00:32.315,113.6923,1840.474
2014-11-21 13:00:48.037,18.89048,2496.215
2014-11-21 13:01:03.797,1485.995,27994.89
2014-11-21 13:01:19.634,0,812.0507
2014-11-21 13:01:35.470,0,1245.833
2014-11-21 13:01:51.392,1655.879,2163.839
2014-11-21 13:02:07.445,505.0394,205.4619
2014-11-21 13:02:23.225,0,708.6556
2014-11-21 13:02:38.990,12.10249,378.7926
2014-11-21 13:02:54.862,10111.03,5852.625
2014-11-21 13:03:10.623,76.13622,1961.117
2014-11-21 13:03:26.464,1643.974,2346.213
2014-11-21 13:03:42.556,108.2423,1301.182
2014-11-21 13:03:58.239,0,306.665
2014-11-21 13:04:14.448,197.1497,1319.822
2014-11-21 13:04:30.245,2173.016,6627.941
2014-11-21 13:04:46.049,0,27775.34
2014-11-21 13:05:01.800,2114.334,460.9843
2014-11-21 13:05:18.209,1435.536,3291.3
2014-11-21 13:05:33.997,1454.872,6076.134
2014-11-21 13:05:49.788,2400.35,2164.244
2014-11-21 13:06:05.584,3401.24,6399.397
2014-11-21 13:06:21.413,4389.606,6696.339
2014-11-21 13:06:42.926,8.841518,1270.473
2014-11-21 13:06:58.578,2994.137,1104.086
2014-11-21 13:07:14.653,4286.987,6596.074
2014-11-21 13:07:30.376,1921.03,32103.96
2014-11-21 13:07:46.167,20.13728,1849.4
2014-11-21 13:08:01.791,2451.964,5267.76
2014-11-21 13:08:17.734,160.0939,6257.813
2014-11-21 13:08:33.372,456.224,727.9403
2014-11-21 13:08:49.186,84.7237,1624.168
2014-11-21 13:09:04.976,0,2920.156
2014-11-21 13:09:20.775,60.19625,7011.591
2014-11-21 13:09:36.561,19.83992,1309.701
2014-11-21 13:09:52.157,418.3014,11067.77
2014-11-21 13:10:07.865,899.9932,2884.134
2014-11-21 13:10:24.010,608.0019,767.8713
2014-11-21 13:10:39.889,0.1889256,1912.796
2014-11-21 13:10:55.584,213.3602,3387.996
2014-11-21 13:11:11.396,223.123,5561.416
2014-11-21 13:11:27.784,330.9806,17117.3
2014-11-21 13:11:43.588,669.812,29562.96
2014-11-21 13:11:59.365,4225.197,30275.84
2014-11-21 13:12:14.969,33.52997,20098.6
2014-11-21 13:12:30.581,767.991,43374.82
2014-11-21 13:12:46.376,1132.493,40530.23
2014-11-21 13:13:02.277,603.508,8154.829
2014-11-21 13:13:18.104,17493.11,19434.28
2014-11-21 13:13:33.763,380.3577,10871.1
2014-11-21 13:13:49.373,0,15729.62
2014-11-21 13:14:05.252,44.62416,26069.92
2014-11-21 13:14:20.991,3188.398,36334.78
2014-11-21 13:14:36.796,9138.273,32680.11
2014-11-21 13:14:52.620,4886.739,9170.324
2014-11-21 13:15:08.498,347.5304,2069.803
2014-11-21 13:15:24.182,81.71543,38658.47
2014-11-21 13:15:40.013,6503.296,28570.41
2014-11-21 13:15:55.804,6.003355,54683.73
2014-11-21 13:16:11.561,569.5972,77592.48
2014-11-21 13:16:27.434,1764.2,36287.52
2014-11-21 13:16:43.420,17.82838,43541.41
2014-11-21 13:16:59.190,1416.799,7258.59
2014-11-21 13:17:14.994,1385.247,60381.27
2014-11-21 13:17:31.261,73.76897,8894.583
2014-11-21 13:17:47.181,221.1525,7820.574
2014-11-21 13:18:03.000,1221.21,16456.59
2014-11-21 13:18:18.834,413.1099,17256.45
2014-11-21 13:18:34.587,1059.69,26902.46
2014-11-21 13:18:50.404,1547.28,19853.66
2014-11-21 13:19:06.203,47.77499,14059.75
2014-11-21 13:19:21.971,0,43142.09
2014-11-21 13:19:37.794,597.9675,29570.61
2014-11-21 13:19:53.562,1087.11,8237.213
2014-11-21 13:20:09.433,5.973083,18566.01
2014-11-21 13:20:25.189,62.41623,23394.62
2014-11-21 13:20:40.995,30.1019,19113.49
2014-11-21 13:20:56.765,0,48932.31
2014-11-21 13:21:12.364,127.32,10167.44
2014-11-21 13:21:27.979,645.8896,28805.2
2014-11-21 13:21:43.829,653.3376,28339.23
2014-11-21 13:22:00.634,1365.1,40576.61
2014-11-21 13:22:16.357,612.0627,15752.21
2014-11-21 13:22:31.979,65.44656,10945.05
2014-11-21 13:22:47.860,294.9156,11048.79
2014-11-21 13:23:03.554,1195.416,2507.586
2014-11-21 13:23:19.408,318.3165,21015.7
2014-11-21 13:23:35.173,1086.876,14806.85
2014-11-21 13:23:51.034,597.8929,10874.77
2014-11-21 13:24:06.784,316.2226,42499.65
2014-11-21 13:24:22.558,467.8456,19433.66
2014-11-21 13:24:38.522,668.8482,9082.729
2014-11-21 13:24:54.647,20.16659,17997.31
2014-11-21 13:25:10.361,884.5856,73377.68
2014-11-21 13:25:25.968,283.5155,11286.15
2014-11-21 13:25:42.041,113.2621,10122.47
2014-11-21 13:25:57.769,408.9023,21633.21
2014-11-21 13:26:13.350,538.6072,14267.49
2014-11-21 13:26:28.968,887.0919,21418.9
2014-11-21 13:26:44.779,827.4696,121217
2014-11-21 13:27:01.766,924.0245,88435.24
2014-11-21 13:27:17.536,140.0944,54440.86
2014-11-21 13:27:33.161,2820.84,34729.68
2014-11-21 13:27:48.783,753.2381,87485
2014-11-21 13:28:04.562,142.8986,130095
2014-11-21 13:28:20.201,686.8038,193022.1
2014-11-21 13:28:35.965,166.7422,94823.64
2014-11-21 13:28:51.556,795.4225,51987.28
2014-11-21 13:29:07.541,604.5154,167279.6
2014-11-21 13:29:23.729,285.2956,191941.4
2014-11-21 13:29:39.365,744.0027,44035.83
2014-11-21 13:29:55.010,187.1849,29338.17
