date,end,title,fill,description
2014-12-13 15:02:00.000,2014-12-13 15:02:00.000,Kick-off,gray,West Brom get the match underway
2014-12-13 15:19:00.000,2014-12-13 15:19:00.000,Yellow card,yellow,McAuley is booked for a foul on Agbonlahor
2014-12-13 15:23:00.000,2014-12-13 15:23:00.000,Red card,red,Kieran Richardson has been sent off for lunging in on Sessegnon after he lost control of the ball
2014-12-13 15:46:00.000,2014-12-13 15:46:00.000,Yellow card,yellow,Tom Cleverley is booked for a foul.
2014-12-13 15:48:00.000,2014-12-13 16:03:00.000,Half-time,gray,The first half ends with no score
2014-12-13 16:03:00.000,2014-12-13 16:03:00.000,Substitution,#87123e,Second half is underway with Villa making a change. Fabian Delph who is returning from injury is on for NZogbia
2014-12-13 16:20:00.000,2014-12-13 16:20:00.000,Yellow card,yellow,Pocognoli has been booked for simulation
2014-12-13 16:24:00.000,2014-12-13 16:24:00.000,Yellow card,yellow,Alan Hutton is booked for a foul on Pocognoli
2014-12-13 16:28:00.000,2014-12-13 16:28:00.000,Substitution,#091453,Berahino is on in place of Dorrans
2014-12-13 16:30:00.000,2014-12-13 16:30:00.000,Goal!,#091453,Deadlock finally broken as Craig Cardner fires home the rebound after a scramble in the box
2014-12-13 16:36:00.000,2014-12-13 16:36:00.000,Substitution,#87123e,Double change for Villa as Vlaar and Weimann replace Sanchez and Cissokho
2014-12-13 16:51:00.000,2014-12-13 16:51:00.000,Full-time,gray,Much needed win for the Baggies in the Midlands derby against Villa
