date,Aston Villa,The Draw,West Brom
2014-12-13 14:50:28.483,,,
2014-12-13 14:50:49.110,26.26936,30.30303,43.53436
2014-12-13 14:51:10.069,26.07785,29.85075,43.47826
2014-12-13 14:51:30.830,26.31579,29.85075,43.85965
2014-12-13 14:51:51.581,26.51475,30.30303,43.48911
2014-12-13 14:52:15.490,26.66667,30.30303,43.64859
2014-12-13 14:52:36.577,26.66667,30.30303,43.47826
2014-12-13 14:52:57.725,26.15528,29.85075,43.95091
2014-12-13 14:53:18.862,25.79278,29.73408,44.75089
2014-12-13 14:53:39.945,25.97403,29.84219,44.60784
2014-12-13 14:54:10.242,26.07277,29.84219,44.25252
2014-12-13 14:54:31.223,25.98915,29.85075,44.57954
2014-12-13 14:54:52.577,26.31579,29.43267,44.24779
2014-12-13 14:55:13.450,26.31237,29.5281,44.51894
2014-12-13 14:55:34.140,26.31237,29.41176,43.85965
2014-12-13 14:55:55.108,26.31579,29.84634,43.85965
2014-12-13 14:56:15.953,26.31153,29.82651,43.92537
2014-12-13 14:56:36.554,26.31579,29.82651,43.47826
2014-12-13 14:56:57.188,26.31579,29.85075,43.47826
2014-12-13 14:57:18.312,26.31579,29.85075,43.47826
2014-12-13 14:57:39.169,26.31579,29.41176,43.83429
2014-12-13 14:57:59.732,26.31444,29.41176,43.98892
2014-12-13 14:58:20.490,26.03762,29.84958,43.85965
2014-12-13 14:58:41.169,25.9712,29.84895,43.85965
2014-12-13 14:59:02.215,25.97275,29.94465,43.86438
2014-12-13 14:59:22.796,25.96724,30.29102,43.85965
2014-12-13 14:59:47.132,25.68371,30.2822,43.89333
2014-12-13 15:00:07.968,25.64103,30.30303,43.87388
2014-12-13 15:00:30.422,26.31579,30.12562,43.77053
2014-12-13 15:00:51.794,25.97403,29.85075,43.48423
2014-12-13 15:01:12.490,26.45646,29.92389,43.30973
2014-12-13 15:01:33.150,27.00759,29.89041,44.23076
2014-12-13 15:01:53.853,26.40037,29.45779,44.24779
2014-12-13 15:02:14.524,26.31579,29.41176,43.73949
2014-12-13 15:02:35.162,25.64591,29.85075,44.14529
2014-12-13 15:02:55.713,25.64103,29.85075,43.85965
2014-12-13 15:03:16.473,25.64103,30.30303,44.21443
2014-12-13 15:03:37.147,25.6205,30.30303,44.59605
2014-12-13 15:03:57.929,25.64103,30.30303,44.64286
2014-12-13 15:04:18.528,25.63952,29.85075,44.24779
2014-12-13 15:04:39.141,25.6401,29.85075,44.24779
2014-12-13 15:05:00.029,25.61122,30.30303,43.96816
2014-12-13 15:05:20.792,25.31646,30.30303,44.24779
2014-12-13 15:05:41.596,25.31646,30.30303,44.29221
2014-12-13 15:06:02.415,25.31646,30.19366,44.58706
2014-12-13 15:06:22.993,25.26661,30.30303,44.27752
2014-12-13 15:06:43.601,25.31646,30.30303,44.24779
2014-12-13 15:07:04.144,25.31286,29.86167,44.64286
2014-12-13 15:07:24.737,25.64103,30.30303,43.85965
2014-12-13 15:07:45.389,25.64103,30.18468,44.2057
2014-12-13 15:08:05.976,25.13416,30.30303,44.07255
2014-12-13 15:08:26.699,25,30.76923,43.85965
2014-12-13 15:08:58.005,25,30.76923,43.85965
2014-12-13 15:09:19.064,25,30.76923,44.64286
2014-12-13 15:09:39.996,24.91293,30.76923,44.24779
2014-12-13 15:10:00.833,25,30.54403,43.8682
2014-12-13 15:10:22.130,25,30.76923,43.85965
2014-12-13 15:10:42.881,25.63819,30.72903,43.85965
2014-12-13 15:11:03.736,25.64534,30.76923,43.78112
2014-12-13 15:11:24.884,25.33998,30.76923,43.70673
2014-12-13 15:11:45.695,25.314,30.76923,44.22488
2014-12-13 15:12:06.344,25,30.76923,44.22488
2014-12-13 15:12:26.936,25,30.76923,44.05874
2014-12-13 15:12:47.526,25,31.25,43.89749
2014-12-13 15:13:08.151,25,30.76923,44.31048
2014-12-13 15:13:29.076,25,30.85669,43.85965
2014-12-13 15:13:50.136,25,30.85669,44.18045
2014-12-13 15:14:11.119,25,30.76923,44.18045
2014-12-13 15:14:31.979,25,30.76923,44.24779
2014-12-13 15:14:52.745,25,30.76923,44.24779
2014-12-13 15:15:13.335,25,31.23307,44.24779
2014-12-13 15:15:33.927,25,31.12194,44.24779
2014-12-13 15:15:54.565,25,31.12194,44.24779
2014-12-13 15:16:15.141,25,31.12194,44.24779
2014-12-13 15:16:35.748,25,31.25,43.88883
2014-12-13 15:16:56.448,25,31.56969,43.88883
2014-12-13 15:17:17.286,25,31.25,43.88883
2014-12-13 15:17:38.240,25,31.25,44.19957
2014-12-13 15:17:59.168,25,31.74603,43.85965
2014-12-13 15:18:20.200,24.39024,31.64729,43.92767
2014-12-13 15:18:41.116,25,31.74603,43.48769
2014-12-13 15:19:02.758,25,31.74603,43.10345
2014-12-13 15:19:29.598,25.19334,31.74603,42.73504
2014-12-13 15:19:50.529,25.64103,31.74603,42.73504
2014-12-13 15:20:13.775,25.31646,31.74603,42.73504
2014-12-13 15:20:34.582,25.31646,31.74603,42.73504
2014-12-13 15:20:55.324,25.31646,32.24308,43.10345
2014-12-13 15:21:16.266,25.31646,32.24308,42.73504
2014-12-13 15:21:37.361,25.31646,32.24308,42.73504
2014-12-13 15:21:58.108,25.31646,32.24308,42.73504
2014-12-13 15:22:18.853,25.31646,32.24308,42.73504
