date,Aston Villa,The Draw,West Brom
2014-12-13 14:50:28.483,0.01157708,0.004739571,0.03706297
2014-12-13 14:50:49.110,565.7856,7.271935,9400.372
2014-12-13 14:51:10.069,565.9715,363.5157,0.8302061
2014-12-13 14:51:30.830,621.6234,34.24723,8261.791
2014-12-13 14:51:51.581,245.5978,28.94318,51913.4
2014-12-13 14:52:15.490,71.39603,30.08922,1123.314
2014-12-13 14:52:36.577,6073.467,0,47057.51
2014-12-13 14:52:57.725,14521.19,11355.45,31352.53
2014-12-13 14:53:18.862,6866.928,7636.061,28688.02
2014-12-13 14:53:39.945,3784.357,939.5436,11015.43
2014-12-13 14:54:10.242,538.8256,0,982.2754
2014-12-13 14:54:31.223,638.1166,1154.695,1360.28
2014-12-13 14:54:52.577,38.94257,581.666,11238.84
2014-12-13 14:55:13.450,40.70392,85.83468,18665.25
2014-12-13 14:55:34.140,0,369.0198,195.3993
2014-12-13 14:55:55.108,90.76745,5789.344,4864.586
2014-12-13 14:56:15.953,1113.347,333.0915,5425.201
2014-12-13 14:56:36.554,43.68692,0,1881.45
2014-12-13 14:56:57.188,89.00768,29.07797,0
2014-12-13 14:57:18.312,2311.934,22.72283,22.69443
2014-12-13 14:57:39.169,357.1483,9.119293,3053.496
2014-12-13 14:57:59.732,6444.257,0,5156.771
2014-12-13 14:58:20.490,6703.443,8728.62,1764.651
2014-12-13 14:58:41.169,2021.106,2280.025,6540.943
2014-12-13 14:59:02.215,4519.989,80.0543,13404.9
2014-12-13 14:59:22.796,721.4015,668.4589,209.3799
2014-12-13 14:59:47.132,8883.074,276.4773,547.3827
2014-12-13 15:00:07.968,4503.223,263.2049,395.5561
2014-12-13 15:00:30.422,10.68851,34.9247,275.9505
2014-12-13 15:00:51.794,454.795,11.22951,4527.512
2014-12-13 15:01:12.490,609.6895,1239.354,1749.255
2014-12-13 15:01:33.150,5826.296,137.1925,1454.49
2014-12-13 15:01:53.853,1325.639,109.1102,27.67604
2014-12-13 15:02:14.524,112.8249,14.51311,216.884
2014-12-13 15:02:35.162,674.7995,710.0368,1468.888
2014-12-13 15:02:55.713,304.7994,9.254925,437.9302
2014-12-13 15:03:16.473,669.7225,60.69468,1197.766
2014-12-13 15:03:37.147,1857.406,654.0971,448.8537
2014-12-13 15:03:57.929,802.5845,28.55238,86.60984
2014-12-13 15:04:18.528,6368.023,143.0172,198.3016
2014-12-13 15:04:39.141,434.4033,105.1079,433.5591
2014-12-13 15:05:00.029,253.1518,39.6977,79.94117
2014-12-13 15:05:20.792,1547.489,261.4982,404.7169
2014-12-13 15:05:41.596,818.8529,477.9815,407.1769
2014-12-13 15:06:02.415,9769.84,61.35564,426.4635
2014-12-13 15:06:22.993,2672.984,85.22735,76.85915
2014-12-13 15:06:43.601,154.7477,58.05587,50.74793
2014-12-13 15:07:04.144,2066.609,476.7706,65.30624
2014-12-13 15:07:24.737,3.40896,15.67539,5.827282
2014-12-13 15:07:45.389,0,35.58922,270.0714
2014-12-13 15:08:05.976,3264.069,768.9335,2915.145
2014-12-13 15:08:26.699,169.3158,24.34928,34.74332
2014-12-13 15:08:58.005,596.1396,429.2036,502.4945
2014-12-13 15:09:19.064,13.67582,5.698259,4.501625
2014-12-13 15:09:39.996,463.9732,0,332.0646
2014-12-13 15:10:00.833,153.5386,142.9417,659.6802
2014-12-13 15:10:22.130,326.4177,574.7386,66.99648
2014-12-13 15:10:42.881,797.4189,340.0285,701.0485
2014-12-13 15:11:03.736,2193.95,17.26229,1990.888
2014-12-13 15:11:24.884,605.7996,682.6275,1597.185
2014-12-13 15:11:45.695,752.1885,5.766106,1384.154
2014-12-13 15:12:06.344,81.15855,5285.912,0
2014-12-13 15:12:26.936,5.827475,13.84025,120.1917
2014-12-13 15:12:47.526,69.73342,34.9687,3255.557
2014-12-13 15:13:08.151,0,38.51627,89.8907
2014-12-13 15:13:29.076,26.32296,49.49175,99.87241
2014-12-13 15:13:50.136,298.7392,0,82.04931
2014-12-13 15:14:11.119,34.3131,67.99712,0
2014-12-13 15:14:31.979,172.5794,0,18.29342
2014-12-13 15:14:52.745,4.565269,0,0
2014-12-13 15:15:13.335,0,643.3958,0
2014-12-13 15:15:33.927,11.6551,63.28718,0
2014-12-13 15:15:54.565,23.05482,0,9.216112
2014-12-13 15:16:15.141,5.831938,0,1147.784
2014-12-13 15:16:35.748,124.9099,55.00113,157.5205
2014-12-13 15:16:56.448,159.421,89.44965,0
2014-12-13 15:17:17.286,287.9398,18.42815,0
2014-12-13 15:17:38.240,80.17677,0,228.5611
2014-12-13 15:17:59.168,16.57107,2.866968,189.9079
2014-12-13 15:18:20.200,42.79152,29.89701,161.6093
2014-12-13 15:18:41.116,28.68601,304.9323,2476.865
2014-12-13 15:19:02.758,348.5775,0,187.8875
2014-12-13 15:19:29.598,118.7017,196.0031,312.0893
2014-12-13 15:19:50.529,17.19915,0,2946.787
2014-12-13 15:20:13.775,15.48695,1.961681,344.5331
2014-12-13 15:20:34.582,40.36953,0,0
2014-12-13 15:20:55.324,0,1204.536,48.85835
2014-12-13 15:21:16.266,31.45905,0,28.65123
2014-12-13 15:21:37.361,264.5688,0,0
2014-12-13 15:21:58.108,0,0,0
2014-12-13 15:22:18.853,0,12.43699,0
2014-12-13 15:22:39.725,38.23313,437.3238,99.08993
2014-12-13 15:23:00.409,240.591,1762.458,1589.078
2014-12-13 15:23:21.164,297.5273,267.4913,1258.623
2014-12-13 15:23:41.940,417.129,1790.443,921.5305
2014-12-13 15:24:03.721,205.3877,426.0088,5526.296
2014-12-13 15:24:24.435,104.3392,330.3978,1102.659
2014-12-13 15:24:45.326,84.20525,184.4646,482.457
2014-12-13 15:25:06.349,385.559,952.0103,6715.331
2014-12-13 15:25:26.926,17.02834,55.95443,509.4215
2014-12-13 15:25:47.845,91.67025,78.84904,3033.723
2014-12-13 15:26:08.545,161.2135,105.7656,3480.09
2014-12-13 15:26:29.149,840.2564,469.3135,2363.807
2014-12-13 15:26:49.914,295.27,715.8541,10977.29
2014-12-13 15:27:10.641,300.6013,157.5667,651.7467
2014-12-13 15:27:31.501,23.24043,339.805,172.5774
2014-12-13 15:27:52.150,219.905,353.3647,709.1994
2014-12-13 15:28:12.882,79.06734,57.85344,881.5487
2014-12-13 15:28:33.762,301.5155,0,182.7253
2014-12-13 15:28:55.122,338.2066,769.4481,144.4682
2014-12-13 15:29:41.818,236.3572,33.06046,106.0684
2014-12-13 15:30:03.448,0,0,464.9349
2014-12-13 15:30:24.115,463.0409,1588.286,2726.509
2014-12-13 15:30:44.760,296.7244,0,74.7478
2014-12-13 15:31:06.250,27.94828,20.88443,148.6759
2014-12-13 15:31:27.074,40.56745,626.6634,665.0987
2014-12-13 15:31:47.847,260.6562,594.0731,2464.535
2014-12-13 15:32:08.518,0,104.4638,1064.028
2014-12-13 15:32:29.388,92.77553,921.6891,2896.482
2014-12-13 15:32:50.018,340.8044,893.0192,916.3153
2014-12-13 15:33:10.538,12.22188,30.49622,76.0505
2014-12-13 15:33:31.121,0,0,274.1666
2014-12-13 15:33:51.708,180.7791,0,13.34787
2014-12-13 15:34:12.371,1095.08,71.60763,1618.112
2014-12-13 15:34:32.912,137.723,208.0888,1285.834
2014-12-13 15:34:53.548,57.74285,47.13049,2277.906
2014-12-13 15:35:14.129,71.01761,244.451,3233.459
2014-12-13 15:35:34.721,167.7721,414.5936,1549.984
2014-12-13 15:35:55.461,5234.262,22.97061,0
2014-12-13 15:36:16.166,15.61954,11.27273,2939.255
2014-12-13 15:36:36.786,38.29284,69.10752,103.443
2014-12-13 15:36:57.355,228.2532,127.5009,9433.435
2014-12-13 15:37:17.928,7.203475,231.6194,55.90713
2014-12-13 15:37:38.578,45.41537,2.092071,3011.797
2014-12-13 15:37:59.133,279.7295,49.79846,83.95097
2014-12-13 15:38:19.775,24.09652,601.977,482.0466
2014-12-13 15:38:40.361,2081.137,3610.791,8192.814
