match,title,sport
Djokovic v Federer,Djokovic v Federer (28-02-2015),tennis
Scotland v Wales,Scotland v Wales (15-02-2015),rugby
Ireland v France,Ireland v France (14-02-2015),rugby
Monfils v Federer,Monfils v Federer (21-11-2014),tennis
Tsonga v Wawrinka,Tsonga v Wawrinka (21-11-2014),tennis
Oklahoma City @ Houston,Oklahoma City @ Houston (15-01-2015),basketball
New Orleans @ Boston,New Orleans @ Boston (12-01-2015),basketball
Golden State @ New Orleans,Golden State @ New Orleans (26-11-2014),basketball
LA Lakers @ Minnesota,LA Lakers @ Minnesota (14-12-2015),basketball
France v Scotland,France v Scotland (07-02-2015),rugby
England v South Africa,England v South Africa (15-11-2015),rugby
Ireland v Australia,Ireland v Australia (22-11-2014),rugby
Tottenham v Arsenal,Tottenham v Arsenal (07-02-2015),soccer
Burnley v Crystal Palace,Burnley v Crystal Palace (17-01-2015),soccer
Crystal Palace v Stoke,Crystal Palace v Stoke (13-12-2014),soccer
Swansea v Chelsea,Swansea v Chelsea (17-01-2015),soccer
Tottenham v Sunderland,Tottenham v Sunderland (17-01-2015),soccer
West Brom v Aston Villa,West Brom v Aston Villa (13-12-2014),soccer
Aston Villa v Tottenham,Aston Villa v Tottenham (02-11-2014),soccer
Indianapolis @ Denver,Indianapolis @ Denver (11-01-2015),American football
Dallas @ Green Bay,Dallas @ Green Bay (11-01-2015),American football
Indianapolis @ New England,Indianapolis @ New England (18-01-2015),American football
Superbowl XLIX,Superbowl XLIX (01-02-2015),American football
