name,party,constituency,expenditure,provided_by_candidate,donations,contributions,shortfall,donations_from,position
Paul Girvan,DUP,South Antrim,8475.4,5404.39,0,5404.39,3071.01,Self-funded,1
Pam Cameron,DUP,South Antrim,7112.98,5464.39,0,5464.39,1648.59,Self-funded,2
Declan Kearney,Sinn Féin,South Antrim,3106.84,0,3106.84,3106.84,0,Party donation,3
David Ford,Alliance,South Antrim,2047.69,0,0,0,2047.69,Sent invoice to party,4
Steve Aiken,UUP,South Antrim,4532.68,3969.03,563.65,4532.68,0,Self-funded & party donation,5
Trevor Clarke,DUP,South Antrim,8012.19,5474.39,100,5574.39,2437.8,Self-funded & donations from individual(s),6
Jim Wells,DUP,South Down,3263.02,2763.02,500,3263.02,0,Self-funded & party donation,1
Harold McKee,UUP,South Down,5223.17,0,0,0,5223.17,Form stated they received no donations or self-funding,2
Chris Hazzard,Sinn Féin,South Down,3572.91,0,3572.91,3572.91,0,Party donation,3
Sinead Bradley,SDLP,South Down,4191,0,4191,4191,0,Party donation,4
Caitriona Ruane,Sinn Féin,South Down,3533.51,0,3533.51,3533.51,0,Party donation,5
Colin McGrath,SDLP,South Down,7450.6,0,7450.6,7450.6,0,Party donation & individual(s),6
Mike Nesbitt,UUP,Strangford,4295,298.5,3142.5,3441,854,Self-funded & party donation,1
Michelle McIlveen,DUP,Strangford,3193.81,3193.81,0,3193.81,0,Self-funded,2
Jonathan Bell,DUP,Strangford,2566.6,2566.6,0,2566.6,0,Self-funded,3
Simon Hamilton,DUP,Strangford,2859.01,2859.01,0,2859.01,0,Self-funded,4
Kellie Armstrong,Alliance,Strangford,3608.91,0,0,0,3608.91,Sent invoice to party,5
Philip Smith,UUP,Strangford,3657.65,301.5,3142.5,3444,213.65,Self-funded & party donation,6
Carla Lockhart,DUP,Upper Bann,11726.67,0,0,0,11726.67,Form stated they received no donations or self-funding,1
Sydney Anderson,DUP,Upper Bann,6240.4,6240.4,0,6240.4,0,Self-funded,2
Joanne Dobson,UUP,Upper Bann,5803.1,5803.1,0,5803.1,0,Self-funded,3
Doug Beattie,UUP,Upper Bann,3265.05,3065.05,200,3265.05,0,Self-funded & party donation,4
Catherine Seeley,Sinn Féin,Upper Bann,9537.7,0,9537.7,9537.7,0,Party donation,5
John O'Dowd,Sinn Féin,Upper Bann,8207.49,0,8207.49,8207.49,0,Party donation,6
Daniel McCrossan,SDLP,West Tyrone,9233.73,0,0,0,9233.73,Form stated they received no donations or self-funding,1
Thomas Buchanan,DUP,West Tyrone,3729.56,3729.56,3729.56,7459.12,0,Self-funded & party donation,2
Ross Hussey,UUP,West Tyrone,3271.28,3271.28,0,3271.28,0,Self-funded,3
Barry McElduff,Sinn Féin,West Tyrone,4344.03,0,4344.03,4344.03,0,Party donation,4
Michaela Boyle,Sinn Féin,West Tyrone,4361.69,0,4361.69,4361.69,0,Party donation,5
Declan McAleer,Sinn Féin,West Tyrone,4456.18,0,4456.18,4456.18,0,Party donation,6
Alex Easton,DUP,North Down,3330.99,2830.99,500,3330.99,0,Self-funded & donations from individual(s),1
Gordon Dunne,DUP,North Down,4389.81,4389.81,0,4389.81,0,Self-funded,2
Steven Agnew,Green Party,North Down,8598.97,0,8493.84,8493.84,105.13,Party donation,3
Alan Chambers,UUP,North Down,4228.97,4015.32,213.65,4228.97,0,Self-funded & party donation,4
Peter Weir,DUP,North Down,5570.6,3619.6,1951,5570.6,0,Self-funded & party donation,5
Stephen Farry,Alliance,North Down,3519.52,0,0,0,3519.52,Sent invoice to party,6
William Irwin,DUP,Newry and Armagh,9555.29,4150,5405.29,9555.29,0,Self-funded & donations from individual(s) & party,1
Megan Fearon,Sinn Féin,Newry and Armagh,6178.78,0,6178.78,6178.78,0,Declared donation but no breakdown of where it came from,2
Cathal Boylan,Sinn Féin,Newry and Armagh,5255.05,0,5255.05,5255.05,0,Party donation,3
Danny Kennedy,UUP,Newry and Armagh,3739.63,0,0,0,3739.63,Form stated they received no donations or self-funding,4
Conor Murphy,Sinn Féin,Newry and Armagh,5174.55,0,5174.55,5174.55,0,Party donation,5
Justin McNulty,SDLP,Newry and Armagh,8425.88,0,8425.88,8425.88,0,Party donation,6
Gary Middleton,DUP,Foyle,5209.8,0,0,0,5209.8,Form stated they received no donations or self-funding,1
Raymond McCartney,Sinn Féin,Foyle,4104.56,0,4104.56,4104.56,0,Party donation,2
Mark H Durkan,SDLP,Foyle,4958.96,0,4958.96,4958.96,0,Party donation,3
Colum Eastwood,SDLP,Foyle,5516.96,0,5516.96,5516.96,0,Party donation,4
Martin McGuinness,Sinn Féin,Foyle,4617.54,0,4617.54,4617.54,0,Party donation,5
Eamonn McCann,People Before Profit Alliance,Foyle,9373,3500,6900,10400,0,Self-funded & donations from individual(s) & party,6
Joanne Bunting,DUP,Belfast East,8407,0,8407,8407,0,Party donation & individual(s),1
Naomi Long,Alliance,Belfast East,2073.29,0,0,0,2073.29,Sent invoice to party,2
Sammy Douglas,DUP,Belfast East,5637.29,3987.29,3632.5,7619.79,0,Self-funded & donations from individual(s) & party,3
Andy Allen,UUP,Belfast East,5912.98,599.33,5313.65,5912.98,0,Self-funded & donations from individual(s) & party,4
Chris Lyttle,Alliance,Belfast East,2328.83,0,0,0,2328.83,Sent invoice to party,5
Robin Newton,DUP,Belfast East,7378.14,3895.64,3482.5,7378.14,0,Self-funded & party donation,6
Gerry Kelly,Sinn Féin,Belfast North,5470,0,5470,5470,0,Party donation,1
Paula Bradley,DUP,Belfast North,6519.19,6434,0,6434,85.19,Self-funded,2
William Humphrey,DUP,Belfast North,6910.53,6910.53,0,6910.53,0,Self-funded,3
Nelson McCausland,DUP,Belfast North,6889.5,6889.5,0,6889.5,0,Self-funded,4
Carál Ní Chuilín,Sinn Féin,Belfast North,5470,0,5470,5470,0,Party donation,5
Nichola Mallon,SDLP,Belfast North,3337.5,0,3337.5,3337.5,0,Party donation,6
Maírtín Ó Muilleoir,Sinn Féin,Belfast South,9335,0,9335,9335,0,Party donation,1
