DENI,School_name,age,School_type,Management_type,year,Address,Postcode,Town,Protestant,Catholic,Other,Protestant_number,Catholic_number,Other_number,Total,Percentage_Protestant,Percentage_Catholic,Percentage_Other
1010012,Belmont Primary School,Primary,Primary,Controlled,1998,,,Belfast,193,0,57,193,0,57,250.0,77.2,0.0,22.8
1010063,Currie Primary School,Primary,Primary,Controlled,1998,,,Belfast,>=5,<5,<5,168,4,4,176.0,95.4545454545,2.27272727273,2.27272727273
1010146,Euston Street Primary School,Primary,Primary,Controlled,1998,,,Belfast,267,0,51,267,0,51,318.0,83.9622641509,0.0,16.0377358491
1010157,Rosetta Primary School,Primary,Primary,Controlled,1998,,,Belfast,215,<5,>=5,215,4,100,319.0,67.3981191223,1.2539184953,31.3479623824
1010205,Forth River Primary School,Primary,Primary,Controlled,1998,,,Belfast,>=5,<5,<5,177,4,4,185.0,95.6756756757,2.16216216216,2.16216216216
1010221,Springfield Primary School,Primary,Primary,Controlled,1998,,,Belfast,>=5,<5,<5,129,4,4,137.0,94.1605839416,2.9197080292,2.9197080292
1010231,Strand Primary School,Primary,Primary,Controlled,1998,,,Belfast,247,0,24,247,0,24,271.0,91.1439114391,0.0,8.85608856089
1010232,Harding Memorial Primary Sch.,Primary,Primary,Controlled,1998,,,Belfast,323,0,77,323,0,77,400.0,80.75,0.0,19.25
1010247,Mersey Street Primary School,Primary,Primary,Controlled,1998,,,Belfast,159,0,56,159,0,56,215.0,73.9534883721,0.0,26.0465116279
1010252,Strandtown Primary School,Primary,Primary,Controlled,1998,,,Belfast,793,<5,>=5,793,4,157,954.0,83.1236897275,0.41928721174,16.4570230608
1010255,Elmgrove Primary School,Primary,Primary,Controlled,1998,,,Belfast,537,0,61,537,0,61,598.0,89.7993311037,0.0,10.2006688963
1010266,Seaview Primary School,Primary,Primary,Controlled,1998,,,Belfast,391,<5,>=5,391,4,44,439.0,89.0660592255,0.911161731207,10.0227790433
1010267,Nettlefield Primary School,Primary,Primary,Controlled,1998,,,Belfast,321,0,44,321,0,44,365.0,87.9452054795,0.0,12.0547945205
1010269,Avoniel Primary School,Primary,Primary,Controlled,1998,,,Belfast,>=5,<5,<5,335,4,4,343.0,97.667638484,1.16618075802,1.16618075802
1010271,Beechfield Primary School,Primary,Primary,Controlled,1998,,,Belfast,>=5,0,<5,131,0,4,135.0,97.037037037,0.0,2.96296296296
1010273,Orangefield Primary School,Primary,Primary,Controlled,1998,,,Belfast,421,0,57,421,0,57,478.0,88.0753138075,0.0,11.9246861925
1010282,Carr's Glen Primary School,Primary,Primary,Controlled,1998,,,Belfast,>=5,0,<5,490,0,4,494.0,99.1902834008,0.0,0.80971659919
1010283,Grove Primary School,Primary,Primary,Controlled,1998,,,Belfast,177,0,28,177,0,28,205.0,86.3414634146,0.0,13.6585365854
1010289,Sydenham Primary School,Primary,Primary,Controlled,1998,,,Belfast,131,0,81,131,0,81,212.0,61.7924528302,0.0,38.2075471698
1010296,Ballygolan Primary School,Primary,Primary,Controlled,1998,,,Belfast,153,>=5,<5,153,21,4,178.0,85.9550561798,11.797752809,2.24719101124
1010301,Taughmonagh Primary School,Primary,Primary,Controlled,1998,,,Belfast,103,0,80,103,0,80,183.0,56.2841530055,0.0,43.7158469945
1010304,Greenwood Primary School,Primary,Primary,Controlled,1998,,,Belfast,193,6,62,193,6,62,261.0,73.9463601533,2.29885057471,23.754789272
1010307,Springhill Primary School,Primary,Primary,Controlled,1998,,,Belfast,>=5,0,<5,388,0,4,392.0,98.9795918367,0.0,1.02040816327
1010321,Vere Foster Primary School,Primary,Primary,Controlled,1998,,,Belfast,0,238,0,0,238,0,238.0,0.0,100.0,0.0
1010323,Edenbrooke Primary School,Primary,Primary,Controlled,1998,,,Belfast,>=5,<5,<5,339,4,4,347.0,97.6945244957,1.15273775216,1.15273775216
1010324,Stranmillis Primary School,Primary,Primary,Controlled,1998,,,Belfast,245,55,118,245,55,118,418.0,58.6124401914,13.1578947368,28.2296650718
1010325,Ligoniel Primary School,Primary,Primary,Controlled,1998,,,Belfast,73,0,6,73,0,6,79.0,92.4050632911,0.0,7.59493670886
1010806,Finaghy Primary School,Primary,Primary,Controlled,1998,,,Belfast,349,<5,>=5,349,4,98,451.0,77.3835920177,0.886917960089,21.7294900222
1010831,Cavehill Primary School,Primary,Primary,Controlled,1998,,,Belfast,227,7,98,227,7,98,332.0,68.3734939759,2.10843373494,29.5180722892
1010863,Suffolk Primary School,Primary,Primary,Controlled,1998,,,Belfast,76,66,47,76,66,47,189.0,40.2116402116,34.9206349206,24.8677248677
1013018,Knocknagoney Primary School,Primary,Primary,Controlled,1998,,,Belfast,>=5,0,<5,187,0,4,191.0,97.9057591623,0.0,2.0942408377
1016059,Blackmountain Primary School,Primary,Primary,Controlled,1998,,,Belfast,124,0,7,124,0,7,131.0,94.6564885496,0.0,5.34351145038
1016060,Donegall Road Primary School,Primary,Primary,Controlled,1998,,,Belfast,249,0,13,249,0,13,262.0,95.0381679389,0.0,4.96183206107
1016076,Ballysillan Primary School,Primary,Primary,Controlled,1998,,,Belfast,>=5,<5,<5,169,4,4,177.0,95.4802259887,2.25988700565,2.25988700565
1016077,Fernhill Primary School,Primary,Primary,Controlled,1998,,,Belfast,>=5,<5,<5,190,4,4,198.0,95.9595959596,2.0202020202,2.0202020202
1016205,Fane Street Primary School,Primary,Primary,Controlled,1998,,,Belfast,214,0,40,214,0,40,254.0,84.2519685039,0.0,15.7480314961
1016206,Glencairn Primary School,Primary,Primary,Controlled,1998,,,Belfast,>=5,<5,<5,86,4,4,94.0,91.4893617021,4.25531914894,4.25531914894
1016207,Blythefield Primary School,Primary,Primary,Controlled,1998,,,Belfast,182,0,53,182,0,53,235.0,77.4468085106,0.0,22.5531914894
1016242,Dundela Infants Primary School,Primary,Primary,Controlled,1998,,,Belfast,161,<5,>=5,161,4,154,319.0,50.4702194357,1.2539184953,48.275862069
1056483,Cliftonville Primary School,Primary,Primary,Controlled,1998,,,Belfast,224,12,52,224,12,52,288.0,77.7777777778,4.16666666667,18.0555555556
1016485,Glenwood Primary School,Primary,Primary,Controlled,1998,,,Belfast,517,0,24,517,0,24,541.0,95.5637707948,0.0,4.43622920518
1016498,Malvern Primary School,Primary,Primary,Controlled,1998,,,Belfast,197,0,33,197,0,33,230.0,85.652173913,0.0,14.347826087
1016499,Botanic Primary School,Primary,Primary,Controlled,1998,,,Belfast,68,21,84,68,21,84,173.0,39.3063583815,12.1387283237,48.5549132948
1016532,Wheatfield Primary,Primary,Primary,Controlled,1998,,,Belfast,274,<5,<5,274,3,2,279.0,98.2078853047,1.0752688172,0.716845878136
1016537,Lowwood Primary School,Primary,Primary,Controlled,1998,,,Belfast,241,18,8,241,18,8,267.0,90.2621722846,6.74157303371,2.99625468165
1030043,St Catherines Primary School,Primary,Primary,RC Maintained,1998,,,Belfast,<5,>=5,<5,4,227,4,235.0,1.70212765957,96.5957446809,1.70212765957
1030180,St Gall's Monastery Primary,Primary,Primary,RC Maintained,1998,,,Belfast,<5,>=5,<5,4,290,4,298.0,1.34228187919,97.3154362416,1.34228187919
1030194,Holy Cross Boy's Primary Sch,Primary,Primary,RC Maintained,1998,,,Belfast,<5,>=5,<5,4,417,4,425.0,0.941176470588,98.1176470588,0.941176470588
1030226,St John's Girls Primary School,Primary,Primary,RC Maintained,1998,,,Belfast,<5,>=5,<5,4,134,4,142.0,2.81690140845,94.3661971831,2.81690140845
