date,season,Arsenal,Chelsea,Liverpool,ManchesterCity,ManchesterUnited,Blackburn,Leeds,Newcastle
1993-08-14,1993,1181.249,1200,1208.274,1200,1359.176,1275.622,1175.141,1129.693
1993-08-15,1993,1181.249,1192.143,1218.512,1199.286,1366.816,1283.48,1175.855,1121.917
1993-08-16,1993,1192.247,1192.143,1218.512,1199.286,1366.816,1283.48,1175.855,1121.917
1993-08-17,1993,1192.247,1192.143,1218.512,1188.633,1366.816,1283.48,1175.855,1121.917
1993-08-18,1993,1192.247,1192.136,1218.512,1188.633,1366.816,1273.034,1184.296,1121.917
1993-08-21,1993,1192.247,1192.136,1228.696,1188.633,1371.812,1279.644,1184.296,1113.73
1993-08-22,1993,1202.729,1182.398,1235.441,1179.105,1365.503,1279.644,1176.941,1120.039
1993-08-23,1993,1202.729,1182.398,1235.441,1179.105,1373.524,1279.644,1176.941,1120.039
1993-08-24,1993,1211.988,1182.398,1235.441,1179.105,1373.524,1279.644,1167.681,1120.039
1993-08-25,1993,1211.988,1193.55,1235.441,1171.921,1373.524,1286.828,1167.681,1120.039
1993-08-27,1993,1211.988,1193.55,1224.841,1172.445,1373.524,1286.828,1167.681,1132.211
1993-08-28,1993,1221.201,1193.55,1224.841,1172.445,1373.524,1286.828,1167.681,1132.211
1993-08-29,1993,1221.201,1193.337,1233.211,1172.445,1377.684,1282.65,1159.312,1136.389
1993-08-30,1993,1221.201,1193.337,1233.211,1172.445,1377.684,1282.65,1168.937,1136.389
1993-08-31,1993,1221.201,1193.337,1233.211,1172.445,1377.684,1282.65,1168.937,1136.389
1993-09-01,1993,1222.951,1193.337,1233.211,1172.445,1377.684,1280.9,1168.937,1138.261
1993-09-11,1993,1232.301,1194.016,1221.963,1180.404,1381.379,1280.9,1168.937,1138.261
1993-09-12,1993,1232.301,1208.94,1213.643,1191.759,1366.454,1289.22,1177.776,1138.261
1993-09-13,1993,1232.301,1208.94,1213.643,1191.759,1366.454,1289.22,1177.776,1149.718
1993-09-18,1993,1232.301,1208.94,1213.643,1191.759,1366.454,1274.597,1177.776,1149.718
1993-09-19,1993,1225.981,1208.79,1202.615,1191.759,1372.774,1274.597,1187.433,1148.107
1993-09-20,1993,1225.981,1208.79,1202.615,1182.115,1372.774,1274.597,1187.433,1148.107
1993-09-25,1993,1232.794,1208.79,1202.615,1182.115,1372.774,1274.597,1187.433,1148.107
1993-09-26,1993,1232.794,1218.612,1192.792,1191.371,1376.135,1272.104,1197.906,1157.588
