date,deviation
1993-08-14,60.44852
1993-08-15,60.99493
1993-08-16,60.79021
1993-08-17,61.46281
1993-08-18,62.67952
1993-08-21,63.27406
1993-08-22,63.90093
1993-08-23,64.36377
1993-08-24,64.9428
1993-08-25,64.12587
1993-08-27,64.11898
1993-08-28,65.64853
1993-08-29,65.19102
1993-08-30,65.3502
1993-08-31,66.21962
1993-09-01,67.15467
1993-09-11,64.79007
1993-09-12,65.20004
1993-09-13,64.86864
1993-09-18,64.50446
1993-09-19,65.15655
1993-09-20,65.3117
1993-09-25,66.7816
1993-09-26,66.75243
1993-09-27,66.75207
1993-10-02,66.73625
1993-10-03,67.04468
1993-10-04,66.95801
1993-10-16,68.14768
1993-10-17,68.12734
1993-10-18,67.80313
1993-10-23,68.20702
1993-10-24,67.85364
1993-10-25,67.73922
1993-10-30,69.02411
1993-10-31,69.01239
1993-11-01,68.71359
1993-11-06,70.0347
1993-11-07,70.70259
1993-11-08,70.9373
1993-11-20,73.39495
1993-11-21,73.14049
1993-11-22,73.1349
1993-11-23,73.54687
1993-11-24,69.94162
1993-11-27,68.87022
1993-11-28,68.2105
1993-11-29,68.41957
1993-12-04,68.08622
1993-12-05,68.67296
1993-12-06,68.64976
1993-12-07,69.57043
1993-12-08,70.11575
1993-12-11,69.48616
1993-12-12,69.5618
1993-12-13,69.8613
1993-12-18,70.55383
1993-12-19,71.14826
1993-12-22,71.12833
1993-12-26,70.66109
1993-12-27,72.28038
1993-12-28,71.90855
1993-12-29,73.20997
1994-01-01,74.85457
1994-01-03,75.13689
1994-01-04,74.13422
1994-01-15,75.11537
1994-01-16,75.07232
1994-01-22,74.8334
1994-01-23,75.23086
1994-01-24,75.05133
1994-02-02,74.96865
1994-02-05,75.42295
1994-02-06,75.65653
1994-02-12,76.43
1994-02-13,76.42191
1994-02-14,75.44766
1994-02-19,75.58987
1994-02-22,75.14235
1994-02-23,75.32378
1994-02-26,74.17628
1994-02-27,74.20587
1994-02-28,74.00113
1994-03-02,73.68877
1994-03-05,71.15992
1994-03-06,71.71277
1994-03-12,71.47621
1994-03-13,71.66005
1994-03-16,71.68552
1994-03-19,71.12738
1994-03-20,71.6493
1994-03-21,72.14443
1994-03-22,72.21148
1994-03-26,73.07485
1994-03-27,72.68137
1994-03-28,72.56618
1994-03-29,71.45646
1994-03-30,72.14979
1994-04-01,72.14418
1994-04-02,69.77059
1994-04-04,71.66017
1994-04-09,70.74553
1994-04-11,71.30969
1994-04-13,71.29222
1994-04-16,68.96246
1994-04-17,69.48494
1994-04-19,69.44652
1994-04-23,72.06243
1994-04-24,71.83812
1994-04-26,72.35521
1994-04-27,74.22446
1994-04-30,71.11691
1994-05-01,71.765
1994-05-02,70.26962
1994-05-03,70.19083
1994-05-04,70.88787
1994-05-05,71.01164
1994-05-07,70.06677
1994-05-08,69.41885
1994-08-20,68.49416
1994-08-21,69.1127
1994-08-22,68.03835
1994-08-23,68.44277
1994-08-24,68.95093
1994-08-27,70.32138
1994-08-28,70.00657
1994-08-29,70.16946
1994-08-30,71.25736
1994-08-31,72.72405
1994-09-10,73.93701
1994-09-11,72.87195
1994-09-12,72.64886
1994-09-17,71.17842
1994-09-18,72.06669
1994-09-19,72.49362
1994-09-24,70.57412
1994-09-25,71.04204
1994-09-26,71.01865
1994-10-01,69.76281
1994-10-02,69.25683
1994-10-03,69.17002
1994-10-08,68.90658
1994-10-09,68.90041
1994-10-10,69.28299
1994-10-15,71.26497
1994-10-16,71.82511
1994-10-17,71.75146
1994-10-22,73.42715
1994-10-23,74.48553
1994-10-24,75.05132
1994-10-29,76.40402
1994-10-30,76.24922
1994-10-31,75.83412
1994-11-01,73.80216
1994-11-02,73.81469
1994-11-05,75.80286
1994-11-06,76.39182
1994-11-07,76.12539
1994-11-09,76.60869
1994-11-10,77.21645
1994-11-19,76.76318
1994-11-20,77.21852
1994-11-21,75.97099
1994-11-23,74.65031
1994-11-26,74.29155
1994-11-27,74.21011
1994-12-03,75.22853
1994-12-04,74.50369
1994-12-10,76.21289
1994-12-11,76.06275
1994-12-12,76.22553
1994-12-16,75.95889
1994-12-17,72.62906
1994-12-18,72.60202
1994-12-19,72.56287
1994-12-26,74.6024
1994-12-27,74.60611
1994-12-28,74.57779
1994-12-31,73.99989
1995-01-02,75.21398
1995-01-03,75.83406
1995-01-14,75.2534
1995-01-15,75.04336
1995-01-21,75.10311
1995-01-22,75.16802
1995-01-23,75.64723
1995-01-24,75.65122
1995-01-25,74.13601
1995-01-28,74.74901
1995-02-01,75.04109
1995-02-04,75.3977
1995-02-05,73.99537
1995-02-11,74.69519
1995-02-12,75.19358
1995-02-13,75.19038
1995-02-18,75.25534
1995-02-21,75.35591
1995-02-22,77.09446
1995-02-25,75.22427
1995-02-26,75.21818
1995-02-28,75.83804
1995-03-04,76.44564
1995-03-05,75.69877
1995-03-06,75.69719
1995-03-07,76.29821
1995-03-08,78.77877
1995-03-11,78.95806
1995-03-14,77.88687
1995-03-15,78.24732
1995-03-18,79.26067
1995-03-19,78.73435
1995-03-20,79.17842
1995-03-21,79.49273
1995-03-22,78.81731
1995-04-01,80.625
1995-04-02,79.99711
1995-04-04,80.48957
1995-04-05,80.68986
1995-04-08,81.78402
1995-04-09,81.7776
1995-04-10,81.69687
1995-04-11,82.57986
1995-04-12,83.34261
1995-04-13,82.76396
1995-04-14,80.86802
1995-04-15,81.15561
1995-04-17,79.03183
1995-04-19,79.62403
1995-04-29,80.73267
1995-04-30,78.87672
1995-05-01,79.45995
1995-05-02,79.40875
1995-05-03,79.65091
1995-05-04,79.64713
1995-05-06,78.36466
1995-05-07,78.95735
1995-05-08,79.40691
1995-05-09,80.24389
1995-05-10,80.21233
1995-05-13,80.17364
1995-05-14,79.41892
1995-08-19,73.40382
1995-08-20,73.21745
1995-08-21,73.55077
1995-08-22,74.24378
1995-08-23,73.45136
